band_name,study_city_label,affiliation_type,entity_id,entity_name,source
Coldplay,London,record_label,wd:Q193023,Capitol Records,Wikidata P264
Coldplay,London,record_label,wd:Q202440,Atlantic Records,Wikidata P264
Coldplay,London,record_label,wd:Q208909,Parlophone,Wikidata P264
Coldplay,London,record_label,wd:Q5447280,Fierce Panda Records,Wikidata P264
Arctic Monkeys,Sheffield,record_label,wd:Q1238400,Domino Recording Company,Wikidata P264
Queen,London,record_label,wd:Q183412,EMI,Wikidata P264
Queen,London,record_label,wd:Q190585,Island Records,Wikidata P264
Queen,London,record_label,wd:Q193023,Capitol Records,Wikidata P264
Queen,London,record_label,wd:Q208909,Parlophone,Wikidata P264
Queen,London,record_label,wd:Q3629023,EMI Records,Wikidata P264
Queen,London,record_label,wd:Q387539,Hollywood Records,Wikidata P264
Queen,London,record_label,wd:Q726251,Elektra,Wikidata P264
Fleetwood Mac,London,record_label,wd:Q1347984,Sanctuary Records,Wikidata P264
Fleetwood Mac,London,record_label,wd:Q165711,Sire,Wikidata P264
Fleetwood Mac,London,record_label,wd:Q183387,Columbia Records,Wikidata P264
Fleetwood Mac,London,record_label,wd:Q216364,Epic Records,Wikidata P264
Fleetwood Mac,London,record_label,wd:Q3233924,CBS Records,Wikidata P264
Fleetwood Mac,London,record_label,wd:Q645889,Reprise Records,Wikidata P264
Fleetwood Mac,London,record_label,wd:Q843402,Warner Bros. Records,Wikidata P264
Fleetwood Mac,London,record_label,wd:Q885732,Blue Horizon,Wikidata P264
One Direction,London,record_label,wd:Q183387,Columbia Records,Wikidata P264
One Direction,London,record_label,wd:Q2358400,Legacy Recordings,Wikidata P264
One Direction,London,record_label,wd:Q38903,Universal Music Group,Wikidata P264
One Direction,London,record_label,wd:Q56760250,Sony Music,Wikidata P264
One Direction,London,record_label,wd:Q7659636,Syco Music,Wikidata P264
Radiohead,Oxford,record_label,wd:Q1123947,XL Recordings,Wikidata P264
Radiohead,Oxford,record_label,wd:Q128280,ATO Records,Wikidata P264
Radiohead,Oxford,record_label,wd:Q193023,Capitol Records,Wikidata P264
Radiohead,Oxford,record_label,wd:Q208909,Parlophone,Wikidata P264
The Police,London,record_label,wd:Q277626,A&M Records,Wikidata P264
