band_a,city_a,band_b,city_b,shared_members,shared_member_count,shared_labels,shared_label_count,connection_count,same_city
Coil,London,Psychic TV,London,Danny Hyde|Drew McDowall|John Balance|John Gosling|Peter Christopherson,5,Some Bizzare,1,6,True
Deep Purple,London,Rainbow,London,Don Airey|Joe Lynn Turner|Ritchie Blackmore|Roger Glover,4,Bertelsmann Music Group|Polydor Records,2,6,True
Black Sabbath,Birmingham,Rainbow,London,Bob Daisley|Bob Rondinelli|Cozy Powell|Ronnie James Dio,4,Mercury Records,1,5,False
Fairport Convention,London,Jethro Tull,Luton,Dave Mattacks|Dave Pegg|Gerry Conway|Maartin Allcock,4,Island Records,1,5,False
Above & Beyond,London,OceanLab,London,Jono Grant|Paavo Siljamäki|Tony McGuinness,3,Anjunabeats,1,4,True
Angelic Upstarts,Newcastle,Cockney Rejects,London,Andrew Laing|Keith Warrington|Tony Frater,3,EMI,1,4,False
Bad Company,London,Free,London,Paul Rodgers|Paul Rodgers and Company|Simon Kirke,3,Island Records,1,4,True
Bauhaus,Northampton,Love and Rockets,Northampton,Daniel Ash|David J|Kevin Haskins,3,Beggars Banquet Records,1,4,True
Bauhaus,Northampton,Tones On Tail,Northampton,Daniel Ash|Kevin Haskins,2,4AD|Beggars Banquet Records,2,4,True
Black Sabbath,Birmingham,Deep Purple,London,Glenn Hughes|Ian Gillan,2,Warner Bros. Records|Warner Music Group,2,4,False
Blind Faith,Guildford,Cream,London,Eric Clapton|Ginger Baker,2,Atco Records|Polydor Records,2,4,False
Joy Division,Manchester,New Order,Manchester,Bernard Sumner|Peter Hook|Stephen Morris,3,Factory Records,1,4,True
Michael Schenker Group,London,Rainbow,London,Cozy Powell|Don Airey|Graham Bonnet|Ronnie Romero,4,,0,4,True
Michael Schenker Group,London,UFO,London,Michael Schenker|Paul Raymond|Pete Way,3,Chrysalis Records,1,4,True
Procol Harum,London,T. Rex,London,,0,Fly Records|IL|Regal Zonophone|Reprise Records,4,4,True
Beady Eye,London,Oasis,Manchester,Andy Bell|Gem Archer|Liam Gallagher,3,,0,3,False
Black Sabbath,Birmingham,Fleetwood Mac,London,Dave Walker,1,Sanctuary Records|Warner Bros. Records,2,3,False
Black Sabbath,Birmingham,Uriah Heep,London,Bob Daisley,1,Vertigo Records|Warner Bros. Records,2,3,False
Blind Faith,Guildford,The Spencer Davis Group,Birmingham,Steve Winwood,1,Atco Records|Island Records,2,3,False
Blind Faith,Guildford,Traffic,Birmingham,Ric Grech|Steve Winwood,2,Island Records,1,3,False
Deep Purple,London,Gang Of Four,Leeds,,0,EMI|EMI Records|Warner Bros. Records,3,3,False
Deep Purple,London,Pink Floyd,London,,0,EMI|Harvest|Warner Music Group,3,3,True
Deep Purple,London,Sex Pistols,London,,0,EMI|EMI Records|Warner Bros. Records,3,3,True
Deep Purple,London,Whitesnake,Middlesbrough,David Coverdale|Ian Paice|Jon Lord,3,,0,3,False
Depeche Mode,London,Fleetwood Mac,London,,0,Columbia Records|Reprise Records|Sire,3,3,True
Depeche Mode,London,Pink Floyd,London,,0,Capitol Records|Columbia Records|EMI,3,3,True
Fleetwood Mac,London,Oasis,Manchester,,0,Columbia Records|Epic Records|Reprise Records,3,3,False
Gang Of Four,Leeds,Sex Pistols,London,,0,EMI|EMI Records|Warner Bros. Records,3,3,False
