popularity_rank,band_name,spotify_id,wikidata_qid,followers,monthly_listeners,mapping_tier,fua_code,study_city_label,mapped_fua,musicbrainz_covered,wikidata_label_covered,network_degree,member_degree,label_degree,internal_degree,connected,member_connected,label_connected
1,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Q45188,64732379,92034104,strict,UK001F,London,True,True,True,53,0,53,30,True,False,True
2,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Q170599,35028298,52301870,strict,UK010F,Sheffield,True,True,True,8,2,7,2,True,True,True
3,Queen,1dfeR4HaWDbWqFHLkxsg1d,Q15862,58004701,51601234,strict,UK001F,London,True,True,True,97,0,97,52,True,False,True
4,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Q106648,15546243,50959935,strict,UK001F,London,True,True,True,109,4,106,53,True,True,True
5,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,Q146027,41728665,45724043,strict,UK001F,London,True,True,True,59,4,55,31,True,True,True
6,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Q44190,16613975,43168156,strict,UK560F,Oxford,True,True,True,34,0,34,1,True,False,True
7,The Police,5NGO30tJxFlKixkPSgXcFE,Q178095,8458469,39887109,strict,UK001F,London,True,True,True,16,0,16,8,True,False,True
8,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Q382890,13941515,39676473,strict,UK008F,Manchester,True,True,True,84,4,81,7,True,True,True
9,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,Q189991,16369649,38173160,strict,UK001F,London,True,True,True,70,1,69,36,True,True,True
10,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Q1299,32385954,37927636,strict,UK006F,Liverpool,True,True,True,68,0,68,2,True,False,True
11,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Q11838808,6321202,35453400,strict,UK017F,Cambridge,True,True,True,38,4,34,1,True,True,True
12,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Q11036,16651560,30690194,strict,UK001F,London,True,True,True,150,2,149,83,True,True,True
14,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,Q16839267,4804844,27093208,strict,UK560F,Oxford,True,True,True,5,0,5,0,True,False,True
15,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,Q2306,24145634,26546155,strict,UK001F,London,True,True,True,95,0,95,49,True,False,True
16,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,Q50040,9643393,26242776,strict,UK001F,London,True,True,True,29,0,29,14,True,False,True
17,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Q217360,7587105,25836943,strict,UK001F,London,True,True,True,40,0,40,24,True,False,True
18,The Cure,7bu3H8JO7d0UbMoVzbo70s,Q484427,7492117,25827890,strict,UK576F,Crawley,True,True,True,62,4,60,0,True,True,True
