study_city_label,Bath and North East Somerset,Bedford,Belfast,Birmingham,Blackpool,Bracknell Forest,Brighton and Hove,Bristol,Burnley,Cambridge,Cardiff,Cheltenham,Cheshire West and Chester,Colchester,Coventry,Crawley,Dacorum,Derby,Derry & Strabane Local Government District,Dundee City,Eastbourne,Edinburgh,Exeter,Falkirk,Glasgow,Great Yarmouth,Guildford,Hastings,Hull,Ipswich,Leeds,Leicester,Liverpool,London,Luton,Manchester,Mansfield,Middlesbrough,Milton Keynes,Newcastle,Newport,Northampton,Norwich,Nottingham,Oxford,Plymouth,Reading,Sheffield,Southampton,Stevenage,Stoke-on-Trent,Sunderland,Swansea,Swindon,Torbay,Warrington,Worthing,Wrexham,York
Bath and North East Somerset,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,1,0,0,0,1,0,2,25,0,8,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Bedford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belfast,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,13,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Birmingham,7,0,2,30,0,1,4,7,2,6,10,0,1,0,7,3,1,0,0,1,0,10,4,0,28,4,22,4,2,1,23,1,27,444,6,57,2,1,0,15,1,0,0,10,8,3,2,23,6,2,1,0,2,0,4,0,6,0,3
Blackpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bracknell Forest,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Brighton and Hove,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,0,0,3,0,1,0,0,0,4,0,5,46,0,4,0,0,1,1,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,1,0,1
Bristol,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,3,0,1,49,2,5,0,0,0,1,0,0,0,0,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0
Burnley,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,17,1,2,0,1,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Cambridge,0,0,0,6,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,3,0,1,1,4,0,2,46,1,4,0,0,0,2,1,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Cardiff,2,0,0,10,0,0,1,0,0,1,3,0,0,0,2,0,0,0,0,0,0,3,0,0,15,2,2,2,2,0,4,0,4,94,0,15,0,0,0,3,1,0,0,4,4,0,1,6,0,0,1,0,0,1,0,0,0,0,0
Cheltenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire West and Chester,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colchester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry,0,0,0,7,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,1,0,1,0,0,10,3,0,1,1,0,2,0,6,67,2,5,0,0,0,2,0,0,0,6,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0
Crawley,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,1,0,2,0,3,35,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Dacorum,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derry & Strabane Local Government District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dundee City,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,2,1,0,0,1,0,0,0,0,2,0,2,0,1,1,3,0,3,39,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Eastbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edinburgh,2,0,0,10,0,0,2,1,0,2,3,0,0,0,1,2,0,0,1,0,0,2,0,0,5,0,4,1,1,0,6,0,6,86,1,13,0,0,0,1,1,0,0,0,3,1,2,6,1,0,0,0,1,1,0,0,0,0,0
Exeter,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,15,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Falkirk,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glasgow,5,0,1,28,0,0,3,1,0,0,15,0,0,1,10,0,0,1,0,2,0,5,2,3,24,5,5,4,3,0,10,1,18,301,5,50,0,0,1,5,0,2,0,8,11,1,4,22,0,0,0,0,0,2,1,0,2,0,0
Great Yarmouth,1,0,0,4,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,34,1,5,0,0,0,1,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Guildford,1,0,2,22,0,0,1,2,1,3,2,0,2,0,0,1,2,0,0,2,0,4,0,0,5,0,4,1,2,2,7,0,7,136,3,14,1,0,0,5,2,0,0,3,1,1,0,4,2,1,0,0,2,0,2,0,0,0,1
Hastings,0,0,0,4,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,1,0,1,0,1,0,0,47,1,6,0,0,0,1,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
Hull,0,0,0,2,0,0,0,0,0,1,2,0,1,0,1,1,1,0,1,1,0,1,0,0,3,1,2,1,0,1,1,0,1,43,0,4,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Ipswich,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leeds,1,0,0,23,0,0,4,3,2,4,4,0,1,0,2,2,1,0,0,3,0,6,1,0,10,0,7,1,1,1,4,0,13,175,4,19,1,0,1,5,1,6,0,2,4,1,0,14,1,4,0,0,1,0,0,0,2,0,2
Leicester,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Liverpool,2,0,1,27,0,0,5,1,0,2,4,0,0,0,6,3,0,0,1,3,0,6,1,0,18,0,7,0,1,0,13,0,16,211,1,32,0,0,0,1,0,0,1,3,7,0,2,12,1,1,0,0,1,3,0,0,1,0,2
London,25,0,13,444,0,5,46,49,17,46,94,0,15,5,67,35,16,6,2,39,0,86,15,5,301,34,136,47,43,15,175,5,211,1834,53,481,5,11,0,89,18,10,0,83,78,26,17,228,14,16,5,0,10,23,15,0,21,0,25
Luton,0,0,0,6,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,5,1,3,1,0,0,4,0,1,53,0,7,0,0,0,1,0,0,0,1,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0
Manchester,8,0,2,57,0,1,4,5,2,4,15,0,0,0,5,5,0,2,0,1,0,13,2,0,50,5,14,6,4,0,19,2,32,481,7,50,0,1,0,11,0,0,0,11,12,2,5,33,1,2,0,1,2,2,2,0,2,0,5
Mansfield,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Middlesbrough,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Milton Keynes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,0,0,1,15,0,0,1,1,1,2,3,0,1,0,2,0,1,0,0,1,0,1,1,0,5,1,5,1,2,1,5,0,1,89,1,11,0,1,0,0,1,0,0,2,2,0,0,4,2,1,1,0,0,0,1,0,2,0,0
Newport,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,1,1,1,0,0,18,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottingham,0,0,1,10,0,0,1,0,0,0,4,0,0,0,6,1,0,0,0,0,0,0,0,0,8,2,3,2,2,0,2,0,3,83,1,11,1,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1
Oxford,0,0,0,8,0,0,0,1,1,2,4,0,0,1,0,0,0,0,0,0,0,3,1,1,11,0,1,0,0,0,4,0,7,78,1,12,0,0,0,2,2,2,1,0,3,0,4,6,0,1,0,0,0,3,0,0,1,0,0
Plymouth,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,26,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Reading,0,0,0,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,2,17,0,5,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Sheffield,2,0,0,23,0,1,3,4,2,3,6,0,0,0,6,0,0,0,0,2,0,6,1,0,22,2,4,3,2,0,14,1,12,228,5,33,1,1,0,4,2,0,0,4,6,2,1,8,0,3,1,0,0,3,0,0,1,0,0
Southampton,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,1,14,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Stevenage,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,16,1,2,0,0,0,1,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Stoke-on-Trent,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swansea,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swindon,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,3,23,0,2,0,1,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1
Torbay,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,15,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warrington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worthing,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,21,0,2,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Wrexham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,25,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
