study_city_label,selected_bands,connected_bands,member_connected_bands,label_connected_bands,mean_degree,mean_internal_degree,member_source_coverage,label_source_coverage,connected_band_share,member_connected_band_share,label_connected_band_share
Luton,1,1,1,1,97.0,0.0,1.0,1.0,1.0,1.0,1.0
Crawley,1,1,1,1,60.0,0.0,1.0,1.0,1.0,1.0,1.0
Great Yarmouth,1,1,0,1,59.0,0.0,1.0,1.0,1.0,0.0,1.0
Guildford,5,5,3,5,44.4,1.2,1.0,1.0,1.0,0.6,1.0
Swindon,1,1,0,1,41.0,0.0,1.0,1.0,1.0,0.0,1.0
Stevenage,1,1,0,1,40.0,0.0,1.0,1.0,1.0,0.0,1.0
Hastings,2,2,0,2,36.0,0.0,1.0,1.0,1.0,0.0,1.0
Burnley,1,1,0,1,34.0,0.0,1.0,1.0,1.0,0.0,1.0
Torbay,1,1,1,1,27.0,0.0,1.0,1.0,1.0,1.0,1.0
Dacorum,1,1,1,1,26.0,0.0,1.0,1.0,1.0,1.0,1.0
Cheshire West and Chester,1,1,0,1,25.0,0.0,1.0,1.0,1.0,0.0,1.0
Ipswich,1,1,0,1,25.0,0.0,1.0,1.0,1.0,0.0,1.0
Oxford,7,7,1,7,23.428571428571427,0.8571428571428571,1.0,1.0,1.0,0.14285714285714285,1.0
Coventry,7,7,7,7,19.142857142857142,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
Plymouth,2,2,0,2,18.5,0.0,1.0,1.0,1.0,0.0,1.0
Swansea,1,1,0,1,17.0,0.0,1.0,1.0,1.0,0.0,1.0
Exeter,2,2,0,2,16.0,0.0,1.0,1.0,1.0,0.0,1.0
Northampton,3,3,3,3,12.666666666666666,2.0,1.0,1.0,1.0,1.0,1.0
Worthing,1,1,1,1,12.0,0.0,1.0,1.0,1.0,1.0,1.0
Colchester,1,1,0,1,11.0,0.0,1.0,1.0,1.0,0.0,1.0
Mansfield,1,1,0,1,11.0,0.0,1.0,1.0,1.0,0.0,1.0
Reading,4,4,1,4,11.0,0.0,1.0,1.0,1.0,0.25,1.0
Bracknell Forest,1,1,0,1,10.0,0.0,1.0,1.0,1.0,0.0,1.0
Middlesbrough,2,2,1,2,9.5,0.0,1.0,1.0,1.0,0.5,1.0
Derby,1,1,0,1,8.0,0.0,1.0,1.0,1.0,0.0,1.0
Peterborough,1,1,0,1,8.0,0.0,1.0,1.0,1.0,0.0,1.0
Falkirk,2,2,0,2,7.0,0.0,1.0,1.0,1.0,0.0,1.0
Belfast,4,4,1,3,6.5,0.0,1.0,1.0,1.0,0.25,0.75
Derry & Strabane Local Government District,1,1,0,1,6.0,0.0,1.0,1.0,1.0,0.0,1.0
Leicester,2,2,1,2,6.0,0.0,1.0,1.0,1.0,0.5,1.0
Stoke-on-Trent,2,2,2,1,5.0,1.0,1.0,1.0,1.0,1.0,0.5
Sunderland,2,2,0,2,4.5,0.0,1.0,1.0,1.0,0.0,1.0
Norwich,1,1,0,1,2.0,0.0,1.0,1.0,1.0,0.0,1.0
Preston,1,1,0,1,2.0,0.0,1.0,1.0,1.0,0.0,1.0
Glasgow,31,29,18,27,17.129032258064516,1.5483870967741935,1.0,1.0,0.9354838709677419,0.5806451612903226,0.8709677419354839
Birmingham,28,25,17,24,26.178571428571427,1.9285714285714286,1.0,1.0,0.8928571428571429,0.6071428571428571,0.8571428571428571
Manchester,52,45,19,41,17.115384615384617,1.9230769230769231,1.0,1.0,0.8653846153846154,0.36538461538461536,0.7884615384615384
Liverpool,39,33,13,32,10.871794871794872,0.8717948717948718,1.0,1.0,0.8461538461538461,0.3333333333333333,0.8205128205128205
Leeds,24,20,8,20,12.75,0.3333333333333333,1.0,1.0,0.8333333333333334,0.3333333333333333,0.8333333333333334
London,299,246,107,236,20.762541806020067,10.896321070234114,1.0,1.0,0.822742474916388,0.35785953177257523,0.7892976588628763
