popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,followers,monthly_listeners,enwiki_title,pageview_status,pageviews_total,pageview_months,mapping_tier,fua_code,study_city_label,mapped_fua,log10_followers,log10_pageviews,expected_log10_pageviews,attention_residual_log10,follower_rank,pageview_rank
1,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Q45188,64732379,92034104,Coldplay,ok,1455121,12,strict,UK001F,London,True,7.811121568204192,6.162899108406035,6.618899549928018,-0.45600044152198294,1.0,15.0
2,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,Q170599,35028298,52301870,Arctic Monkeys,ok,786889,12,strict,UK010F,Sheffield,True,7.5444190357714245,5.895913474306468,6.428185658762764,-0.5322721844562963,4.0,45.0
3,1dfeR4HaWDbWqFHLkxsg1d,Queen,Q15862,58004701,51601234,Queen (band),ok,2025734,12,strict,UK001F,London,True,7.763463192453033,6.306582417373473,6.584819954945504,-0.2782375375720312,2.0,9.0
4,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,Q106648,15546243,50959935,Fleetwood Mac,ok,3009125,12,strict,UK001F,London,True,7.1916254517867015,6.478440228844327,6.175909699602823,0.3025305292415039,11.0,3.0
5,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,Q146027,41728665,45724043,One Direction,ok,1575791,12,strict,UK001F,London,True,7.620434490812654,6.197498615713319,6.482542859976311,-0.28504424426299213,3.0,13.0
6,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,Q44190,16613975,43168156,Radiohead,ok,1679460,12,strict,UK560F,Oxford,True,7.220473552621922,6.225169664631301,6.196538425970089,0.02863123866121242,9.0,12.0
7,5NGO30tJxFlKixkPSgXcFE,The Police,Q178095,8458469,39887109,The Police,ok,842024,12,strict,UK001F,London,True,6.927291761972508,5.925324470263333,5.986889722586885,-0.061565252323552144,21.0,41.0
8,2DaxqgrOhkeH0fpeiQq2f4,Oasis,Q382890,13941515,39676473,Oasis (band),ok,2302661,12,strict,UK008F,Manchester,True,7.14430997034659,6.36223000541269,6.142075301798311,0.22015470361437917,12.0,7.0
9,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,Q189991,16369649,38173160,Gorillaz,ok,2763778,12,strict,UK001F,London,True,7.214039367316802,6.441503155472395,6.191937462849024,0.2495656926233707,10.0,4.0
10,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Q1299,32385954,37927636,The Beatles,ok,3975509,12,strict,UK006F,Liverpool,True,7.510356694684133,6.599392740977233,6.4038283287003175,0.1955644122769158,5.0,1.0
