study_city_label,observed_bands,followers,pageviews,follower_share,pageview_share,pageview_minus_follower_share
London,297,492657135,73146246,0.5833209614996916,0.508483133096441,-0.0748378284032506
Manchester,51,61999096,13004938,0.0734088064934484,0.09040507177859768,0.016996265285149276
Birmingham,28,29959721,9904641,0.03547321660120177,0.06885306031803008,0.03337984371682831
Liverpool,39,44594392,7886980,0.05280111008426612,0.05482709667792068,0.0020259865936545565
Sheffield,21,55840411,4959471,0.06611673701844988,0.03447623754445224,-0.031640499473997635
Glasgow,31,16996691,4338436,0.020124596665860032,0.03015905327552136,0.010034456609661329
Cardiff,12,3543508,2474596,0.0041956207406634825,0.017202391045849714,0.013006770305186231
Oxford,7,24050638,2305705,0.02847668345012606,0.016028329087402923,-0.012448354362723138
Leeds,24,10059117,2274406,0.011910299036423969,0.015810751091906262,0.003900452055482293
Guildford,5,5800025,2183420,0.006867405177684575,0.015178253200655455,0.00831084802297088
Edinburgh,15,4370899,2062748,0.005175276731347939,0.014339390237858789,0.009164113506510849
Bristol,8,6968117,1547638,0.008250461466030217,0.010758553749144006,0.0025080922831137893
Belfast,4,3605764,1475617,0.004269333729269899,0.01025789287136309,0.0059885591420931914
Crawley,1,7492117,1380927,0.008870893328497486,0.00959964626944039,0.0007287529409429044
Newcastle,10,4640329,1208789,0.005494290007501673,0.008403012479581164,0.0029087224720794917
Bath and North East Somerset,3,5127963,1056790,0.006071663425101604,0.007346376876606735,0.0012747134515051313
Brighton and Hove,13,6860257,904678,0.008122751960904798,0.006288955743312132,-0.0018337962175926656
Exeter,2,8980240,766433,0.010632876008784467,0.005327932388334797,-0.00530494362044967
Luton,1,2025126,732365,0.0023978104883795592,0.005091105424196001,0.0026932949358164414
Middlesbrough,2,3875163,709471,0.0045883103004852035,0.004931955591009621,0.0003436452905244171
Hull,5,2355702,674173,0.0027892224795379172,0.004686578164093711,0.0018973556845557939
Coventry,7,1603615,672230,0.0018987287044474205,0.004673071213544172,0.0027743425090967517
Dundee City,4,4146957,625503,0.004910122624201671,0.00434824399875864,-0.0005618786254430307
Falkirk,2,1770678,622167,0.002096536353759194,0.004325053475324125,0.0022285171215649315
Swansea,1,471790,458320,0.0005586136419721994,0.003186055365859252,0.0026274417238870526
Nottingham,5,2494802,428197,0.0029539210903569957,0.0029766524469690045,2.2731356612008813e-05
Sunderland,2,2655333,405474,0.003143994653932822,0.002818691336656516,-0.00032530331727630623
Northampton,3,1453874,403405,0.0017214308275052236,0.0028043084850420045,0.001082877657536781
Burnley,1,225650,397179,0.0002671764308506471,0.00276102784987915,0.002493851419028503
Leicester,2,2012129,393970,0.0023824216469358816,0.002738720179105362,0.0003562985321694805
Cambridge,5,6663454,342788,0.00788973125130719,0.002382923605236868,-0.005506807646070323
Southampton,4,1070012,339928,0.0012669265992792493,0.0023630420413811395,0.0010961154421018902
York,3,2840421,326359,0.003363144448895306,0.0022687158385984894,-0.0010944286102968167
Reading,4,1964773,325823,0.0023263507093805383,0.0022649897832744785,-6.136092610605978e-05
Ipswich,1,510654,317173,0.000604629794458703,0.0022048584800045306,0.0016002286855458276
Newport,3,981527,303729,0.0011621576806715847,0.0021114012266910996,0.000949243546019515
Hastings,2,4238953,300695,0.00501904867309392,0.0020903100851742185,-0.0029287385879197014
Swindon,1,391755,291041,0.00046384977916195545,0.002023199379767504,0.0015593496006055486
Dacorum,1,808818,243961,0.0009576649964447537,0.0016959182516808975,0.0007382532552361438
Torbay,1,239755,180638,0.0002838771778355723,0.00125572235376611,0.0009718451759305378
Warrington,1,146142,152844,0.00017303655199368609,0.001062509701386349,0.000889473149392663
Bedford,1,285868,148956,0.0003384763657629638,0.0010354818970957644,0.0006970055313328006
Derry & Strabane Local Government District,1,274928,137610,0.0003255230745885518,0.0009566090916737032,0.0006310860170851514
Derby,1,468353,131222,0.0005545441299277337,0.0009122022979987406,0.00035765816807100683
Stoke-on-Trent,2,186628,126597,0.00022097320158118576,0.0008800511676376413,0.0006590779660564555
Milton Keynes,2,422537,88820,0.0005002965989910919,0.000617440734848182,0.00011714413585709013
Wrexham,1,1843051,86059,0.002182228176626262,0.0005982473789720749,-0.001583980797654187
Eastbourne,1,146489,75109,0.00017344741049802988,0.0005221274054684992,0.00034867999497046936
Colchester,1,242915,74765,0.0002876187134947261,0.0005197360565292087,0.00023211734303448266
Stevenage,1,150339,74384,0.00017800592704478367,0.0005170874985470296,0.0003390815715022459
Great Yarmouth,1,81520,64885,9.65221477639918e-05,0.0004510542904821469,0.00035453214271815507
Plymouth,2,1153297,59553,0.0013655385604731166,0.00041398838192314546,-0.0009515501785499711
Norwich,1,113814,57139,0.00013475922136421692,0.0003972072297735901,0.00026244800840937317
Worthing,1,31701,54600,3.753494364899785e-05,0.00037955712815481574,0.0003420221845058179
Bracknell Forest,1,219418,46838,0.0002597975541962654,0.0003255988419141989,6.58012877179335e-05
Cheshire West and Chester,1,130580,30387,0.00015461067290262575,0.00021123814016923786,5.662746726661211e-05
Blackpool,1,192021,18118,0.0002273586768374567,0.0001259490118664643,-0.00010140966497099239
Preston,1,43772,16366,5.1827373060910814e-05,0.00011376981610589222,6.19424430449814e-05
Mansfield,1,18419,14420,2.1808653577833234e-05,0.00010024201076909237,7.843335719125914e-05
Peterborough,1,52002,9466,6.157194219851696e-05,6.58038054050089e-05,4.231863206491943e-06
Cheltenham,1,21846,6677,2.586632531958004e-05,4.641580484779679e-05,2.054947952821675e-05
