study_city_label,formation_decade,bands_with_known_year,followers,monthly_listeners
Belfast,1970,1,7593,37587
Belfast,2000,1,93175,41717
Birmingham,1960,4,17273261,25618930
Birmingham,1970,4,11875887,50792402
Birmingham,1990,1,454701,606956
Bristol,1980,2,2957338,8709338
Bristol,1990,3,2751998,7533908
Cardiff,2000,2,91712,180644
Coventry,1980,2,61581,412097
Coventry,1990,1,14198,19192
Coventry,2000,1,157157,278925
Glasgow,1970,1,2504682,9628717
Glasgow,1980,4,1535971,5026563
Glasgow,1990,2,1394369,1511413
Glasgow,2000,2,4176711,14939093
Glasgow,2010,1,1434807,4152413
Hull,1980,2,293505,1009223
Hull,1990,1,4152,75896
Hull,2000,1,14736,4603
Leeds,1970,2,320510,510011
Leeds,1980,6,2504987,13335029
Leeds,2000,2,4921305,11110834
Leicester,1960,1,16653,11707
Leicester,1980,2,5126,5588
Leicester,1990,1,3893,1986
Liverpool,1950,1,313722,1163214
Liverpool,1960,1,32385954,37927636
Liverpool,1970,1,1120606,2210172
Liverpool,1980,5,2734712,17324161
Liverpool,1990,1,525204,2751716
London,1960,5,58183928,118779436
London,1970,2,61513024,66190701
London,1990,2,69007303,106043861
Manchester,1970,1,2965374,4140711
Manchester,1980,6,19141003,53683396
Manchester,1990,2,15459003,46215488
Manchester,2000,1,8582651,18915018
Middlesbrough,2000,2,14559,19419
Nottingham,1960,1,656932,2124380
Nottingham,1980,1,48946,43987
Nottingham,1990,3,377955,1219295
Nottingham,2000,3,2085019,3564254
Oxford,1980,1,2467,1966
Oxford,2000,1,131854,88106
Portsmouth,1980,2,94239,79277
Portsmouth,2000,1,534,142
Portsmouth,2010,1,6659,5150
Sheffield,1970,5,9460586,21824359
Sheffield,1980,2,704940,1371058
Sheffield,1990,1,516418,2507932
Sheffield,2000,2,42159773,66008902
Southampton,1990,1,73816,435076
Southampton,2000,2,71458,81706
Southampton,2010,1,89705,69616
