study_city_label,genre_family,weighted_bands,distinct_bands,weighted_followers,genre_share
Bath and North East Somerset,Punk and new wave,1.0,1,4593372.0,0.5
Bath and North East Somerset,Rock and indie,1.0,1,516287.0,0.5
Bedford,"Pop, soul and R&B",1.0,1,285868.0,1.0
Belfast,Electronic and dance,0.5,1,336616.5,0.1
Belfast,Other genres,1.5,2,895106.5,0.3
Belfast,"Pop, soul and R&B",0.5,1,1327861.5,0.1
Belfast,Punk and new wave,1.0,1,236374.0,0.2
Belfast,Rock and indie,1.5,2,1483038.5,0.3
Birmingham,Electronic and dance,0.16666666666666666,1,659724.0,0.00641025641025641
Birmingham,Metal,6.666666666666666,8,11379032.5,0.2564102564102564
Birmingham,Other genres,4.0,7,3850908.5,0.15384615384615385
Birmingham,"Pop, soul and R&B",3.0,7,5701962.5,0.11538461538461539
Birmingham,Punk and new wave,2.1666666666666665,4,1532370.0,0.08333333333333333
Birmingham,Rock and indie,10.0,15,11112001.5,0.38461538461538464
Blackpool,Punk and new wave,1.0,1,192021.0,1.0
Bracknell Forest,"Pop, soul and R&B",1.0,1,219418.0,1.0
Brighton and Hove,Electronic and dance,2.0,2,170142.0,0.2
Brighton and Hove,Metal,0.3333333333333333,1,456403.6666666666,0.03333333333333333
Brighton and Hove,Other genres,0.8333333333333333,2,503523.6666666666,0.08333333333333333
Brighton and Hove,"Pop, soul and R&B",1.3333333333333333,2,1054200.0,0.13333333333333333
Brighton and Hove,Punk and new wave,1.6666666666666665,3,1415690.6666666665,0.16666666666666666
Brighton and Hove,Rock and indie,3.833333333333333,5,1308249.0,0.3833333333333333
Bristol,Electronic and dance,2.833333333333333,4,3889491.1666666665,0.35416666666666663
Bristol,Metal,1.0,1,106888.0,0.125
Bristol,Other genres,1.8333333333333333,3,1180704.1666666665,0.22916666666666666
Bristol,"Pop, soul and R&B",1.0,1,50878.0,0.125
Bristol,Punk and new wave,1.0,1,893225.0,0.125
Bristol,Rock and indie,0.3333333333333333,1,846930.6666666666,0.041666666666666664
Burnley,Electronic and dance,0.3333333333333333,1,75216.66666666666,0.3333333333333333
Burnley,Other genres,0.3333333333333333,1,75216.66666666666,0.3333333333333333
Burnley,Punk and new wave,0.3333333333333333,1,75216.66666666666,0.3333333333333333
Cambridge,Electronic and dance,1.0,1,41401.0,0.2
Cambridge,"Pop, soul and R&B",1.3333333333333333,2,6378491.0,0.26666666666666666
Cambridge,Punk and new wave,0.3333333333333333,1,57289.0,0.06666666666666667
Cambridge,Rock and indie,2.333333333333333,3,186273.0,0.4666666666666666
Cardiff,Electronic and dance,1.5,2,458098.5,0.125
Cardiff,Metal,1.8333333333333333,3,135315.0,0.15277777777777776
Cardiff,Other genres,1.0,2,479401.5,0.08333333333333333
Cardiff,"Pop, soul and R&B",1.5,3,1071308.0,0.125
Cardiff,Punk and new wave,2.333333333333333,3,173376.0,0.19444444444444442
Cardiff,Rock and indie,3.8333333333333335,7,1995462.0,0.3194444444444445
Cheltenham,Punk and new wave,1.0,1,21846.0,1.0
Cheshire West and Chester,Rock and indie,1.0,1,130580.0,1.0
Colchester,Punk and new wave,1.0,1,242915.0,1.0
Coventry,Metal,2.0,2,381557.0,0.3333333333333333
Coventry,Other genres,1.5,2,515305.5,0.25
Coventry,Punk and new wave,1.5,2,399538.5,0.25
Coventry,Rock and indie,1.0,1,285400.0,0.16666666666666666
Crawley,Punk and new wave,0.5,1,3746058.5,0.5
Crawley,Rock and indie,0.5,1,3746058.5,0.5
Dacorum,Metal,0.5,1,404409.0,0.5
Dacorum,Rock and indie,0.5,1,404409.0,0.5
Derby,Rock and indie,1.0,1,468353.0,1.0
Derry & Strabane Local Government District,Punk and new wave,0.5,1,137464.0,0.5
Derry & Strabane Local Government District,Rock and indie,0.5,1,137464.0,0.5
Dundee City,"Pop, soul and R&B",2.0,2,502807.0,0.4
Dundee City,Punk and new wave,1.0,1,50912.0,0.2
Dundee City,Rock and indie,2.0,2,3622429.0,0.4
Eastbourne,Rock and indie,1.0,1,146489.0,1.0
Edinburgh,Electronic and dance,1.5,2,535894.0,0.10714285714285714
Edinburgh,Metal,0.5,1,862483.0,0.03571428571428571
Edinburgh,Other genres,3.0,4,762575.0,0.21428571428571427
Edinburgh,"Pop, soul and R&B",1.5,2,191150.0,0.10714285714285714
Edinburgh,Punk and new wave,3.0,3,391188.0,0.21428571428571427
Edinburgh,Rock and indie,4.5,6,1492213.0,0.32142857142857145
Exeter,Metal,0.5,1,4474713.5,0.5
Exeter,Rock and indie,0.5,1,4474713.5,0.5
Falkirk,Other genres,0.25,1,420915.25,0.125
Falkirk,"Pop, soul and R&B",0.25,1,420915.25,0.125
Falkirk,Punk and new wave,0.25,1,420915.25,0.125
Falkirk,Rock and indie,1.25,2,507932.25,0.625
Glasgow,Electronic and dance,1.3333333333333333,3,1558926.5,0.04597701149425287
Glasgow,Metal,1.0,1,289069.0,0.034482758620689655
Glasgow,Other genres,1.5,2,70066.0,0.05172413793103448
Glasgow,"Pop, soul and R&B",7.166666666666666,12,2289793.0,0.24712643678160917
Glasgow,Punk and new wave,3.5,6,3077754.0,0.1206896551724138
Glasgow,Rock and indie,14.5,20,7956255.5,0.5
Great Yarmouth,Rock and indie,1.0,1,81520.0,1.0
Guildford,Metal,0.3333333333333333,1,110854.33333333333,0.05555555555555555
Guildford,"Pop, soul and R&B",1.0,2,2010780.0,0.16666666666666666
Guildford,Punk and new wave,1.8333333333333333,3,1004924.3333333334,0.3055555555555555
Guildford,Rock and indie,2.833333333333333,4,3006029.3333333335,0.47222222222222215
Hastings,Rock and indie,2.0,2,4238953.0,1.0
Hull,Electronic and dance,1.0,1,131943.0,0.2
Hull,Metal,1.0,1,96043.0,0.2
Hull,Other genres,1.0,1,1149369.0,0.2
Hull,"Pop, soul and R&B",1.0,1,480010.0,0.2
Hull,Rock and indie,1.0,1,498337.0,0.2
Ipswich,Rock and indie,1.0,1,510654.0,1.0
Leeds,Electronic and dance,2.25,3,635347.75,0.08653846153846154
Leeds,Metal,2.333333333333333,4,476758.1666666666,0.08974358974358973
Leeds,Other genres,2.25,6,1985710.25,0.08653846153846154
Leeds,"Pop, soul and R&B",1.4166666666666665,4,2222186.25,0.05448717948717948
Leeds,Punk and new wave,6.75,11,2064099.0833333333,0.25961538461538464
Leeds,Rock and indie,11.0,15,3473940.5,0.4230769230769231
Leicester,Rock and indie,2.0,2,2012129.0,1.0
Liverpool,Electronic and dance,5.916666666666667,9,2446587.1666666665,0.15990990990990991
Liverpool,Metal,2.333333333333333,4,786061.1666666666,0.06306306306306306
Liverpool,Other genres,4.25,9,13060554.833333334,0.11486486486486487
Liverpool,"Pop, soul and R&B",6.083333333333333,8,12065969.0,0.1644144144144144
Liverpool,Punk and new wave,5.916666666666666,10,1639368.6666666665,0.1599099099099099
Liverpool,Rock and indie,12.5,17,13974413.166666666,0.33783783783783783
London,Electronic and dance,42.53333333333333,64,30657429.316666666,0.14083885209713023
London,Metal,9.533333333333333,15,39640961.4,0.0315673289183223
London,Other genres,48.28333333333333,76,68927006.81666666,0.159878587196468
London,"Pop, soul and R&B",56.75,85,165892195.25,0.1879139072847682
London,Punk and new wave,45.53333333333333,66,26672555.316666666,0.15077262693156732
London,Rock and indie,99.36666666666666,137,168343080.9,0.3290286975717439
Luton,Electronic and dance,0.3333333333333333,1,675042.0,0.3333333333333333
Luton,Other genres,0.3333333333333333,1,675042.0,0.3333333333333333
Luton,Rock and indie,0.3333333333333333,1,675042.0,0.3333333333333333
Manchester,Electronic and dance,6.0,12,2858031.1666666665,0.11320754716981132
Manchester,Other genres,6.083333333333333,11,7986089.333333333,0.11477987421383647
Manchester,"Pop, soul and R&B",11.583333333333334,19,17061745.5,0.21855345911949686
Manchester,Punk and new wave,8.333333333333334,15,11280277.333333332,0.15723270440251574
Manchester,Rock and indie,21.0,29,23082163.666666664,0.39622641509433965
Mansfield,Electronic and dance,1.0,1,18419.0,1.0
Middlesbrough,Electronic and dance,1.0,1,342340.0,0.5
Middlesbrough,Rock and indie,1.0,1,3532823.0,0.5
Milton Keynes,Metal,1.0,1,359654.0,1.0
Newcastle,Electronic and dance,1.0,1,17970.0,0.1
Newcastle,Metal,2.3333333333333335,3,719734.3333333334,0.23333333333333334
Newcastle,Other genres,0.6666666666666666,2,961548.3333333334,0.06666666666666667
Newcastle,"Pop, soul and R&B",1.3333333333333333,2,1597585.0,0.13333333333333333
Newcastle,Punk and new wave,1.5,2,182069.0,0.15
Newcastle,Rock and indie,3.1666666666666665,5,1161422.3333333333,0.31666666666666665
Newport,Metal,0.5,1,340729.0,0.16666666666666666
Newport,Other genres,1.75,3,443944.75,0.5833333333333334
Newport,"Pop, soul and R&B",0.25,1,65617.75,0.08333333333333333
Newport,Punk and new wave,0.25,1,65617.75,0.08333333333333333
Newport,Rock and indie,0.25,1,65617.75,0.08333333333333333
Northampton,Punk and new wave,3.0,3,1453874.0,1.0
Norwich,"Pop, soul and R&B",1.0,1,113814.0,1.0
Nottingham,Metal,1.0,1,48946.0,0.25
Nottingham,"Pop, soul and R&B",1.0,1,42819.0,0.25
Nottingham,Rock and indie,2.0,2,2352196.0,0.5
Oxford,Electronic and dance,0.5833333333333333,2,5755108.416666666,0.07291666666666666
Oxford,Other genres,1.25,2,4207774.75,0.15625
Oxford,"Pop, soul and R&B",1.0833333333333333,3,6114734.916666666,0.13541666666666666
Oxford,Punk and new wave,0.5,1,752176.5,0.0625
Oxford,Rock and indie,4.583333333333333,7,7352697.416666666,0.5729166666666666
Plymouth,Other genres,0.25,1,283996.25,0.125
Plymouth,"Pop, soul and R&B",1.25,2,301308.25,0.625
Plymouth,Punk and new wave,0.25,1,283996.25,0.125
Plymouth,Rock and indie,0.25,1,283996.25,0.125
Reading,Metal,1.0,1,189903.0,0.25
Reading,"Pop, soul and R&B",0.5,1,103175.0,0.125
Reading,Rock and indie,2.5,3,1671695.0,0.625
Sheffield,Electronic and dance,2.8333333333333335,6,2876324.1666666665,0.12878787878787878
Sheffield,Metal,1.75,3,2732657.75,0.07954545454545454
Sheffield,Other genres,2.75,4,656261.75,0.125
Sheffield,"Pop, soul and R&B",3.0833333333333335,7,3029864.4166666665,0.14015151515151517
Sheffield,Punk and new wave,3.3333333333333335,8,20898496.166666668,0.15151515151515152
Sheffield,Rock and indie,8.25,11,25765431.75,0.375
Southampton,Punk and new wave,2.0,2,460472.0,0.5
Southampton,Rock and indie,2.0,2,609540.0,0.5
Stevenage,Punk and new wave,1.0,1,150339.0,1.0
Stoke-on-Trent,Metal,1.0,1,32960.0,0.5
Stoke-on-Trent,Punk and new wave,1.0,1,153668.0,0.5
Sunderland,Punk and new wave,1.5,2,160186.0,0.75
Sunderland,Rock and indie,0.5,1,54469.0,0.25
Swansea,"Pop, soul and R&B",1.0,1,471790.0,1.0
Swindon,"Pop, soul and R&B",0.3333333333333333,1,130585.0,0.3333333333333333
Swindon,Punk and new wave,0.3333333333333333,1,130585.0,0.3333333333333333
Swindon,Rock and indie,0.3333333333333333,1,130585.0,0.3333333333333333
Torbay,Rock and indie,1.0,1,239755.0,1.0
Warrington,"Pop, soul and R&B",0.5,1,73071.0,0.5
Warrington,Rock and indie,0.5,1,73071.0,0.5
Worthing,Rock and indie,2.0,2,1791152.0,1.0
Wrexham,Punk and new wave,1.0,1,1843051.0,1.0
York,Metal,0.5,1,1265336.5,0.16666666666666666
York,Rock and indie,2.5,3,1575084.5,0.8333333333333334
