formation_decade,genre_family,weighted_bands,distinct_bands,weighted_followers
1950,Other genres,2.0,2,217664.0
1950,"Pop, soul and R&B",0.5,1,126248.5
1950,Rock and indie,1.5,2,163506.5
1960,Electronic and dance,0.3333333333333333,1,675042.0
1960,Metal,3.333333333333333,6,15053766.166666668
1960,Other genres,8.833333333333332,17,46193927.666666664
1960,"Pop, soul and R&B",12.0,22,32264326.0
1960,Punk and new wave,0.3333333333333333,1,986103.0
1960,Rock and indie,35.166666666666664,51,78167623.16666667
1970,Electronic and dance,4.916666666666666,10,4516075.666666667
1970,Metal,10.833333333333334,14,36173719.166666664
1970,Other genres,7.333333333333333,14,11914691.083333334
1970,"Pop, soul and R&B",14.333333333333334,23,27075020.583333332
1970,Punk and new wave,47.666666666666664,64,29049066.916666668
1970,Rock and indie,25.916666666666668,38,58533714.58333333
1980,Electronic and dance,14.25,24,15064270.5
1980,Metal,9.333333333333334,12,1910919.1666666665
1980,Other genres,15.416666666666666,30,15478109.833333332
1980,"Pop, soul and R&B",18.5,33,22734167.083333332
1980,Punk and new wave,25.083333333333332,41,19545083.5
1980,Rock and indie,40.416666666666664,55,26256647.916666664
1990,Electronic and dance,19.75,27,11906964.75
1990,Metal,5.166666666666666,8,6732658.166666667
1990,Other genres,10.916666666666666,20,17225618.25
1990,"Pop, soul and R&B",22.75,34,54572558.416666664
1990,Punk and new wave,5.166666666666666,9,1254502.1666666667
1990,Rock and indie,40.25,54,71841196.25
2000,Electronic and dance,16.7,26,7915117.65
2000,Metal,8.616666666666667,13,5123982.483333333
2000,Other genres,19.28333333333333,29,8966815.233333332
2000,"Pop, soul and R&B",16.333333333333332,26,25418139.5
2000,Punk and new wave,13.533333333333333,27,29420996.483333334
2000,Rock and indie,57.53333333333333,76,52032249.65
2010,Electronic and dance,8.916666666666666,13,11701444.166666666
2010,Metal,1.8333333333333333,3,393564.8333333333
2010,Other genres,11.333333333333334,14,5013744.833333333
2010,"Pop, soul and R&B",12.916666666666666,17,64094204.666666664
2010,Punk and new wave,9.75,11,3901508.5
2010,Rock and indie,20.25,27,13005225.0
