band,city,spotify_id,monthly_listeners_baseline,followers_baseline,monthly_listeners_current,followers_current,monthly_listeners_change,monthly_listeners_change_pct,followers_change,followers_change_pct
Black Sabbath,Birmingham,5M52tdBnJaKSvOpJGz8mfZ,19891349,9635964,18340960,10708202,-1550389,-7.794287858505725,1072238,11.127459587852341
Duran Duran,Birmingham,0lZoBs4Pzo7R89JM9lxwoT,14260413,3525676,15110442,3956931,850029,5.960760042503678,431255,12.231838660160491
ELO,Birmingham,7jefIIksOi1EazgRTfW2Pk,14861430,4425636,18346991,4747672,3485561,23.453738973974914,322036,7.276603859874603
Editors,Birmingham,6e9wIFWhBPHLE9bXK8gtBI,808289,764162,1231261,786010,422972,52.32930300919597,21848,2.85907961924304
UB40,Birmingham,69MEO1AADKg1IZrq2XLzo5,9078938,2614020,9346480,2783214,267542,2.946842461089612,169194,6.472559506048156
Ivyrise,Bradford,3Cpe6aAAVacasDfOQgb3fq,40859,1795,62231,1944,21372,52.306713331212215,149,8.300835654596101
Kiki Dee,Bradford,4vjGlQWexbru6aOUCLTVir,6307325,73823,7579340,106666,1272015,20.167265837736284,32843,44.48884493992387
Smokie,Bradford,53K7zDzY3McLG1sAg6l2wZ,6333,34,13599,184,7266,114.73235433443864,150,441.1764705882353
Tasmin Archer,Bradford,6EgtYGZoF5jLydCpz43xu1,1622202,34634,1246219,43451,-375983,-23.177323169371014,8817,25.457642778772303
The Cult,Bradford,49DW3KvkyjHO35mK1JnSyS,2316687,804778,2269477,852264,-47210,-2.0378238406828375,47486,5.900509208750736
Idles,Bristol,75mafsNqNE1WSEVxIKuY5C,1284936,827197,1063380,893023,-221556,-17.242570836212852,65826,7.957717448201578
Kosheen,Bristol,5squ8uM6fhMQY71t9xobJC,751064,148226,1385480,160972,634416,84.46896669258545,12746,8.599031209099618
Massive Attack,Bristol,6FXMGgJwohJLUSr5nVlf9X,7820857,2622818,8717446,2942650,896589,11.46407612362686,319832,12.19421248443468
Portishead,Bristol,6liAMWkVf5LH7YR9yfFy1Y,5229127,2312672,5962887,2540076,733760,14.032170188255133,227404,9.832955127229456
Tricky,Bristol,6hhA8TKRNryM8FNzqCqdDO,832557,555291,974085,599525,141528,16.999196451414136,44234,7.9659133679458165
Belle and Sebastian,Glasgow,4I2BJf80C0skQpp1sQmA0h,1240759,710828,1142389,746937,-98370,-7.928211683332541,36109,5.079850540496436
CHVRCHES,Glasgow,3CjlHNtplJyTf9npxaPl5w,4355160,1407818,4165963,1434679,-189197,-4.344203198045537,26861,1.9079881064171647
Franz Ferdinand,Glasgow,0XNa1vTidXlvJ2gHSsRi4A,10960653,2962098,10799410,3217271,-161243,-1.4711076064537396,255173,8.61460356814663
Primal Scream,Glasgow,3wury2nd8idV4GecUg5xze,1159990,556242,1168342,590729,8352,0.7200062069500599,34487,6.199999280888535
Simple Minds,Glasgow,6hN9F0iuULZYWXppob22Aj,8356902,2309634,9624401,2504010,1267499,15.16709182421907,194376,8.41587887951078
Alt-J,Leeds,3XHO7cRUPCLOr6jwp8vsx5,8100112,3420665,8139672,3498882,39560,0.4883883087048673,78217,2.286602166537793
Kaiser Chiefs,Leeds,0LbLWjaweRbO4FDKYlbfNt,3082387,1381574,2989666,1421898,-92721,-3.0080908075462296,40324,2.9186999755351506
Sisters of Mercy,Leeds,4HxBVyHaUa60eCSsJWxwWR,1081874,684222,994798,770894,-87076,-8.048626734721418,86672,12.66723373408046
Soft Cell,Leeds,6aq8T2RcspxVOGgMrTzjWc,6623689,783224,5776902,868737,-846787,-12.784220394405596,85513,10.918077076289798
The Wedding Present,Leeds,4tyCvqG48h4LdcbFfWBjR9,48254,61181,45698,65561,-2556,-5.29697019936171,4380,7.159085336951014
Echo & the Bunnymen,Liverpool,0fgYKF9Avljex0L9Wt5b8Z,1973972,1036196,2210375,1120203,236403,11.976005738683224,84007,8.107249979733563
Frankie Goes to Hollywood,Liverpool,1mZu3rO7qSD09GdDpePHhY,2799330,903834,2763194,960555,-36136,-1.2908803177903283,56721,6.2755992803988345
The Beatles,Liverpool,3WrFJ7ztbogyGnTHbHJFl2,32865417,30528081,37817522,32378653,4952105,15.067829506012353,1850572,6.061868087941721
The La's,Liverpool,47Z8LEl3LnQkcpva0xSthT,6860963,287698,5584504,319883,-1276459,-18.604662348419602,32185,11.187078116636195
The Wombats,Liverpool,0Ya43ZKWHTKkAbkoJJkwIB,3424219,1108963,2892885,1143444,-531334,-15.516939775172089,34481,3.1093012120332237
Blur,London,7MhMgCo0Bl0Kukl93PZbYS,10861697,3881067,14051908,4273555,3190211,29.371202308442225,392488,10.112889058601668
Coldplay,London,4gzpq5DPGxSnKTe4SA8HAU,93728726,60215920,91959876,64720341,-1768850,-1.887201582148892,4504421,7.480448691973816
Florence and the Machine,London,1moxjboGR7GNWYIMWsRjgG,28597148,7182942,25889479,7585878,-2707669,-9.468318309224403,402936,5.6096234662621525
The Clash,London,3RGLhK1IP9jnYFH4BRFJBS,11587166,3135248,14556602,3507296,2969436,25.62693932235026,372048,11.866621077503279
The Rolling Stones,London,22bE4uQ6baNwSHPVcDxLCe,27136319,15601846,30644916,16647224,3508597,12.92952445023955,1045378,6.700348151109811
New Order,Manchester,0yNLKJebCb8Aueb54LYya3,6810274,2447721,8755971,2650437,1945697,28.570025229528213,202716,8.281826237549133
Oasis,Manchester,2DaxqgrOhkeH0fpeiQq2f4,32054080,12169549,38993195,13931085,6939115,21.64814900318462,1761536,14.474948907309548
The 1975,Manchester,3mIj9lX2MWuHmhNCA7LSCW,18704805,7913505,18897779,8580184,192974,1.0316814315893696,666679,8.424572929441505
