city,bands,listeners_baseline,listeners_current,followers_baseline,followers_current,listener_change_pct,follower_change_pct
Bristol,5,15918541,18103278,6466204,7136246,13.724480151792795,10.362215605941284
Manchester,5,81538194,92626004,31851456,35789023,13.598302164995225,12.362282590786421
Bradford,5,10293406,11170866,915064,1004509,8.524486452783453,9.774726139373868
Liverpool,5,47923901,51268480,33864772,35922738,6.978937294774901,6.077011237518448
Birmingham,5,58900419,62376134,20965458,22982029,5.901002164347924,9.618540172125023
Glasgow,5,26073464,26900505,7946620,8493626,3.171964415621953,6.883505188369399
London,5,171911056,177102781,90017023,96734294,3.020006461946223,7.462223006419566
Sheffield,5,83852220,85695184,46184664,50737854,2.197871445741084,9.858662174093125
Leeds,5,18936316,17946736,6330866,6625972,-5.225831677080162,4.661384398279789
Nottingham,5,8576433,6559323,3352301,3485896,-23.519218304392975,3.9851731691157743
