returned_spotify_id,spotify_name,followers,monthly_listeners,mapping_tier,fua_code,study_city_label,population
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,64732379,92034104,strict,UK001F,London,12274097
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,35028298,52301870,strict,UK010F,Sheffield,1168389
1dfeR4HaWDbWqFHLkxsg1d,Queen,58004701,51601234,strict,UK001F,London,12274097
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,15546243,50959935,strict,UK001F,London,12274097
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,41728665,45724043,strict,UK001F,London,12274097
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,16613975,43168156,strict,UK560F,Oxford,576725
5NGO30tJxFlKixkPSgXcFE,The Police,8458469,39887109,strict,UK001F,London,12274097
2DaxqgrOhkeH0fpeiQq2f4,Oasis,13941515,39676473,strict,UK008F,Manchester,3432092
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,16369649,38173160,strict,UK001F,London,12274097
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,32385954,37927636,strict,UK006F,Liverpool,1540817
6MDME20pz9RveH9rEXvrOM,Clean Bandit,6321202,35453400,strict,UK017F,Cambridge,396189
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,16651560,30690194,strict,UK001F,London,12274097
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,4804844,27093208,strict,UK560F,Oxford,576725
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,24145634,26546155,strict,UK001F,London,12274097
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,9643393,26242776,strict,UK001F,London,12274097
1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,7587105,25836943,strict,UK001F,London,12274097
7bu3H8JO7d0UbMoVzbo70s,The Cure,7492117,25827890,strict,UK576F,Crawley,118607
47zz7sob9NUcODy0BTDvKx,Sade,6060389,25528819,strict,UK001F,London,12274097
6nS5roXSAGhTGr34W6n7Et,Disclosure,2482964,25360907,strict,UK001F,London,12274097
4bthk9UfsYUYdcFyqxmSUU,Tears For Fears,4593372,23781006,strict,UK031F,Bath and North East Somerset,192419
53A0W3U0s8diEn9RhXQhVz,Keane,4211743,23259577,strict,UK056F,Hastings,184383
3yY2gUcIsjMr8hjo51PoJ8,The Smiths,8767855,22515532,strict,UK008F,Manchester,3432092
7EQ0qTo7fWT7DPxmxtSYEc,Bastille,5786448,22166012,strict,UK001F,London,12274097
12Chz98pHFMPJEknJQMWvI,Muse,8949427,20942571,strict,UK018F,Exeter,499952
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,16927470,20605707,strict,UK001F,London,12274097
3mIj9lX2MWuHmhNCA7LSCW,The 1975,8582651,18915018,strict,UK008F,Manchester,3432092
5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,10711277,18288641,strict,UK002F,Birmingham,3135994
1zxDewzd2j1ZdSBGaYcr0y,The Outfield,893650,17941634,strict,UK008F,Manchester,3432092
762310PdDnwsDxAQxzQkfX,Depeche Mode,7949283,17667155,strict,UK001F,London,12274097
35U9lQaRWSQISxQAB94Meo,America,2286400,17384987,strict,UK001F,London,12274097
2cGwlqi3k18jFpUyTrsR84,The Verve,3001478,16374768,strict,UK008F,Manchester,3432092
0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,3958344,15134650,strict,UK002F,Birmingham,3135994
0NKDgy9j66h3DLnN8qu1bB,Eurythmics,2546395,14843560,strict,UK510F,Sunderland,274378
