study_city_label,band_count,audience_total,audience_median,largest_band_audience,largest_band_share,top_three_share,herfindahl_index,effective_band_count,bands_above_threshold,audience_threshold,fua_code,population,followers_total,follower_output_quotient,largest_band_by_followers
London,299,492726154.0,235928.0,64732379.0,0.13137597522375483,0.333787325200521,0.04941673045893447,20.23606156686154,213,100000.0,UK001F,12274097,492726154.0,2.2820147655372836,Coldplay
Glasgow,31,16996691.0,206573.0,3218082.0,0.18933579483206467,0.4428882068868582,0.09346173280259593,10.699566229016297,21,100000.0,UK004F,1831890,16996691.0,0.5274330900379592,Franz Ferdinand
Manchester,52,62068335.0,297836.0,13941515.0,0.22461557894214498,0.5041543485901466,0.10356876788776032,9.655420455360842,38,100000.0,UK008F,3432092,62068335.0,1.0280483975384906,Oasis
Leeds,24,10059117.0,168690.0,3499216.0,0.3478651257361854,0.5756282584246708,0.1670182078693151,5.98737115406279,15,100000.0,UK003F,2969034,10059117.0,0.19259591638729265,alt-J
Birmingham,28,29959721.0,266820.5,10711277.0,0.35752258841128726,0.6479920156799858,0.1852776062544177,5.397306345953271,18,100000.0,UK002F,3135994,29959721.0,0.543081398292083,Black Sabbath
Edinburgh,15,4370899.0,135396.0,1724966.0,0.3946478744990447,0.6502932234306946,0.21129305226334733,4.732763284396306,9,100000.0,UK007F,893610,4370899.0,0.27805143258552556,Nazareth
Brighton and Hove,15,7111733.0,105080.0,2737101.0,0.3848711699384665,0.8248007904683711,0.24971067370638925,4.004634584326194,9,100000.0,UK515F,441252,7111733.0,0.9162018035816979,The Kooks
Southampton,4,1070012.0,304770.0,357588.0,0.3341906445909018,0.9038478073143106,0.2850095702901507,3.508654109340825,4,100000.0,UK520F,692010,1070012.0,0.08789793330013991,Bury Tomorrow
Coventry,7,1603615.0,144513.0,741585.0,0.4624457865510113,0.8181527361617346,0.2893715207308765,3.4557650921357514,4,100000.0,UK025F,741982,1603615.0,0.12285960824115623,The Specials
Cardiff,12,3543508.0,92472.0,1843050.0,0.5201201746969387,0.7911504644549977,0.32527632384777766,3.0743092155332477,5,100000.0,UK009F,905859,3543508.0,0.22236948997803208,Stereophonics
Hull,5,2355702.0,480010.0,1149369.0,0.48790933657992397,0.9032195073910028,0.3291264075795981,3.0383462917911057,4,100000.0,UK026F,609661,2355702.0,0.21965157540196908,Seafret
Bristol,8,6968117.0,197287.0,2943616.0,0.42244066797385865,0.9152591726000009,0.33000172366506253,3.0302872024236964,6,100000.0,UK011F,979556,6968117.0,0.40437896002696444,Massive Attack
Newcastle,10,4640329.0,75117.0,2812173.0,0.606028796665064,0.8814422425651285,0.40914984007257404,2.444092364358794,4,100000.0,UK013F,1173303,4640329.0,0.22482312390306156,The Animals
Sheffield,21,55840411.0,431631.0,35028298.0,0.6272929832124624,0.8634662986273508,0.4237187560166506,2.3600560178192906,13,100000.0,UK010F,1168389,55840411.0,2.7168366830979562,Arctic Monkeys
Guildford,5,5800025.0,474336.0,3958098.0,0.682427748156258,0.9128879616898203,0.5004228203339578,1.9983101476720202,4,100000.0,UK033F,272893,5800025.0,1.2082028497924164,Genesis
Oxford,7,24050638.0,719253.0,16613975.0,0.6907914459483362,0.9531211604448914,0.5220569566952532,1.915499807396959,5,100000.0,UK560F,576725,24050638.0,2.3706105333836733,Radiohead
Liverpool,39,44594392.0,183638.0,32385954.0,0.7262337829384466,0.7770059517797664,0.531441029256406,1.8816763195705895,25,100000.0,UK006F,1540817,44594392.0,1.6452487580803716,The Beatles
Nottingham,5,2494802.0,50841.0,1695264.0,0.6795184547711602,0.9632175218714752,0.532177693843732,1.8790716175594513,2,100000.0,UK029F,906878,2494802.0,0.15638302260929068,London Grammar
Newport,3,981527.0,262471.0,681458.0,0.6942834990784768,1.0,0.5550054769829886,1.80178402100823,2,100000.0,UK558F,252141,981527.0,0.2212896825385524,Skindred
Belfast,4,3605764.0,397432.0,2655723.0,0.7365215804473061,0.956964182902708,0.5726038395519776,1.7464081288424995,4,100000.0,UK012F,803943,3605764.0,0.2549613947359528,Two Door Cinema Club
Northampton,3,1453874.0,235396.0,1137691.0,0.7825237950468885,1.0,0.6416458328897602,1.5584921599137198,2,100000.0,UK528F,426707,1453874.0,0.19368651660672312,Bauhaus
Reading,4,1964773.0,198126.5,1560399.0,0.7941879290890093,0.995866698086751,0.6511237501590812,1.5358063651582086,3,100000.0,UK552F,351602,1964773.0,0.31766065756406847,Slowdive
Stoke-on-Trent,2,186628.0,93314.0,153668.0,0.8233919883404419,1.0,0.709164756245569,1.4101095566200428,1,100000.0,UK027F,477116,186628.0,0.022235925337296,Discharge
Dundee City,4,4146957.0,315032.5,3465980.0,0.8357887482315346,0.98772304607933,0.7131603084359627,1.4022092763310225,3,100000.0,UK550F,261740,4146957.0,0.9006619591435571,Snow Patrol
Milton Keynes,2,422537.0,211268.5,359654.0,0.851177530015123,1.0,0.7466513151750451,1.339313250610909,1,100000.0,UK525F,288312,422537.0,0.0833113959839009,TesseracT
York,3,2840421.0,175249.0,2530673.0,0.8909499683321592,1.0,0.79984071130112,1.2502489381582942,3,100000.0,UK533F,201851,2840421.0,0.7999340723021986,Asking Alexandria
Bath and North East Somerset,3,5127963.0,516287.0,4593372.0,0.895749832828357,1.0,0.8125171110807416,1.230743311571475,2,100000.0,UK031F,192419,5127963.0,1.5149535445896194,Tears For Fears
Middlesbrough,2,3875163.0,1937581.5,3532823.0,0.911657909615673,1.0,0.8389244690982911,1.1920024231440516,2,100000.0,UK559F,570155,3875163.0,0.3863664642145465,Whitesnake
Cambridge,5,6663454.0,81280.0,6321202.0,0.9486374483863774,0.9866278059396824,0.9008169038618605,1.1101035024020254,2,100000.0,UK017F,396189,6663454.0,0.9560913224825077,Clean Bandit
Falkirk,2,1770678.0,885339.0,1683661.0,0.9508566774986756,1.0,0.9065434872902896,1.1030910419852635,1,100000.0,UK551F,158760,1770678.0,0.6340169769866089,Cocteau Twins
Leicester,2,2012129.0,1006064.5,1926968.0,0.9576761728497527,1.0,0.9189349583887934,1.0882162996098672,1,100000.0,UK014F,922812,2012129.0,0.1239495553152934,Kasabian
Sunderland,2,2655333.0,1327666.5,2546395.0,0.9589738838782179,1.0,0.9213140521645118,1.0854062169687149,2,100000.0,UK510F,274378,2655333.0,0.5501385680119516,Eurythmics
Plymouth,2,1153297.0,576648.5,1135985.0,0.9849891224896969,1.0,0.9704288978666524,1.0304721986313015,1,100000.0,UK516F,411409,1153297.0,0.15935649175484493,Metronomy
Hastings,2,4238953.0,2119476.5,4211743.0,0.9935809620913466,1.0,0.9872443322780386,1.0129204770338138,1,100000.0,UK056F,184383,4238953.0,1.3068932364037527,Keane
Exeter,2,8980240.0,4490120.0,8949427.0,0.996568799942986,1.0,0.9931611461536345,1.006885945823446,1,100000.0,UK018F,499952,8980240.0,1.0210852892474591,Muse
Crawley,1,7492117.0,7492117.0,7492117.0,1.0,1.0,1.0,1.0,1,100000.0,UK576F,118607,7492117.0,3.590844641023517,The Cure
Wrexham,1,1843051.0,1843051.0,1843051.0,1.0,1.0,1.0,1.0,1,100000.0,UK022F,135152,1843051.0,0.7752062438763491,Neck Deep
Luton,1,2025126.0,2025126.0,2025126.0,1.0,1.0,1.0,1.0,1,100000.0,UK532F,224958,2025126.0,0.5117442754313621,Jethro Tull
Dacorum,1,808818.0,808818.0,808818.0,1.0,1.0,1.0,1.0,1,100000.0,UK556F,155211,808818.0,0.29623113101076953,Porcupine Tree
Derry & Strabane Local Government District,1,274928.0,274928.0,274928.0,1.0,1.0,1.0,1.0,1,100000.0,UK586F,150834,274928.0,0.10361487570022826,The Undertones
Bracknell Forest,1,219418.0,219418.0,219418.0,1.0,1.0,1.0,1.0,1,100000.0,UK573F,125195,219418.0,0.09962943182072197,The Hoosiers
Torbay,1,239755.0,239755.0,239755.0,1.0,1.0,1.0,1.0,1,100000.0,UK561F,139440,239755.0,0.09774232937276892,Wishbone Ash
Stevenage,1,150339.0,150339.0,150339.0,1.0,1.0,1.0,1.0,1,100000.0,UK021F,89360,150339.0,0.09563808753390105,Fields Of The Nephilim
Swindon,1,391755.0,391755.0,391755.0,1.0,1.0,1.0,1.0,1,100000.0,UK535F,233760,391755.0,0.09526793144213012,XTC
Bedford,1,285868.0,285868.0,285868.0,1.0,1.0,1.0,1.0,1,100000.0,UK549F,185796,285868.0,0.08746444996553622,DON BROCO
Eastbourne,1,146489.0,146489.0,146489.0,1.0,1.0,1.0,1.0,1,100000.0,UK055F,101601,146489.0,0.08196140938254214,Toploader
Swansea,1,471790.0,471790.0,471790.0,1.0,1.0,1.0,1.0,1,100000.0,UK517F,379831,471790.0,0.07060910561352435,Badfinger
Burnley,1,225650.0,225650.0,225650.0,1.0,1.0,1.0,1.0,1,100000.0,UK050F,190553,225650.0,0.06731656288742974,Chumbawamba
Ipswich,1,510654.0,510654.0,510654.0,1.0,1.0,1.0,1.0,1,100000.0,UK569F,479138,510654.0,0.06058547376697224,The Darkness
Derby,1,468353.0,468353.0,468353.0,1.0,1.0,1.0,1.0,1,100000.0,UK518F,495753,468353.0,0.053704458427369824,The Struts
Great Yarmouth,1,81520.0,81520.0,81520.0,1.0,1.0,1.0,1.0,0,100000.0,UK051F,100179,81520.0,0.04625832092055607,Catherine Wheel
Colchester,1,242915.0,242915.0,242915.0,1.0,1.0,1.0,1.0,1,100000.0,UK546F,341583,242915.0,0.04042597199374948,Modern English
Warrington,1,146142.0,146142.0,146142.0,1.0,1.0,1.0,1.0,1,100000.0,UK531F,211182,146142.0,0.03933874800054849,Viola Beach
Blackpool,1,192021.0,192021.0,192021.0,1.0,1.0,1.0,1.0,1,100000.0,UK553F,335160,192021.0,0.03256858807285032,Boston Manor
Worthing,1,31701.0,31701.0,31701.0,1.0,1.0,1.0,1.0,0,100000.0,UK045F,111654,31701.0,0.016139908258934327,The Ordinary Boys
Norwich,1,113814.0,113814.0,113814.0,1.0,1.0,1.0,1.0,1,100000.0,UK566F,417964,113814.0,0.015479580821238943,Let's Eat Grandma
Cheshire West and Chester,1,130580.0,130580.0,130580.0,1.0,1.0,1.0,1.0,1,100000.0,UK568F,512775,130580.0,0.014476121079129909,The Joy Formidable
Peterborough,1,52002.0,52002.0,52002.0,1.0,1.0,1.0,1.0,0,100000.0,UK545F,216470,52002.0,0.013656037973035984,The Wytches
Preston,1,43772.0,43772.0,43772.0,1.0,1.0,1.0,1.0,0,100000.0,UK562F,258989,43772.0,0.009607656285023681,Xentrix
Mansfield,1,18419.0,18419.0,18419.0,1.0,1.0,1.0,1.0,0,100000.0,UK046F,110592,18419.0,0.009467705092001786,B-Movie
Cheltenham,1,21846.0,21846.0,21846.0,1.0,1.0,1.0,1.0,0,100000.0,UK571F,214238,21846.0,0.005796659760833651,[spunge]
