study_city_label,fua_code,radius_metres,population_year,population,Music venue,Nightclub,Arts centre,Music shop,Audio studio,University,music_place_count,music_places_per_million,named_element_share,band_count,effective_band_count,follower_output_quotient
London,UK001F,15000,2024,12666099,9,142,122,97,38,145,408,32.211969920651974,0.9656419529837251,309.0,21.17524055539091,2.3131931392235465
Birmingham,UK002F,15000,2024,3247941,1,109,26,16,5,31,157,48.33831649035496,0.9946808510638298,27.0,6.243926434352179,0.6138877218199973
Bristol,UK011F,15000,2024,1025309,1,29,19,23,2,22,74,72.17336432236526,1.0,8.0,3.0302872024236964,0.39479777110304975
Edinburgh,UK007F,15000,2024,932180,3,19,26,19,7,23,74,79.38380999377802,0.9896907216494846,14.0,4.464368170801178,0.26394852553808323
Glasgow,UK004F,15000,2024,1895840,3,25,22,16,7,7,73,38.50535910203393,0.9625,29.0,9.78186428663391,0.4670360746976663
Manchester,UK008F,15000,2024,3595966,2,26,16,24,4,14,72,20.022436252178135,0.9534883720930233,54.0,9.733739532053486,1.0066353643126569
Leeds,UK003F,15000,2024,3070506,2,25,14,11,2,18,54,17.586677896086183,1.0,26.0,6.738779417179407,0.20542608730455028
Sheffield,UK010F,15000,2024,1217504,4,21,18,8,2,7,53,43.53168449549242,0.9333333333333333,22.0,2.370068631398938,2.670015946093452
Liverpool,UK006F,15000,2024,1597536,0,36,6,7,1,9,50,31.298199226809288,0.9491525423728814,37.0,1.8306225068087234,1.5990020308475055
Newcastle,UK013F,15000,2024,1221203,3,17,17,10,1,9,48,39.30550449024446,0.9649122807017544,10.0,2.444092364358794,0.22073689953076536
Nottingham,UK029F,15000,2024,936382,0,15,10,13,6,9,44,46.98936972304038,1.0,4.0,1.8046739523567685,0.15161956352295275
Coventry,UK025F,15000,2024,787858,1,16,3,7,0,5,27,34.27013497356123,0.875,6.0,3.364538394233531,0.11663205399221684
Cardiff,UK009F,15000,2024,939371,1,9,7,9,0,2,26,27.678095236067538,1.0,12.0,3.903417852199954,0.26671805157873246
Southampton,UK520F,15000,2024,713674,1,13,3,9,0,7,26,36.43119967940544,1.0,4.0,3.508654109340825,0.08709692064044354
Portsmouth,UK023F,15000,2024,539655,0,6,6,13,0,5,25,46.32589339485412,1.0,,,
Belfast,UK012F,15000,2024,817574,2,8,7,4,1,11,22,26.90887919625624,0.9696969696969697,5.0,2.318293570023975,0.3040387495151538
Hull,UK026F,15000,2024,631285,0,9,2,6,3,1,20,31.681411723706407,1.0,5.0,3.0383462917911057,0.21677485679202757
Oxford,UK560F,15000,2024,606748,1,4,8,2,2,69,17,28.018221732910533,0.8837209302325582,8.0,1.9364487719561554,2.315297094667931
Middlesbrough,UK559F,15000,2024,600369,0,10,5,1,0,2,16,26.65027674646759,1.0,2.0,1.1920024231440516,0.37496069279588673
Leicester,UK014F,15000,2024,967988,3,2,2,3,0,10,10,10.330706579007177,0.9,2.0,1.0882162996098672,0.12075354085995861
