fua_code,study_city_label,population,radius_metres,element_key,category,name,osm_tags
UK012F,Belfast,803943,15000,node:450146569,Music venue,Limelight 1,"{""addr:floor"": ""G"", ""addr:housenumber"": ""17"", ""addr:postcode"": ""BT2 8HD"", ""addr:street"": ""Ormeau Avenue"", ""amenity"": ""music_venue"", ""check_date"": ""2026-03-20"", ""level"": ""0"", ""name"": ""Limelight 1"", ""wheelchair"": ""yes""}"
UK012F,Belfast,803943,15000,node:450146571,Music venue,Limelight 2,"{""amenity"": ""music_venue"", ""check_date"": ""2026-03-20"", ""name"": ""Limelight 2"", ""wheelchair"": ""limited""}"
UK012F,Belfast,803943,15000,node:3021419122,Music shop,HMV,"{""addr:city"": ""Belfast"", ""addr:housename"": ""Donegall Arcade"", ""addr:postcode"": ""BT1 1PT"", ""addr:street"": ""Castle Place"", ""addr:unit"": ""3,4,5,6"", ""brand"": ""HMV"", ""brand:wikidata"": ""Q10854572"", ""brand:wikipedia"": ""en:HMV"", ""contact:twitter"": ""@hmvBelfast"", ""contact:website"": ""https://www.hmv.com/store-finder/hmv-belfast-ni"", ""name"": ""HMV"", ""shop"": ""music"", ""wheelchair"": ""limited""}"
UK012F,Belfast,803943,15000,node:3873263212,Music shop,Sick Records,"{""addr:city"": ""Belfast"", ""addr:housenumber"": ""78"", ""addr:postcode"": ""BT1 1ZZ"", ""addr:street"": ""North Street"", ""name"": ""Sick Records"", ""shop"": ""music""}"
UK012F,Belfast,803943,15000,node:4393583122,Arts centre,Ballyearl Arts and Leisure Centre,"{""addr:city"": ""Newtownabbey"", ""addr:street"": ""Doagh Road"", ""amenity"": ""arts_centre"", ""leisure"": ""sports_centre"", ""name"": ""Ballyearl Arts and Leisure Centre"", ""operator"": ""Antrim and Newtownabbey Borough Council"", ""operator:website"": ""https://antrimandnewtownabbey.gov.uk/"", ""operator:wikidata"": ""Q16983224"", ""operator:wikipedia"": ""en:Antrim and Newtownabbey Borough Council""}"
UK012F,Belfast,803943,15000,node:4513738301,Nightclub,The Kremlin,"{""addr:city"": ""Belfast"", ""addr:housenumber"": ""96"", ""addr:postcode"": ""BT1 2GW"", ""addr:street"": ""Donegall Street"", ""amenity"": ""nightclub"", ""contact:twitter"": ""kremlinbelfast"", ""fhrs:id"": ""58619"", ""lgbtq"": ""primary"", ""name"": ""The Kremlin"", ""website"": ""https://www.kremlin-belfast.com/""}"
UK012F,Belfast,803943,15000,node:5176264372,Nightclub,Love and Death Inc.,"{""addr:city"": ""Belfast"", ""addr:housenumber"": ""10A"", ""addr:postcode"": ""BT1 4EF"", ""addr:street"": ""Ann Street"", ""amenity"": ""nightclub"", ""fhrs:id"": ""72214"", ""name"": ""Love and Death Inc."", ""wheelchair"": ""no""}"
UK012F,Belfast,803943,15000,node:12015177578,Music shop,Sound Advice,"{""name"": ""Sound Advice"", ""opening_hours"": ""We-Sa 11:00-17:00; Su 13:00-17:00"", ""second_hand"": ""yes"", ""shop"": ""music"", ""website"": ""https://www.soundadvicebelfast.com/""}"
UK012F,Belfast,803943,15000,node:12650175217,University,QUB School of Psychology,"{""amenity"": ""university"", ""name"": ""QUB School of Psychology""}"
UK012F,Belfast,803943,15000,node:12650210910,University,Elmwood One (QUB Student union),"{""amenity"": ""university"", ""name"": ""Elmwood One (QUB Student union)""}"
UK012F,Belfast,803943,15000,node:13196790349,Nightclub,Liquid Club & Lava Lounge,"{""amenity"": ""nightclub"", ""name"": ""Liquid Club & Lava Lounge""}"
UK012F,Belfast,803943,15000,node:13196790368,Audio studio,1620 Audio,"{""amenity"": ""studio"", ""name"": ""1620 Audio"", ""studio"": ""audio""}"
UK012F,Belfast,803943,15000,node:13201706425,Arts centre,ArtsEkta,"{""amenity"": ""arts_centre"", ""name"": ""ArtsEkta""}"
UK012F,Belfast,803943,15000,node:13845815809,Arts centre,Flax Art Studios,"{""addr:city"": ""Belfast"", ""addr:street"": ""North Street"", ""amenity"": ""arts_centre"", ""name"": ""Flax Art Studios""}"
