rank_by_followers,fua_code,official_fua_name,study_city_label,population_year,population,band_count,monthly_listeners_total,followers_total,largest_band_by_followers,largest_band_followers,population_share,band_share,monthly_listener_share,follower_share,band_output_quotient,monthly_listener_output_quotient,follower_output_quotient,largest_band_follower_share,representation_status,latitude,longitude,city_qid,coordinate_source_url,band_name,band_qid,commons_filename,commons_page_url,local_path,image_sha256,artist,credit,license_short_name,license_url,attribution_text,share_of_mapped_followers,circle_area_points2,quotient_circle_area_points2
1,UK001F,London,London,2024,12666099,309,1129936716.0,504360128.0,Coldplay,64732379.0,0.23500573631419558,0.309,0.49036422237207483,0.543613656920175,1.3148615214518693,2.086605331694851,2.3131931392235465,0.128345551930703,two or more selected bands,51.507222222222,-0.1275,Q84,https://www.wikidata.org/wiki/Q84,Coldplay,Q45188,ColdplayWembley120925 (cropped).jpg,https://commons.wikimedia.org/wiki/File:ColdplayWembley120925_(cropped).jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/01_london_coldplay.jpg,5ad5b285b70e494aed7bb08c121637448bda3695484bcc2599eeb5f550d14b0d,Raph_PH,https://www.flickr.com/photos/69880995@N04/54787592273/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Coldplay photo: Raph_PH · CC BY 4.0,0.5872673336716691,5043.60128,1966.2141683400146
2,UK008F,Manchester,Manchester,2024,3595966,54,182763073.0,62312293.0,Oasis,13941515.0,0.06671925093833647,0.054,0.07931459426084862,0.06716195747497991,0.8093616046425355,1.1887812459728162,1.0066353643126569,0.22373618958300892,two or more selected bands,53.466666666667,-2.2333333333333,Q18125,https://www.wikidata.org/wiki/Q18125,Oasis,Q382890,Oasis - Wembley Stadium - Saturday 27th September 2025.jpg,https://commons.wikimedia.org/wiki/File:Oasis_-_Wembley_Stadium_-_Saturday_27th_September_2025.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/02_manchester_oasis.jpg,904680c66bc490b6098225dada426f1a42efc2bbb2aabf4d2ad7b444ea3947dd,Raph_PH,https://www.flickr.com/photos/raph_ph/54829207667/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Oasis photo: Raph_PH · CC BY 4.0,0.07255524799350874,623.12293,855.6400596657584
3,UK010F,Sheffield,Sheffield,2024,1217504,22,96627089.0,55959036.0,Arctic Monkeys,35028298.0,0.022589466889961808,0.022,0.041933735479715364,0.06031423680994808,0.9739052323442058,1.8563401997923936,2.670015946093452,0.6259632135192608,two or more selected bands,53.380833333333335,-1.4702777777777778,Q42448,https://www.wikidata.org/wiki/Q42448,Arctic Monkeys,Q170599,Arctic Monkeys - Orange Stage - Roskilde Festival 2014.jpg,https://commons.wikimedia.org/wiki/File:Arctic_Monkeys_-_Orange_Stage_-_Roskilde_Festival_2014.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/03_sheffield_arctic_monkeys.jpg,0b740380c4fa82441d31344bc08d5f60464c2948a3623e450ee1ccbceda10d47,Bill Ebbesen,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Arctic Monkeys photo: Bill Ebbesen · CC BY 3.0,0.0651576364628033,559.59036,2269.513554179434
4,UK006F,Liverpool,Liverpool,2024,1597536,37,84469909.0,43972954.0,The Beatles,32385954.0,0.029640548677886912,0.037,0.036657823977307526,0.047395297531375516,1.2482899828235483,1.2367457962968071,1.5990020308475055,0.7364971204800114,two or more selected bands,53.407222222222224,-2.9916666666666667,Q24826,https://www.wikidata.org/wiki/Q24826,The Beatles,Q1299,Beatles Trenter 1963.jpg,https://commons.wikimedia.org/wiki/File:Beatles_Trenter_1963.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/04_liverpool_the_beatles.jpg,a289436c4a7b1578a9ff5635783d88eccb7b4181810761cb3939d3024fab073f,Bo Trenter,BEATLES early Swedish 1963 EP,Public domain,,The Beatles photo: Bo Trenter · Public domain,0.05120127071037415,439.72954,1359.1517262203797
5,UK002F,West Midlands urban area,Birmingham,2024,3247941,27,89027792.0,34322827.0,Black Sabbath,10711277.0,0.060262024338359005,0.027,0.038635830994257936,0.03699411683333644,0.44804336224087815,0.6411306526532465,0.6138877218199973,0.31207443955592584,two or more selected bands,52.48,-1.9025,Q2256,https://www.wikidata.org/wiki/Q2256,Black Sabbath,Q47670,Black Sabbath (1970).png,https://commons.wikimedia.org/wiki/File:Black_Sabbath_(1970).png,data/raw/wikimedia/top1000_city_band_photos_20260723/05_birmingham_black_sabbath.png,c15d2c21540f3b90770c7e5203e0945f1527e584a518face0dbb8897e973142f,Warner Bros. Records,"Billboard , page 7, 18 July 1970",Public domain,,Black Sabbath photo: Warner Bros. Records · Public domain,0.0399648465002451,343.22827,521.8045635469977
6,UK560F,Oxford,Oxford,2024,606748,8,79614506.0,24182492.0,Radiohead,16613975.0,0.01125755139740859,0.008,0.03455070073519665,0.026064576043495012,0.7106341083942592,3.0691133014191685,2.315297094667931,0.6870249352300003,two or more selected bands,51.751944444444,-1.2577777777778,Q34217,https://www.wikidata.org/wiki/Q34217,Radiohead,Q44190,RadioheadO2211125 composite.jpg,https://commons.wikimedia.org/wiki/File:RadioheadO2211125_composite.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/06_oxford_radiohead.jpg,f3ec4028aab5ffec579b40c38c6537dc3e0dc4a5279327e68254f7da07db0f1c,Raph_PH,https://www.flickr.com/photos/raph_ph/albums/72177720330630937 Ed O'Brien Thom Yorke Colin Greenwood Philip Selway Johnny Greenwood,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Radiohead photo: Raph_PH · CC BY 4.0,0.02815763342493336,241.82492,1968.0025304677413
7,UK004F,Glasgow,Glasgow,2024,1895840,29,50069734.0,15241864.0,Franz Ferdinand,3218082.0,0.03517525602270317,0.029,0.02172900997872047,0.016428113499328732,0.8244431819140856,0.6177356595413525,0.4670360746976663,0.2111344124314454,two or more selected bands,55.861111111111114,-4.25,Q4093,https://www.wikidata.org/wiki/Q4093,Franz Ferdinand,Q173180,Franz Ferdinand.jpg,https://commons.wikimedia.org/wiki/File:Franz_Ferdinand.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/07_glasgow_franz_ferdinand.jpg,03911c57b32ec2cc832e201199d4f90a6075cfd6280969ecd1391e925e8df388,Erin Mc,https://www.flickr.com/photos/erintheredmc/54449417946/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Franz Ferdinand photo: Erin Mc · CC BY 2.0,0.017747336346671323,152.41864,396.9806634930163
8,UK003F,Leeds,Leeds,2024,3070506,26,27495457.0,10858042.0,alt-J,3499216.0,0.05696991026101686,0.026,0.011932339395341695,0.011703105759012044,0.45638127005776896,0.2094498541540921,0.20542608730455028,0.3222695215214677,two or more selected bands,53.7975,-1.5436111111111113,Q39121,https://www.wikidata.org/wiki/Q39121,alt-J,Q47996,"Alt-J, Pryzm, Kingston (52132709047).jpg","https://commons.wikimedia.org/wiki/File:Alt-J,_Pryzm,_Kingston_(52132709047).jpg",data/raw/wikimedia/top1000_city_band_photos_20260723/08_leeds_alt_j.jpg,b35fc004bf245e23609788d52ec7511ce89064f88b8a6e192dfda863dde6085d,"Drew de F Fawkes from Guildford, United Kingdom","alt-J, Pryzm, Kingston",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"alt-J photo: Drew de F Fawkes from Guildford, United Kingdom · CC BY 2.0",0.012642897446157752,108.58042,174.61217420886774
9,UK018F,Exeter,Exeter,2024,520179,1,20942571.0,8949427.0,Muse,8949427.0,0.009651357447165219,0.001,0.009088551064382765,0.009645946356033426,0.10361236805022887,0.9416862979261263,0.9994393440340993,1.0,one selected band,50.72555555555556,-3.526944444444444,Q134672,https://www.wikidata.org/wiki/Q134672,Muse,Q22151,Muse 2006 003.jpg,https://commons.wikimedia.org/wiki/File:Muse_2006_003.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/09_exeter_muse.jpg,c093fa9139530970207d5921a6f81d42b5299510d5df58eee1339e1a7f0a5ee6,Warner Music Sweden,http://www.mynewsdesk.com/se/warnermusic/images/muse2-pressbild-5743,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Muse photo: Warner Music Sweden · CC BY 3.0,0.010420542466392672,89.49427,849.5234424289844
10,UK576F,Crawley,Crawley,2024,124008,1,25827890.0,7492117.0,The Cure,7492117.0,0.002300834009654493,0.001,0.011208657100900408,0.008075216287604343,0.43462500806399584,4.871562682865404,3.509690944118548,1.0,one selected band,51.1157,-0.1937,Q844908,https://www.wikidata.org/wiki/Q844908,The Cure,Q484427,The Cure Live in Singapore 2- 1st August 2007.jpg,https://commons.wikimedia.org/wiki/File:The_Cure_Live_in_Singapore_2-_1st_August_2007.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/10_crawley_the_cure.jpg,137bbfad5d9fc3f9611d261f66840df1cdbccd51f13fd90f56e945234fbcad42,"momento mori from Kuala Lumpur, Malaysia",The Cure Live in Singapore - 1st August 2007,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"The Cure photo: momento mori from Kuala Lumpur, Malaysia · CC BY 2.0",0.00872367843904224,74.92117,2983.237302500766
