fua_code,official_fua_name,study_city_label,population_year,population,band_count,monthly_listeners_total,followers_total,largest_band_by_followers,largest_band_followers,population_share,band_share,monthly_listener_share,follower_share,band_output_quotient,monthly_listener_output_quotient,follower_output_quotient,largest_band_follower_share,representation_status,model_included,expected_follower_median,expected_follower_mean_smearing,expected_follower_median_share,expected_median_ci_low,expected_median_ci_high,log_residual,studentized_log_residual,observed_to_expected_median,leverage,cooks_distance,residual_rank
UK576F,Crawley,Crawley,2021,118607,1,25827890.0,7492117.0,The Cure,7492117.0,0.0022818413757883407,0.001,0.011431999318011147,0.008193737875915293,0.43824255735327594,5.009988616786112,3.590844641023517,1.0,one selected band,True,205911.51880832657,576469.0106014537,0.00022519469607148814,108352.38122830524,391311.6915133901,3.594160123928443,2.437255909885447,36.38512815290366,0.04094049920489148,0.126788496116437,1
UK031F,Bath and North East Somerset,Bath and North East Somerset,2021,192419,3,29351691.0,5127963.0,Tears For Fears,4593372.0,0.0037018863615791374,0.003,0.012991712117965265,0.005608185865142284,0.8103976478414293,3.509484313944015,1.5149535445896194,0.895749832828357,two or more selected bands,True,430046.0379259905,1203955.05521494,0.00047031893780375995,255978.4884454333,722481.0016614572,2.478571515385134,1.6671146512951265,11.924218683029713,0.025178845240987444,0.0358931690242895,2
UK056F,Hastings,Hastings,2021,184383,2,23368997.0,4238953.0,Keane,4211743.0,0.003547284379437821,0.002,0.010343638515055025,0.004635921963087971,0.5638115769892018,2.91593157148971,1.3068932364037527,0.9935809620913466,two or more selected bands,True,403010.4564390234,1128266.3564912206,0.00044075153141820075,237456.7706920981,683987.3528381761,2.3531090756616333,1.5835974893586409,10.518220885520295,0.02624997493904962,0.03380189315859459,3
UK560F,Oxford,Oxford,2021,576725,7,79526400.0,24050638.0,Radiohead,16613975.0,0.011095424110309938,0.007,0.03520015574496723,0.02630292926825991,0.6308907104772639,3.1724930381218166,2.3706105333836733,0.6907914459483362,two or more selected bands,True,2286098.8709133654,6400152.657216168,0.0025001871843018503,1606398.5838263268,3253394.3320236346,2.353314709210826,1.5777127456560072,10.520384007009731,0.01880093912388484,0.02384779840239868,4
UK010F,Sheffield,Sheffield,2021,1168389,21,96581616.0,55840411.0,Arctic Monkeys,35028298.0,0.022478254767559786,0.021,0.04274917417738787,0.06106974712452795,0.9342362303992935,1.9018013017221742,2.7168366830979562,0.6272929832124624,two or more selected bands,True,6695387.151599945,18744377.338449456,0.00732239596605086,4468704.773348784,10031588.879436325,2.121079014295649,1.434831724833443,8.340131755735179,0.036249255983446124,0.038717411672039716,5
UK033F,Guildford,Guildford,2021,272893,5,20390894.0,5800025.0,Genesis,3958098.0,0.005250099391798188,0.005,0.00902546380295245,0.0063431850468640034,0.952362922464116,1.7191034167947778,1.2082028497924164,0.682427748156258,two or more selected bands,True,731936.6297217198,2049126.669554633,0.000800480943599872,470110.0676666132,1139586.8048252757,2.0699235680746746,1.387666911020894,7.924217431507908,0.01872411346491404,0.018371753386614946,6
UK022F,Wrexham,Wrexham,2021,135152,1,2790501.0,1843051.0,Neck Deep,1843051.0,0.002600145232748032,0.001,0.001235137888883274,0.0020156488194115973,0.3845939016810702,0.47502649979973843,0.7752062438763491,1.0,one selected band,True,251187.39799543246,703223.1690387838,0.0002747105653726155,136848.8819817256,461056.80951154075,1.9929783634404288,1.3479363579482915,7.337354559616538,0.03590603229938055,0.0338342716199494,7
UK533F,York,York,2021,201851,3,3093017.0,2840421.0,Asking Alexandria,2530673.0,0.0038833455322557046,0.003,0.0013690382077125496,0.0031064204057738545,0.7725297620522068,0.35254092028151857,0.7999340723021986,0.8909499683321592,two or more selected bands,True,462537.64167927025,1294918.4106255858,0.0005058533113756729,278424.5143135535,768398.8261510868,1.814979618550149,1.2200695477852326,6.140951014684301,0.024050596213917426,0.018341621341509923,8
UK550F,Dundee City,Dundee City,2021,261740,4,14342542.0,4146957.0,Snow Patrol,3465980.0,0.005035530463622217,0.004,0.006348328506995586,0.00453531073269305,0.7943552380224651,1.2607070005548198,0.9006619591435571,0.8357887482315346,two or more selected bands,True,686895.9064308072,1923030.852562212,0.0007512222520461535,437541.1383360854,1078357.99866887,1.797947329532608,1.2056754790540776,6.037242267970532,0.0192777089736476,0.01428697333298674,9
UK551F,Falkirk,Falkirk,2021,158760,2,5204007.0,1770678.0,Cocteau Twins,1683661.0,0.003054331842304054,0.002,0.002303409394841206,0.0019364982413715562,0.6548076971529353,0.7541451007182032,0.6340169769866089,0.9508566774986756,two or more selected bands,True,320933.893376638,898485.1602960527,0.0003509886722037468,182248.56501765127,565154.3204628886,1.70788264078519,1.1518851270520025,5.517267065096132,0.030493600078290085,0.020866344144815214,10
