popularity_rank,spotify_name,returned_spotify_id,monthly_listeners,origin_cluster,mapping_tier,mapping_method,fua_code,official_fua_name,study_city_label,population_year,population,notes
1,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,92034104,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2021.0,12274097.0,"The official OECD municipality list assigns Camden, City of London, Greenwich, Hackney, Hertsmere, Islington, Lewisham, Waltham Forest to London FUA."
2,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,52301870,Sheffield,strict,official_oecd_municipality_crosswalk,UK010F,Sheffield,Sheffield,2021.0,1168389.0,The official OECD municipality list assigns Sheffield to Sheffield FUA.
3,Queen,1dfeR4HaWDbWqFHLkxsg1d,51601234,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2021.0,12274097.0,"The official OECD municipality list assigns Camden, City of London, Greenwich, Hackney, Hertsmere, Islington, Lewisham, Waltham Forest to London FUA."
4,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,50959935,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2021.0,12274097.0,"The official OECD municipality list assigns Camden, City of London, Greenwich, Hackney, Hertsmere, Islington, Lewisham, Waltham Forest to London FUA."
5,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,45724043,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2021.0,12274097.0,"The official OECD municipality list assigns Camden, City of London, Greenwich, Hackney, Hertsmere, Islington, Lewisham, Waltham Forest to London FUA."
6,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,43168156,Oxford,strict,official_oecd_municipality_crosswalk,UK560F,Oxford,Oxford,2021.0,576725.0,The official OECD municipality list assigns Oxford to Oxford FUA.
7,The Police,5NGO30tJxFlKixkPSgXcFE,39887109,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2021.0,12274097.0,"The official OECD municipality list assigns Camden, City of London, Greenwich, Hackney, Hertsmere, Islington, Lewisham, Waltham Forest to London FUA."
8,Oasis,2DaxqgrOhkeH0fpeiQq2f4,39676473,Manchester,strict,official_oecd_municipality_crosswalk,UK008F,Manchester,Manchester,2021.0,3432092.0,The official OECD municipality list assigns Manchester to Manchester FUA.
9,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,38173160,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2021.0,12274097.0,"The official OECD municipality list assigns Camden, City of London, Greenwich, Hackney, Hertsmere, Islington, Lewisham, Waltham Forest to London FUA."
10,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,37927636,Liverpool,strict,official_oecd_municipality_crosswalk,UK006F,Liverpool,Liverpool,2021.0,1540817.0,The official OECD municipality list assigns Liverpool to Liverpool FUA.
11,Clean Bandit,6MDME20pz9RveH9rEXvrOM,35453400,Cambridge,strict,official_oecd_municipality_crosswalk,UK017F,Cambridge,Cambridge,2021.0,396189.0,The official OECD municipality list assigns Cambridge to Cambridge FUA.
12,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,30690194,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2021.0,12274097.0,"The official OECD municipality list assigns Camden, City of London, Greenwich, Hackney, Hertsmere, Islington, Lewisham, Waltham Forest to London FUA."
13,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,29286539,Redcliffe,excluded_non_uk,outside_uk_fua_universe,,,,,,Redcliffe is outside the UK FUA universe.
14,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,27093208,Oxford,strict,official_oecd_municipality_crosswalk,UK560F,Oxford,Oxford,2021.0,576725.0,The official OECD municipality list assigns Oxford to Oxford FUA.
15,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,26546155,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2021.0,12274097.0,"The official OECD municipality list assigns Camden, City of London, Greenwich, Hackney, Hertsmere, Islington, Lewisham, Waltham Forest to London FUA."
16,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,26242776,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2021.0,12274097.0,"The official OECD municipality list assigns Camden, City of London, Greenwich, Hackney, Hertsmere, Islington, Lewisham, Waltham Forest to London FUA."
17,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,25836943,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2021.0,12274097.0,"The official OECD municipality list assigns Camden, City of London, Greenwich, Hackney, Hertsmere, Islington, Lewisham, Waltham Forest to London FUA."
18,The Cure,7bu3H8JO7d0UbMoVzbo70s,25827890,Crawley,strict,official_oecd_municipality_crosswalk,UK576F,Crawley,Crawley,2021.0,118607.0,The official OECD municipality list assigns Crawley to Crawley FUA.
19,Sade,47zz7sob9NUcODy0BTDvKx,25528819,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2021.0,12274097.0,"The official OECD municipality list assigns Camden, City of London, Greenwich, Hackney, Hertsmere, Islington, Lewisham, Waltham Forest to London FUA."
20,Disclosure,6nS5roXSAGhTGr34W6n7Et,25360907,Reigate,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2021.0,12274097.0,The official OECD municipality list assigns Reigate and Banstead to London FUA.
21,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,23781006,Bath,strict,official_oecd_municipality_crosswalk,UK031F,Bath and North East Somerset,Bath and North East Somerset,2021.0,192419.0,The official OECD municipality list assigns Bath and North East Somerset to Bath and North East Somerset FUA.
22,Keane,53A0W3U0s8diEn9RhXQhVz,23259577,Battle,strict,official_oecd_municipality_crosswalk,UK056F,Hastings,Hastings,2021.0,184383.0,The official OECD municipality list assigns Rother to Hastings FUA.
23,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,22515532,Manchester,strict,official_oecd_municipality_crosswalk,UK008F,Manchester,Manchester,2021.0,3432092.0,The official OECD municipality list assigns Manchester to Manchester FUA.
24,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,22166012,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2021.0,12274097.0,"The official OECD municipality list assigns Camden, City of London, Greenwich, Hackney, Hertsmere, Islington, Lewisham, Waltham Forest to London FUA."
25,Muse,12Chz98pHFMPJEknJQMWvI,20942571,Teignmouth,strict,official_oecd_municipality_crosswalk,UK018F,Exeter,Exeter,2021.0,499952.0,The official OECD municipality list assigns Teignbridge to Exeter FUA.
26,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,20605707,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2021.0,12274097.0,"The official OECD municipality list assigns Camden, City of London, Greenwich, Hackney, Hertsmere, Islington, Lewisham, Waltham Forest to London FUA."
27,The 1975,3mIj9lX2MWuHmhNCA7LSCW,18915018,Manchester,strict,official_oecd_municipality_crosswalk,UK008F,Manchester,Manchester,2021.0,3432092.0,The official OECD municipality list assigns Manchester to Manchester FUA.
