origin_cluster,band_count,top_band,formation_qids,direct_entity_labels,matched_municipalities,candidate_fua_codes,candidate_fua_names,mapping_tier,fua_code,mapping_method,source_urls,notes
Auchtermuchty,1,The Proclaimers,Q758624,Auchtermuchty,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q758624,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Bangor,1,Two Door Cinema Club,Q806551,Bangor,Ards and North Down,UK012F,Belfast,strict,UK012F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q806551,The official OECD municipality list assigns Ards and North Down to Belfast FUA.
Basildon,1,Depeche Mode,Q216649,Basildon,Basildon,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q216649,The official OECD municipality list assigns Basildon to London FUA.
Bath,1,Tears For Fears,Q22889,Bath,Bath and North East Somerset,UK031F,Bath and North East Somerset,strict,UK031F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q22889,The official OECD municipality list assigns Bath and North East Somerset to Bath and North East Somerset FUA.
Battle,1,Keane,Q737593,Battle,Rother,UK056F,Hastings,strict,UK056F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q737593,The official OECD municipality list assigns Rother to Hastings FUA.
Birmingham,5,Electric Light Orchestra,Q2256,Birmingham,Birmingham,UK002F,West Midlands urban area,strict,UK002F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2256,The official OECD municipality list assigns Birmingham to West Midlands urban area FUA.
Bridlington,1,Seafret,Q527391,Bridlington,East Riding of Yorkshire,UK026F,Kingston upon Hull,strict,UK026F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q527391,The official OECD municipality list assigns East Riding of Yorkshire to Kingston upon Hull FUA.
Brighton,1,The Kooks,Q131491,Brighton,Brighton and Hove,UK515F,Brighton and Hove,strict,UK515F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q131491,The official OECD municipality list assigns Brighton and Hove to Brighton and Hove FUA.
Bristol,2,Massive Attack,Q23154,Bristol,,,,strict,UK011F,exact_fua_label,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23154,Origin matches an official or study FUA label.
Cambridge,2,Clean Bandit,Q350,Cambridge,Cambridge,UK017F,Cambridge,strict,UK017F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q350,The official OECD municipality list assigns Cambridge to Cambridge FUA.
