band,city,musicbrainz_id,spotify_id,spotify_name,expected_spotify_name,match_quality,id_source
The Rolling Stones,London,b071f9fa-14b0-4217-8e97-eb41da73f598,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,The Rolling Stones,exact,prior scene-depth identifier snapshot
The Clash,London,8f92558c-2baa-4758-8c38-615519e9deda,3RGLhK1IP9jnYFH4BRFJBS,The Clash,The Clash,exact,prior scene-depth identifier snapshot
Blur,London,ba853904-ae25-4ebb-89d6-c44cfbd71bd2,7MhMgCo0Bl0Kukl93PZbYS,Blur,Blur,exact,prior scene-depth identifier snapshot
Coldplay,London,cc197bad-dc9c-440d-a5b5-d52ba2e14234,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Coldplay,exact,prior scene-depth identifier snapshot
Florence and the Machine,London,5fee3020-513b-48c2-b1f7-4681b01db0c6,1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,Florence + The Machine,fallback,prior scene-depth identifier snapshot
Queen,London,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,1dfeR4HaWDbWqFHLkxsg1d,,Queen,musicbrainz_relationship,prior scene-depth identifier snapshot
Led Zeppelin,London,678d88b2-87b0-403b-b63d-5da7465aecc3,36QJpDe2go2KgaRleHCDTp,,Led Zeppelin,musicbrainz_relationship,prior scene-depth identifier snapshot
The Who,London,9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa,67ea9eGLXYMsO2eYQRui3w,,The Who,musicbrainz_relationship,prior scene-depth identifier snapshot
The Kinks,London,17b53d9f-5c63-4a09-a593-dde4608e0db9,1SQRv42e4PjEYfPhS0Tk9E,,The Kinks,musicbrainz_relationship,prior scene-depth identifier snapshot
Fleetwood Mac,London,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,08GQAI4eElDnROBrJRGE0X,,Fleetwood Mac,musicbrainz_relationship,prior scene-depth identifier snapshot
Black Sabbath,Birmingham,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,Black Sabbath,exact,prior scene-depth identifier snapshot
