band_name,study_city_label,claimed_formation_place,origin_review_status,selection_source,notes,wikidata_id,wikidata_name,wikidata_formation_places,musicbrainz_id,musicbrainz_name,musicbrainz_begin_area,musicbrainz_area,musicbrainz_disambiguation,spotify_id,identity_resolution,origin_alignment,evidence_url,review_ready
The Animals,Newcastle,Newcastle upon Tyne,reviewed,Wikidata and MusicBrainz,,Q131422,The Animals,Newcastle upon Tyne,,,,,,3ICflSq6ZgYAIrm2CTkfVP,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q131422,True
Maxïmo Park,Newcastle,Newcastle upon Tyne,reviewed,Wikidata and MusicBrainz,,Q833332,Maxïmo Park,Newcastle upon Tyne,,,,,,048FBwXjFYBWxSggPDipic,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q833332,True
Lighthouse Family,Newcastle,Newcastle upon Tyne,reviewed,Wikidata and MusicBrainz,,Q707351,Lighthouse Family,Newcastle upon Tyne,,,,,,6edGSAX5dVpeJVwu1Q0NwJ,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q707351,True
The Futureheads,Newcastle,Sunderland,reviewed,Wikidata and MusicBrainz,Sunderland is included in the Newcastle Functional Urban Area.,Q141703,The Futureheads,Sunderland,,,,,,3TBfn8PtXr42OrTPaoC3E8,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q141703,True
Venom,Newcastle,Newcastle upon Tyne,reviewed,Wikidata and MusicBrainz,,Q192861,Venom,Newcastle upon Tyne,,,,,,5fwaejlOHVBAw1KhIPPaQe,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q192861,True
The Wildhearts,Newcastle,Newcastle upon Tyne,reviewed,Wikidata and MusicBrainz,,Q4347440,The Wildhearts,Newcastle upon Tyne,,,,,,6bz0ztmnpeofmoFksV3DqL,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q4347440,True
Field Music,Newcastle,Sunderland,reviewed,Wikidata and MusicBrainz,Sunderland is included in the Newcastle Functional Urban Area.,Q1411559,Field Music,Sunderland,,,,,,5P1tdwsQdI6z9MXXfmYRDS,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1411559,True
Little Comets,Newcastle,Jarrow,reviewed,Wikidata and MusicBrainz,,Q4166250,Little Comets,Tyne and Wear,,,,,,7cfhZmKaLWzNLwHDxzugUH,wikidata_exact_name,review_required,https://www.wikidata.org/wiki/Q4166250,True
Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Newcastle,Newcastle upon Tyne,reviewed,Wikidata and MusicBrainz,,Q93962241,Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Newcastle upon Tyne,,,,,,1F7QDWyZTLGzkyGLgFjEhU,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q93962241,True
Lanterns on the Lake,Newcastle,Newcastle upon Tyne,reviewed,Wikidata and MusicBrainz,,Q14158905,Lanterns on the Lake,Newcastle upon Tyne,,,,,,7sx3r4lMo079vO7lIi0fng,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q14158905,True
Kasabian,Leicester,Leicester,reviewed,Wikidata and MusicBrainz,,Q272517,Kasabian,Leicester,,,,,,11wRdbnoYqRddKBrpHt4Ue,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q272517,True
Showaddywaddy,Leicester,Leicester,reviewed,Wikidata and MusicBrainz,,Q731797,Showaddywaddy,,,,,,,3zIIUxcnIoUMouVQdphkeC,wikidata_exact_name,review_required,https://www.wikidata.org/wiki/Q731797,True
Cornershop,Leicester,Leicester,reviewed,Wikidata and MusicBrainz,,Q1134101,Cornershop,Leicester,,,,,,3Kf7VEIRWquxrNIuyJZnfF,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1134101,True
Family,Leicester,Leicester,reviewed,editorial candidate,Ambiguous artist name requires an explicit Spotify identifier.,,,,7745d370-9cf1-41be-916c-9c8d2e502628,Family,Leicester,United Kingdom,60s/70s English rock band,0FtsBt4gg67x9q0CS5FhB6,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/7745d370-9cf1-41be-916c-9c8d2e502628,True
hard life,Leicester,Leicester,reviewed,manual identity and origin review,Same act previously known as Easy Life.,,,,,,,,,7uwY65fDg3FVJ8MkJ5QuZK,manual_reviewed_spotify_id,manual_review,https://en.wikipedia.org/wiki/Hard_Life,True
Maybeshewill,Leicester,Leicester,reviewed,Wikidata and MusicBrainz,,Q545593,Maybeshewill,Leicester,,,,,,33qUIIydEBgWpe58IA0o61,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q545593,True
Gaye Bykers on Acid,Leicester,Leicester,reviewed,editorial candidate,,,,,a3186bd5-e233-4118-8e30-015fd0a610a0,Gaye Bykers on Acid,Leicester,United Kingdom,,1JK7CE0ig3GPpTVIzFMgfJ,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/a3186bd5-e233-4118-8e30-015fd0a610a0,True
Crazyhead,Leicester,Leicester,reviewed,Wikidata and MusicBrainz,,Q950290,Crazyhead,Leicester,,,,,,3gGaQo8fmPTSYUtiwwaBCF,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q950290,True
Diesel Park West,Leicester,Leicester,reviewed,editorial candidate,,,,,5fb75d1b-7841-4623-8e5d-825468b75850,Diesel Park West,Leicester,United Kingdom,,0GErzC8ZI8EEGJ01vAbNCX,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/5fb75d1b-7841-4623-8e5d-825468b75850,True
Prolapse,Leicester,Leicester,pending,editorial candidate,,,,,4b8cb083-b59a-43d6-a4e8-6bf089430b17,Prolapse,Leicester,United Kingdom,"band from Leicester, UK",,musicbrainz_exact_name_missing_spotify,exact,https://musicbrainz.org/artist/4b8cb083-b59a-43d6-a4e8-6bf089430b17,False
Super Furry Animals,Cardiff,Cardiff,reviewed,Wikidata and MusicBrainz,,Q1135582,Super Furry Animals,Cardiff,,,,,,0FOcXqJgJ1oq9XfzYTDZmZ,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1135582,True
Catatonia,Cardiff,Cardiff,reviewed,Wikidata and MusicBrainz,,Q1050456,Catatonia,Cardiff,,,,,,4Bgfzia8wyaGaTn42egzTv,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1050456,True
Los Campesinos!,Cardiff,Cardiff,reviewed,Wikidata and MusicBrainz,,Q1856023,Los Campesinos!,Cardiff,,,,,,6FlOCziOXI157pvUREAh3E,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1856023,True
