band_name,fua_label,fua_code,monthly_listeners,selected_total_share_pct,review_trigger,claimed_formation_place,prior_origin_confidence,primary_evidence_url,independent_evidence_url,independent_evidence_finding,audit_outcome,audited_origin_confidence,ranking_sensitivity,reviewed_at
ELO,Birmingham,UK002F,18330664,23.422708,influential_10pct,Birmingham,high,https://musicbrainz.org/artist/0c502791-4ee9-4c5f-9696-0602b721ff3b,https://www.electriclightorchestra.com/bio.htm,Independent source confirms formation in or assignment to Birmingham.,confirmed,high,,2026-08-22
Black Sabbath,Birmingham,UK002F,18288641,23.369012,influential_10pct,Birmingham,high,https://musicbrainz.org/artist/5182c1d9-c7d2-4dad-afa0-ccfeada921a8,https://blacksabbath.com/history.html,Independent source confirms formation in or assignment to Birmingham.,confirmed,high,,2026-08-22
Duran Duran,Birmingham,UK002F,15134650,19.338879,influential_10pct,Birmingham,high,https://musicbrainz.org/artist/1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,https://duranduran.com/2021/what-makes-duran-duran-so-durable/,Independent source confirms formation in or assignment to Birmingham.,confirmed,high,,2026-08-22
UB40,Birmingham,UK002F,9327767,11.918912,influential_10pct,Birmingham,high,https://musicbrainz.org/artist/7113aab7-628f-4050-ae49-dbecac110ca8,https://ub40.global/history/,Independent source confirms formation in or assignment to Birmingham.,confirmed,high,,2026-08-22
Dexys Midnight Runners,Birmingham,UK002F,7999321,10.221439,influential_10pct,Birmingham,high,https://musicbrainz.org/artist/ccce2053-7007-4c36-b1e7-f8fcf5023a12,https://www.allmusic.com/artist/dexys-midnight-runners-mn0000251361,Independent source confirms formation in or assignment to Birmingham.,confirmed,high,,2026-08-22
Editors,Birmingham,UK002F,1241937,1.586933,prior_medium,Birmingham,medium,https://musicbrainz.org/artist/0efe858c-89e5-4e47-906a-356fa953fd6e,https://www.allmusic.com/artist/editors-mn0000459860,AllMusic records formation in Birmingham in 2002; its biography says the members met at Stafford University and relocated after graduation.,confirmed,high,No ranking change under an exclusion bound: Birmingham all-ten 5->5; dominant-band-removed 3->3.,2026-08-22
Massive Attack,Bristol,UK011F,8692931,49.988628,influential_10pct,Bristol,high,https://musicbrainz.org/artist/10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,https://www.allmusic.com/artist/massive-attacks-mn0000378288,Independent source confirms formation in or assignment to Bristol.,confirmed,high,,2026-08-22
Portishead,Bristol,UK011F,5958911,34.266669,influential_10pct,Bristol,high,https://musicbrainz.org/artist/8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,https://www.allmusic.com/artist/portishead-mn0000301619,Independent source confirms formation in or assignment to Bristol.,confirmed,high,,2026-08-22
Franz Ferdinand,Glasgow,UK004F,10807735,30.653111,influential_10pct,Glasgow,high,https://musicbrainz.org/artist/aa7a2827-f74b-473c-bd79-03d065835cf7,https://www.allmusic.com/artist/franz-ferdinand-mn0000172582,Independent source confirms formation in or assignment to Glasgow.,confirmed,high,,2026-08-22
Simple Minds,Glasgow,UK004F,9628717,27.309157,influential_10pct,Glasgow,high,https://musicbrainz.org/artist/f41490ce-fe39-435d-86c0-ab5ce098b423,https://www.allmusic.com/artist/simple-minds-mn0000049374,Independent source confirms formation in or assignment to Glasgow.,confirmed,high,,2026-08-22
CHVRCHES,Glasgow,UK004F,4152413,11.777156,influential_10pct,Glasgow,high,https://musicbrainz.org/artist/6a93afbb-257f-4166-b389-9f2a1e5c5df8,https://www.allmusic.com/artist/chvrches-mn0003052164,Independent source confirms formation in or assignment to Glasgow.,confirmed,high,,2026-08-22
The Fratellis,Glasgow,UK004F,4131358,11.717439,influential_10pct,Glasgow,high,https://musicbrainz.org/artist/f4ad883e-9a92-45ed-a540-a49c2d1c36dd,https://www.allmusic.com/artist/fratellis-mn0000615247,Independent source confirms formation in or assignment to Glasgow.,confirmed,high,,2026-08-22
Alt-J,Leeds,UK003F,8110938,32.501118,influential_10pct,Leeds,high,https://musicbrainz.org/artist/fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,https://digital.library.leeds.ac.uk/21767/1/LUA-PUB-002-GRY2-2-7_001.pdf,Independent source confirms formation in or assignment to Leeds.,confirmed,high,,2026-08-22
Soft Cell,Leeds,UK003F,5766246,23.105767,influential_10pct,Leeds,high,https://musicbrainz.org/artist/7fb50287-029d-47cc-825a-235ca28024b2,https://www.allmusic.com/artist/soft-cell-mn0000038579,Independent source confirms formation in or assignment to Leeds.,confirmed,high,,2026-08-22
Chumbawamba,Leeds,UK003F,4700579,18.835562,influential_10pct,Leeds,high,https://musicbrainz.org/artist/7b7b1e6f-e73e-41a0-9d72-8f0b30c6992d,https://www.allmusic.com/artist/chumbawamba-mn0000781370,"AllMusic gives Burnley, while other histories place formation in the Armley squat in Leeds. The locality is genuinely disputed.",retained_ambiguous,medium,"Leeds retained provisionally. Excluding Chumbawamba changes all-ten ratio 8.405->6.822 and dominant-band-removed ratio 5.674->4.090, but ranks remain 9 and 8.",2026-08-22
Kaiser Chiefs,Leeds,UK003F,2999896,12.020801,influential_10pct,Leeds,high,https://musicbrainz.org/artist/90218af4-4d58-4821-8d41-2ee295ebbe21,https://www.kaiserchiefs.co.uk/the-band/,Independent source confirms formation in or assignment to Leeds.,confirmed,high,,2026-08-22
Kasabian,Leicester,UK014F,3649101,67.090458,influential_10pct,Leicester,high,https://www.wikidata.org/wiki/Q272517,https://www.sonymusic.co.uk/artist/kasabian/,Independent source confirms formation in or assignment to Leicester.,confirmed,high,,2026-08-22
Cornershop,Leicester,UK014F,920853,16.930321,influential_10pct,Leicester,high,https://www.wikidata.org/wiki/Q1134101,https://www.allmusic.com/artist/cornershop-mn0000121746,Independent source confirms formation in or assignment to Leicester.,confirmed,high,,2026-08-22
hard life,Leicester,UK014F,664952,12.225459,influential_10pct,Leicester,high,https://www.allmusic.com/artist/hard-life-mn0004837245,https://www.allmusic.com/artist/hard-life-mn0004837245,Independent source confirms formation in or assignment to Leicester.,confirmed,high,,2026-08-22
The Beatles,Liverpool,UK006F,37927636,59.020726,influential_10pct,Liverpool,high,https://musicbrainz.org/artist/b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,https://www.allmusic.com/artist/fab-mn0000754032,Independent source confirms formation in or assignment to Liverpool.,confirmed,high,,2026-08-22
Coldplay,London,UK001F,92034104,29.046499,influential_10pct,London,high,https://musicbrainz.org/artist/cc197bad-dc9c-440d-a5b5-d52ba2e14234,https://www.allmusic.com/artist/coldplay-mn0000775877,Independent source confirms formation in or assignment to London.,confirmed,high,,2026-08-22
Queen,London,UK001F,51601234,16.285650,influential_10pct,London,high,https://musicbrainz.org/artist/0383dadf-2a4e-4d10-a46a-e9e041da8eb3,https://music.apple.com/gb/artist/queen/3296287,Independent source confirms formation in or assignment to London.,confirmed,high,,2026-08-22
Fleetwood Mac,London,UK001F,50959935,16.083252,influential_10pct,London,high,https://musicbrainz.org/artist/bd13909f-1c29-4c27-a874-d4aaf27c5b1a,https://www.allmusic.com/artist/fleetwood-mac-mn0000182900,Independent source confirms formation in or assignment to London.,confirmed,high,,2026-08-22
Oasis,Manchester,UK008F,39676473,32.269202,influential_10pct,Manchester,high,https://musicbrainz.org/artist/39ab1aed-75e0-4140-bd47-540276886b60,https://www.allmusic.com/artist/oasis-mn0000393345,Independent source confirms formation in or assignment to Manchester.,confirmed,high,,2026-08-22
The Smiths,Manchester,UK008F,22515532,18.312068,influential_10pct,Manchester,high,https://musicbrainz.org/artist/40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,https://www.allmusic.com/artist/the-smiths-mn0000899530,Independent source confirms formation in or assignment to Manchester.,confirmed,high,,2026-08-22
The 1975,Manchester,UK008F,18915018,15.383740,influential_10pct,Wilmslow,high,https://musicbrainz.org/artist/5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,https://www.allmusic.com/artist/the-1975-mn0002986022,"AllMusic gives Wilmslow; Wilmslow is in Cheshire East, which the frozen crosswalk maps to Manchester FUA (UK008F).",confirmed_via_fua_crosswalk,high,,2026-08-22
New Order,Manchester,UK008F,8786188,7.145879,prior_medium,Salford,medium,https://musicbrainz.org/artist/f1106b17-dcbb-45f6-b938-199ccfab50cc,https://www.allmusic.com/artist/new-order-mn0000334193,AllMusic gives Salford; the frozen crosswalk maps Salford to Manchester FUA (UK008F).,confirmed_via_fua_crosswalk,high,,2026-08-22
Joy Division,Manchester,UK008F,4140711,3.367674,prior_medium,Salford,medium,https://musicbrainz.org/artist/9a58fda3-f4ed-4080-a3a5-f457aac9fcdd,https://www.joydivisionofficial.com/aboutus.html,The band's official history describes a group formed by members from Salford and Macclesfield; the frozen crosswalk maps Salford to Manchester FUA (UK008F).,confirmed_via_fua_crosswalk,high,,2026-08-22
Happy Mondays,Manchester,UK008F,652616,0.530778,prior_medium,Little Hulton,medium,https://musicbrainz.org/artist/01f4fb92-6bf0-4de5-83dc-3fe194e763bf,https://www.officialcharts.com/artist/26199/happy-mondays/,"Official Charts gives Salford; Little Hulton is within Salford municipality, which the frozen crosswalk maps to Manchester FUA (UK008F).",confirmed_via_fua_crosswalk,high,,2026-08-22
The Animals,Newcastle,UK013F,12324330,76.070476,influential_10pct,Newcastle upon Tyne,high,https://www.wikidata.org/wiki/Q131422,https://www.abkco.com/artist/artist-the-animals/,Independent source confirms formation in or assignment to Newcastle upon Tyne.,confirmed,high,,2026-08-22
