origin_cluster,band_count,monthly_listeners_total,band_share,listener_share
Unresolved,266,129606691,0.266,0.057366807862418545
London,245,975049226,0.245,0.4315785024119003
Manchester,41,191292780,0.041,0.08467044464338574
Liverpool,35,79829032,0.035,0.0353341074079799
Birmingham,22,69312312,0.022,0.030679172921743735
Glasgow,22,44744175,0.022,0.019804768337056237
Sheffield,19,95827178,0.019,0.04241524311675993
Brighton,14,15406351,0.014,0.006819194062118134
Leeds,11,18188119,0.011,0.008050466530711784
Edinburgh,11,4361053,0.011,0.0019302991813040268
Cardiff,9,1390230,0.009,0.0006153467593318167
Newcastle upon Tyne,8,16055197,0.008,0.007106387751943136
Bristol,7,16655871,0.007,0.007372259441746175
Oxford,6,74881072,0.006,0.03314403011767293
Cambridge,5,41514183,0.005,0.018375101943820804
Nottingham,5,5230658,0.005,0.002315205720976415
Coventry,5,1857892,0.005,0.000822344375670578
Watford,5,1315775,0.005,0.000582391318170246
Scotland,5,1173821,0.005,0.0005195593163617765
Dundee,4,14342542,0.004,0.006348328506995586
Kingston upon Hull,4,6788574,0.004,0.0030047740383851796
Southend-on-Sea,4,6233254,0.004,0.002758977039045398
Reading,4,5240736,0.004,0.00231966646822007
Bradford,4,4214172,0.004,0.0018652863795680433
Oldham,4,1804806,0.004,0.0007988473298106204
Stourbridge,4,467629,0.004,0.00020698300980382967
Bath,3,29351691,0.003,0.012991712117965265
Guildford,3,10426711,0.003,0.004615094498276837
St Albans,3,6005831,0.003,0.0026583145543863707
Dunfermline,3,5087535,0.003,0.002251856293733551
York,3,3093017,0.003,0.0013690382077125496
Newport,3,2238119,0.003,0.0009906413137746749
Belfast,3,2129064,0.003,0.0009423711420484633
Northampton,3,1185288,0.003,0.0005246348659393701
Southampton,3,1043771,0.003,0.0004619962900631764
Basildon,2,20711274,0.002,0.009167271126024695
Sunderland,2,15019214,0.002,0.006647838604123816
Hertford,2,9269432,0.002,0.004102857039516224
Paisley,2,5753170,0.002,0.0025464811688605685
Isle of Wight,2,5696456,0.002,0.0025213782894026766
Bridgend,2,5334822,0.002,0.0023613110271768563
Leicester,2,4569954,0.002,0.0020227634162659942
Romford,2,3912028,0.002,0.001731550716223451
United States,2,1621230,0.002,0.0007175925038529748
East Kilbride,2,1543827,0.002,0.0006833322122375151
Perth,2,1285280,0.002,0.0005688935520266412
Ealing,2,1206934,0.002,0.0005342158676099544
Wolverhampton,2,776261,0.002,0.0003435904064404274
Suffolk,2,553438,0.002,0.00024496398422641
Essex,2,407286,0.002,0.00018027385412573338
Bellshill,2,358305,0.002,0.00015859377268681197
Canterbury,2,323529,0.002,0.0001432011406025358
Milton Keynes,2,182221,0.002,8.06550727809089e-05
Somerset,2,131990,0.002,5.8421713503669527e-05
Chingford,2,107962,0.002,4.778638558438647e-05
Keighley,2,107637,0.002,4.76425333464238e-05
Redcliffe,1,29286539,0.001,0.012962874391787593
Crawley,1,25827890,0.001,0.011431999318011147
Reigate,1,25360907,0.001,0.01122530224219416
Battle,1,23259577,0.001,0.010295206786200025
Teignmouth,1,20942571,0.001,0.009269648329360239
Bangor,1,9884423,0.001,0.0043750657523682224
Bridlington,1,9520023,0.001,0.004213774196941772
Godalming,1,9434858,0.001,0.004176078271261493
Eastbourne,1,8829850,0.001,0.003908288256537437
Auchtermuchty,1,8100195,0.001,0.0035853267036431275
Middlesbrough,1,6249726,0.001,0.002766267913087617
Hereford,1,6044974,0.001,0.0026756401179265947
West Lothian,1,5611864,0.001,0.002483935986283483
Cwmaman,1,5187258,0.001,0.002295995914430016
Grangemouth,1,5124023,0.001,0.002268006695145187
Braintree,1,5031555,0.001,0.0022270782990223194
Burnley,1,4700579,0.001,0.0020805809503702207
Wheatley,1,4645328,0.001,0.002056125627294296
Totnes,1,3971668,0.001,0.0017579487084452773
Westminster,1,3616192,0.001,0.0016006071141621465
Wimbledon,1,3487007,0.001,0.0015434269561276626
Meols,1,3287803,0.001,0.0014552548293242306
Chelsea,1,3158701,0.001,0.0013981114089382108
North London,1,3028602,0.001,0.0013405266941483487
Derby,1,2895181,0.001,0.0012814715881753727
Wrexham,1,2790501,0.001,0.001235137888883274
University of Leeds,1,2550591,0.001,0.0011289483799305853
Ashford,1,2528248,0.001,0.001119058870537355
Lowestoft,1,2453090,0.001,0.0010857922659195142
Clydebank,1,2057236,0.001,0.0009105784695919016
Woking,1,1609992,0.001,0.0007126183147753611
Luton,1,1535908,0.001,0.0006798270864762032
Croydon,1,1513825,0.001,0.0006700526588733429
Hartlepool,1,1412387,0.001,0.0006251539409827055
Aylesbury,1,1370532,0.001,0.000606627985844467
Cinderford,1,1351005,0.001,0.0005979849007653993
Kilmarnock,1,1330864,0.001,0.0005890700456121497
East Grinstead,1,1289669,0.001,0.0005708362211725432
Swansea,1,1128068,0.001,0.0004993080196125273
New York City,1,1073095,0.001,0.00047497574552784496
Colchester,1,1039829,0.001,0.0004602514730722569
Crouch End,1,970928,0.001,0.0004297543560019005
Weybridge,1,967721,0.001,0.000428334866379912
Blackwood,1,893282,0.001,0.00039538650717467174
Ramsbottom,1,891884,0.001,0.00039476772124029695
Andover,1,883780,0.001,0.000391180710358914
Sevenoaks,1,874037,0.001,0.0003868682415759285
Middleton,1,819255,0.001,0.00036262050834494114
Leighton Buzzard,1,797085,0.001,0.0003528075726045339
Cambridgeshire,1,741988,0.001,0.00032842041335829036
Hoylake,1,707737,0.001,0.00031326015796610774
Swindon,1,705276,0.001,0.00031217086455802734
Little Hulton,1,652616,0.001,0.00028886237578536856
Norfolk,1,639865,0.001,0.0002832184992122547
Bolton,1,638182,0.001,0.00028247356593074345
Bedford,1,584790,0.001,0.00025884107765596564
Derry,1,562915,0.001,0.0002491587154854014
Stafford,1,545160,0.001,0.00024129995706993317
Notting Hill,1,538563,0.001,0.00023837997795042633
Ripley,1,529325,0.001,0.00023429103341412132
Shropshire,1,525174,0.001,0.00023245370836863505
Hemel Hempstead,1,514183,0.001,0.00022758884699187294
Staines-upon-Thames,1,508027,0.001,0.0002248640642937247
West Midlands,1,498770,0.001,0.00022076670993427723
Welwyn Garden City,1,467832,0.001,0.00020707286212477252
Barnsley,1,460256,0.001,0.00020371955580229505
Herefordshire,1,453631,0.001,0.00020078718325920988
Bracknell,1,438135,0.001,0.00019392830855314986
Walthamstow,1,434704,0.001,0.00019240967154253474
Downpatrick,1,433333,0.001,0.0001918028364094676
Royal Tunbridge Wells,1,433170,0.001,0.00019173068897935093
