fua_code,official_fua_name,study_city_label,population_year,population,band_count,monthly_listeners_total,selected_bands_per_million_residents,selected_monthly_listeners_per_resident,top100_bands_per_million_residents,top100_monthly_listeners_per_resident,one_band_fua,rank_by_listener_reach_per_resident,rank_by_bands_per_million
UK576F,Crawley,Crawley,2021.0,118607,1,25827890,8.431205578085612,217.76025023818156,8.431205578085612,217.76025023818156,True,1,27
UK031F,Bath and North East Somerset,Bath and North East Somerset,2021.0,192419,3,29351691,15.590975943124121,152.54050275700425,15.590975943124121,152.54050275700425,False,2,8
UK560F,Oxford,Oxford,2021.0,576725,7,79526400,12.137500541852702,137.89310329879925,12.137500541852702,137.89310329879925,False,3,15
UK056F,Hastings,Hastings,2021.0,184383,2,23368997,10.846986978192133,126.74160307620551,10.846986978192133,126.74160307620551,False,4,19
UK017F,Cambridge,Cambridge,2021.0,396189,5,41514183,12.62023933021866,104.78378501169897,12.62023933021866,104.78378501169897,False,5,13
UK001F,London,London,2021.0,12274097,299,1073240608,24.360244179266306,87.43947583272318,24.360244179266306,87.43947583272318,False,6,3
UK055F,Eastbourne,Eastbourne,2021.0,101601,1,8829850,9.842422810799107,86.90711705593449,9.842422810799107,86.90711705593449,True,7,21
UK010F,Sheffield,Sheffield,2021.0,1168389,21,96581616,17.973466028865385,82.66220924709151,17.973466028865385,82.66220924709151,False,8,5
UK033F,Guildford,Guildford,2021.0,272893,5,20390894,18.32219954341079,74.72120574730755,18.32219954341079,74.72120574730755,False,9,4
UK008F,Manchester,Manchester,2021.0,3432092,52,196702904,15.151109002905518,57.31282960946268,15.151109002905518,57.31282960946268,False,10,10
UK550F,Dundee City,Dundee City,2021.0,261740,4,14342542,15.282341254680219,54.79690532589593,15.282341254680219,54.79690532589593,False,11,9
UK510F,Sunderland,Sunderland,2021.0,274378,2,15019214,7.289214149822508,54.73913360400615,7.289214149822508,54.73913360400615,False,12,33
UK006F,Liverpool,Liverpool,2021.0,1540817,39,84329219,25.31124721495155,54.730197680840746,25.31124721495155,54.730197680840746,False,13,2
UK018F,Exeter,Exeter,2021.0,499952,2,20968790,4.00038403686754,41.94160639421384,4.00038403686754,41.94160639421384,False,14,51
UK515F,Brighton and Hove,Brighton and Hove,2021.0,441252,15,15442314,33.994180196350385,34.99658698430829,33.994180196350385,34.99658698430829,False,15,1
UK551F,Falkirk,Falkirk,2021.0,158760,2,5204007,12.597631645250694,32.77908163265306,12.597631645250694,32.77908163265306,False,16,14
UK004F,Glasgow,Glasgow,2021.0,1831890,31,54570056,16.922413463690507,29.788937108669188,16.922413463690507,29.788937108669188,False,17,6
UK026F,Kingston upon Hull,Hull,2021.0,609661,5,16308597,8.201279071483988,26.750271052273312,8.201279071483988,26.750271052273312,False,18,28
UK050F,Burnley,Burnley,2021.0,190553,1,4700579,5.247883790861335,24.668092341763185,5.247883790861335,24.668092341763185,True,19,42
UK002F,West Midlands urban area,Birmingham,2021.0,3135994,28,70556202,8.92858851133006,22.49883194929582,8.92858851133006,22.49883194929582,False,20,25
UK022F,Wrexham,Wrexham,2021.0,135152,1,2790501,7.399076595240914,20.647130638096364,7.399076595240914,20.647130638096364,True,21,32
UK011F,Bristol,Bristol,2021.0,979556,8,17056887,8.166965441485734,17.41287583354091,8.166965441485734,17.41287583354091,False,22,29
UK007F,Edinburgh,Edinburgh,2021.0,893610,15,15060452,16.785846174505657,16.853495372701737,16.785846174505657,16.853495372701737,False,23,7
UK533F,York,York,2021.0,201851,3,3093017,14.862448043358715,15.323268153241747,14.862448043358715,15.323268153241747,False,24,11
UK012F,Belfast,Belfast,2021.0,803943,4,12013487,4.975477117158803,14.94320741644619,4.975477117158803,14.94320741644619,False,25,43
UK552F,Reading,Reading,2021.0,351602,4,5240736,11.376499564848892,14.90530770587198,11.376499564848892,14.90530770587198,False,26,17
UK013F,Newcastle upon Tyne,Newcastle,2021.0,1173303,10,16181906,8.522947610293334,13.791753707269137,8.522947610293334,13.791753707269137,False,27,26
UK559F,Middlesbrough,Middlesbrough,2021.0,570155,2,7662113,3.5078180494777733,13.438649139269145,3.5078180494777733,13.438649139269145,False,28,53
UK516F,Plymouth,Plymouth,2021.0,411409,2,4057174,4.861342362466548,9.861655919048927,4.861342362466548,9.861655919048927,False,29,44
UK003F,Leeds,Leeds,2021.0,2969034,24,26460052,8.083437239182846,8.912007070313106,8.083437239182846,8.912007070313106,False,30,30
UK558F,Newport,Newport,2021.0,252141,3,2238119,11.898104631932133,8.87645801357177,11.898104631932133,8.87645801357177,False,31,16
UK009F,Cardiff,Cardiff,2021.0,905859,12,7735166,13.247094746533401,8.539039740180314,13.247094746533401,8.539039740180314,False,32,12
UK532F,Luton,Luton,2021.0,224958,1,1535908,4.445274228967185,6.8275322504645315,4.445274228967185,6.8275322504645315,True,33,48
UK518F,Derby,Derby,2021.0,495753,1,2895181,2.0171335322226995,5.839966676954048,2.0171335322226995,5.839966676954048,True,34,60
UK029F,Nottingham,Nottingham,2021.0,906878,5,5230658,5.513420768835499,5.767763690375111,5.513420768835499,5.767763690375111,False,35,40
UK569F,Ipswich,Ipswich,2021.0,479138,1,2453090,2.087081383651474,5.1197984714215945,2.087081383651474,5.1197984714215945,True,36,59
UK014F,Leicester,Leicester,2021.0,922812,2,4569954,2.167288678517401,4.952204782772656,2.167288678517401,4.952204782772656,False,37,58
UK586F,Derry & Strabane Local Government District,Derry & Strabane Local Government District,2021.0,150834,1,562915,6.629804951138338,3.7320166540700375,6.629804951138338,3.7320166540700375,True,38,37
UK573F,Bracknell Forest,Bracknell Forest,2021.0,125195,1,438135,7.987539438475978,3.4996205918766723,7.987539438475978,3.4996205918766723,True,39,31
UK556F,Dacorum,Dacorum,2021.0,155211,1,514183,6.4428423243197965,3.3127999948457263,6.4428423243197965,3.3127999948457263,True,40,38
UK549F,Bedford,Bedford,2021.0,185796,1,584790,5.382247195849211,3.1474843376606603,5.382247195849211,3.1474843376606603,True,41,41
UK546F,Colchester,Colchester,2021.0,341583,1,1039829,2.9275461600840793,3.044147396094068,2.9275461600840793,3.044147396094068,True,42,55
UK535F,Swindon,Swindon,2021.0,233760,1,705276,4.277891854893908,3.017094455852156,4.277891854893908,3.017094455852156,True,43,49
UK517F,Swansea,Swansea,2021.0,379831,1,1128068,2.6327498282130737,2.9699208332126656,2.6327498282130737,2.9699208332126656,True,44,56
UK025F,Coventry,Coventry,2021.0,741982,7,2108051,9.43419112593028,2.8411080053154927,9.43419112593028,2.8411080053154927,False,45,22
UK520F,Southampton,Southampton,2021.0,692010,4,1927551,5.780263290992905,2.7854380717041662,5.780263290992905,2.7854380717041662,False,46,39
UK528F,Northampton,Northampton,2021.0,426707,3,1185288,7.030585389974854,2.7777561652375047,7.030585389974854,2.7777561652375047,False,47,35
UK561F,Torbay,Torbay,2021.0,139440,1,199281,7.17154331612163,1.4291523235800345,7.17154331612163,1.4291523235800345,True,48,34
UK553F,Blackpool,Blackpool,2021.0,335160,1,410364,2.9836496001909536,1.2243823845327604,2.9836496001909536,1.2243823845327604,True,49,54
UK051F,Great Yarmouth,Great Yarmouth,2021.0,100179,1,119190,9.98213198374909,1.189770311143054,9.98213198374909,1.189770311143054,True,50,20
UK531F,Warrington,Warrington,2021.0,211182,1,245749,4.735252057467019,1.1636834578704625,4.735252057467019,1.1636834578704625,True,51,45
UK045F,Worthing,Worthing,2021.0,111654,1,101724,8.956239812277214,0.9110645386640873,8.956239812277214,0.9110645386640873,True,52,24
UK021F,Stevenage,Stevenage,2021.0,89360,1,73403,11.190689346463742,0.8214301700984781,11.190689346463742,0.8214301700984781,True,53,18
UK525F,Milton Keynes,Milton Keynes,2021.0,288312,2,182221,6.9369294375537605,0.632027109520242,6.9369294375537605,0.632027109520242,False,54,36
UK046F,Mansfield,Mansfield,2021.0,110592,1,67864,9.04224537037037,0.6136429398148148,9.04224537037037,0.6136429398148148,True,55,23
UK027F,Stoke-on-Trent,Stoke-on-Trent,2021.0,477116,2,133820,4.191852715063003,0.2804768651648656,4.191852715063003,0.2804768651648656,False,56,50
UK568F,Cheshire West and Chester,Cheshire West and Chester,2021.0,512775,1,133646,1.95017307786066,0.2606328311637658,1.95017307786066,0.2606328311637658,True,57,61
UK566F,Norwich,Norwich,2021.0,417964,1,81221,2.3925505545932184,0.1943253485946158,2.3925505545932184,0.1943253485946158,True,58,57
UK571F,Cheltenham,Cheltenham,2021.0,214238,1,35282,4.667706009204716,0.1646860034167608,4.667706009204716,0.1646860034167608,True,59,46
UK545F,Peterborough,Peterborough,2021.0,216470,1,26774,4.619577770591768,0.123684575229824,4.619577770591768,0.123684575229824,True,60,47
UK562F,Preston,Preston,2021.0,258989,1,28811,3.8611678488275563,0.11124410689257072,3.8611678488275563,0.11124410689257072,True,61,52
