fua_code,official_fua_name,study_city_label,population_year,population,band_count,monthly_listeners_total,selected_bands_per_million_residents,selected_monthly_listeners_per_resident,top100_bands_per_million_residents,top100_monthly_listeners_per_resident,one_band_fua,rank_by_listener_reach_per_resident,rank_by_bands_per_million
UK576F,Crawley,Crawley,2024.0,124008,1,25827890,8.063995871234114,208.27599832268885,8.063995871234114,208.27599832268885,True,1,2
UK056F,Hastings,Hastings,2024.0,187352,1,23259577,5.337546436653999,124.1490723344293,5.337546436653999,124.1490723344293,True,2,4
UK031F,Bath and North East Somerset,Bath and North East Somerset,2024.0,200028,1,23781006,4.999300097986282,118.88838562601237,4.999300097986282,118.88838562601237,True,3,5
UK560F,Oxford,Oxford,2024.0,606748,2,70261364,3.2962613803424157,115.79991034169045,3.2962613803424157,115.79991034169045,False,4,9
UK017F,Cambridge,Cambridge,2024.0,414802,2,41124400,4.8215775237342156,99.14224135852768,4.8215775237342156,99.14224135852768,False,5,6
UK055F,Eastbourne,Eastbourne,2024.0,104259,1,8829850,9.591498096087628,84.69148946373934,9.591498096087628,84.69148946373934,True,6,1
UK001F,London,London,2024.0,12666099,49,885735880,3.868594426744967,69.92965079461324,3.868594426744967,69.92965079461324,False,7,7
UK010F,Sheffield,Sheffield,2024.0,1217504,4,82887435,3.2854101506032016,68.07980507661577,3.2854101506032016,68.07980507661577,False,8,10
UK033F,Guildford,Guildford,2024.0,285643,2,19271733,7.001746935860497,67.46789874073582,7.001746935860497,67.46789874073582,False,9,3
UK550F,Dundee City,Dundee City,2024.0,264690,1,13274460,3.7780044580452605,50.15096905814349,3.7780044580452605,50.15096905814349,True,10,8
UK008F,Manchester,Manchester,2024.0,3595966,10,147968643,2.78089392391363,41.148510024844505,2.78089392391363,41.148510024844505,False,11,12
UK018F,Exeter,Exeter,2024.0,520179,1,20942571,1.9224151686246465,40.26031616039863,1.9224151686246465,40.26031616039863,True,12,15
UK006F,Liverpool,Liverpool,2024.0,1597536,3,50053015,1.8778919536085572,31.331384707449473,1.8778919536085572,31.331384707449473,False,13,16
UK026F,Kingston upon Hull,Hull,2024.0,631285,2,15127416,3.1681411723706407,23.962894730589195,3.1681411723706407,23.962894730589195,False,14,11
UK002F,West Midlands urban area,Birmingham,2024.0,3247941,5,69081043,1.5394368309030244,21.26918038227911,1.5394368309030244,21.26918038227911,False,15,19
UK515F,Brighton and Hove,Brighton and Hove,2024.0,451122,1,6950019,2.2166952620355467,15.40607418835703,2.2166952620355467,15.40607418835703,True,16,13
UK011F,Bristol,Bristol,2024.0,1025309,2,14651842,1.9506314681720338,14.290172035942335,1.9506314681720338,14.290172035942335,False,17,14
UK004F,Glasgow,Glasgow,2024.0,1895840,3,26162453,1.582412017891805,13.799926681576505,1.582412017891805,13.799926681576505,False,18,18
UK012F,Belfast,Belfast,2024.0,817574,1,9884423,1.2231308725571017,12.089942928713487,1.2231308725571017,12.089942928713487,True,19,20
UK559F,Middlesbrough,Middlesbrough,2024.0,600369,1,6249726,1.6656422966542244,10.409807968099619,1.6656422966542244,10.409807968099619,True,20,17
UK013F,Newcastle upon Tyne,Newcastle,2024.0,1221203,1,12324330,0.8188646768800928,10.091958503213634,0.8188646768800928,10.091958503213634,True,21,22
UK007F,Edinburgh,Edinburgh,2024.0,932180,1,5611864,1.0727541891051084,6.02015061468815,1.0727541891051084,6.02015061468815,True,22,21
UK003F,Leeds,Leeds,2024.0,3070506,2,13877184,0.6513584405957846,4.519510465050386,0.6513584405957846,4.519510465050386,False,23,23
