popularity_rank,capture_key,city,returned_spotify_id,spotify_name,monthly_listeners,followers,world_rank,stats_extracted_at_utc,source,source_access,requested_spotify_id,wikidata_qid,band_name,spotify_expected_name,formation_qid,formation_label,instance_label,country_label,identity_decision,origin_override,reason,source_url,identity_name_match,identity_status,identity_accepted,band_eligible,eligibility_status,requested_is_returned,redirect_duplicate,entity_duplicate,origin_cluster,origin_resolution
1,Coldplay [4gzpq5DPGxSnKTe4SA8HAU],,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,92034104,64732379,11,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,4gzpq5DPGxSnKTe4SA8HAU,Q45188,Coldplay,Coldplay,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
2,Arctic Monkeys [7Ln80lUS6He07XvHI8qqHH],,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,52301870,35028298,61,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,7Ln80lUS6He07XvHI8qqHH,Q170599,Arctic Monkeys,Arctic Monkeys,Q42448,Sheffield,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Sheffield,reported_place
3,Queen [1dfeR4HaWDbWqFHLkxsg1d],,1dfeR4HaWDbWqFHLkxsg1d,Queen,51601234,58004701,64,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,1dfeR4HaWDbWqFHLkxsg1d,Q15862,Queen,Queen,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
4,Fleetwood Mac [08GQAI4eElDnROBrJRGE0X],,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,50959935,15546243,66,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,08GQAI4eElDnROBrJRGE0X,Q106648,Fleetwood Mac,Fleetwood Mac,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
5,One Direction [4AK6F7OLvEQ5QYCBNiQWHq],,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,45724043,41728665,86,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,4AK6F7OLvEQ5QYCBNiQWHq,Q146027,One Direction,One Direction,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
6,Radiohead [4Z8W4fKeB5YxbusRsdQVPb],,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,43168156,16613975,100,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,4Z8W4fKeB5YxbusRsdQVPb,Q44190,Radiohead,Radiohead,Q321381,Abingdon-on-Thames,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Oxford,editorial_city_cluster
7,The Police [5NGO30tJxFlKixkPSgXcFE],,5NGO30tJxFlKixkPSgXcFE,The Police,39887109,8458469,121,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,5NGO30tJxFlKixkPSgXcFE,Q178095,The Police,The Police,Q84,London,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
8,Oasis [2DaxqgrOhkeH0fpeiQq2f4],,2DaxqgrOhkeH0fpeiQq2f4,Oasis,39676473,13941515,124,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,2DaxqgrOhkeH0fpeiQq2f4,Q382890,Oasis,Oasis,Q18125,Manchester,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Manchester,reported_place
9,Gorillaz [3AA28KZvwAUcZuOKwyblJQ],,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,38173160,16369649,134,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3AA28KZvwAUcZuOKwyblJQ,Q189991,Gorillaz,Gorillaz,Q84,London,musical group|virtual band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
10,The Beatles [3WrFJ7ztbogyGnTHbHJFl2],,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,37927636,32385954,137,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3WrFJ7ztbogyGnTHbHJFl2,Q1299,The Beatles,The Beatles,Q24826,Liverpool,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Liverpool,reported_place
11,Clean Bandit [6MDME20pz9RveH9rEXvrOM],,6MDME20pz9RveH9rEXvrOM,Clean Bandit,35453400,6321202,156,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6MDME20pz9RveH9rEXvrOM,Q11838808,Clean Bandit,Clean Bandit,Q350,Cambridge,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Cambridge,reported_place
