city,population,input_bands,retained_bands,trim_each_tail,trim_fraction_each_tail,lowest_excluded_bands,highest_excluded_bands,retained_band_names,untrimmed_value,untrimmed_ratio,top_excluded_value,top_excluded_ratio,trimmed_value,trimmed_mean,population_normalized_trimmed_mean,scene_depth_ratio,top_band_concentration,metric,untrimmed_rank,top_excluded_rank,rank,rank_shift_after_trim,symmetric_vs_top_only_rank_shift
Sheffield,1217504,10,8,1,0.1,Cabaret Voltaire,Arctic Monkeys,Bring Me The Horizon | Def Leppard | The Human League | Pulp | Moloko | Thompson Twins | ABC | Heaven 17,91683097,75.30414438063448,39437784,32.39232396772413,39392103,4924012.875,4.044350470306463,32.3548037624517,0.5698467297630664,monthly_listeners,1,1,1,0,0
Manchester,3595966,10,8,1,0.1,Happy Mondays,Oasis,The Smiths | The 1975 | The Chemical Brothers | Simply Red | New Order | Take That | Joy Division | The Stone Roses,122163556,33.97238906040825,83170361,23.128795155460313,82517317,10314664.625,2.868398818286936,22.947190546295488,0.319188441109229,monthly_listeners,3,2,2,1,0
Birmingham,3247941,10,8,1,0.1,Ocean Colour Scene,ELO,Black Sabbath | Duran Duran | UB40 | Dexys Midnight Runners | Judas Priest | The Moody Blues | Editors | The Spencer Davis Group,78309803,24.11059899179203,59962812,18.46179225546277,59356375,7419546.875,2.2843847455972877,18.2750779647783,0.23428728329197815,monthly_listeners,5,3,3,2,0
London,12666099,10,8,1,0.1,The Kinks,Coldplay,Queen | Fleetwood Mac | The Rolling Stones | Florence and the Machine | Led Zeppelin | The Clash | Blur | The Who,317065494,25.03260822452122,225105618,17.77229263722003,217211348,27151418.5,2.1436291079044936,17.14903286323595,0.2900343233187021,monthly_listeners,4,4,4,0,0
Liverpool,1597536,10,8,1,0.1,The Lightning Seeds,The Beatles,The La's | A Flock of Seagulls | Dead or Alive | The Wombats | Frankie Goes to Hollywood | Atomic Kitten | Echo & the Bunnymen | Gerry and the Pacemakers,64165425,40.16524510245778,26347903,16.49283834605292,25295658,3161957.25,1.9792713591430804,15.834170873144643,0.5893753840171713,monthly_listeners,2,5,5,-3,0
Glasgow,1895840,10,8,1,0.1,Mogwai,Franz Ferdinand,Simple Minds | CHVRCHES | The Fratellis | Texas | Primal Scream | Belle and Sebastian | Del Amitri | Deacon Blue,35283897,18.61122088361887,24484487,12.914848826905224,24115307,3014413.375,1.5900146504979322,12.720117203983458,0.30607191716946686,monthly_listeners,6,6,6,0,0
Bristol,1025309,10,8,1,0.1,Roni Size / Reprazent,Massive Attack,Portishead | Kosheen | Idles | Way Out West | Smith & Mighty | Fuck Buttons | The Blue Aeroplanes | The Pop Group,17416014,16.98611247926235,8698568,8.483850234417137,8698262,1087282.75,1.0604439734753133,8.483551787802506,0.500541972462815,monthly_listeners,7,7,7,0,0
Leeds,3070506,10,8,1,0.1,The Mission,Alt-J,Soft Cell | Chumbawamba | Kaiser Chiefs | Nightmares on Wax | Sisters of Mercy | Gang of Four | The Wedding Present | The Mekons,24981791,8.136050214524902,16842119,5.485128184084317,16835427,2104428.375,0.6853685923427605,5.482948738742084,0.3258241973123544,monthly_listeners,8,8,8,0,0
Nottingham,936382,10,8,1,0.1,Six by Seven,London Grammar,Ten Years After | Crazy P | Bent | Sleaford Mods | Paper Lace | Tindersticks | Pitchshifter | Dog Is Dead,7177939,7.665609761827972,4337795,4.63250575085809,4335284,541910.5,0.5787280191204017,4.629824152963214,0.3956768091787907,monthly_listeners,9,9,9,0,0
Bradford,3070506,10,8,1,0.1,The Passmore Sisters,New Model Army,My Dying Bride | Scars on 45 | Smokie | The Southern Death Cult | 1919 | Anti-System | The Negatives | Poppy Factory,391219,0.1274118988857211,163360,0.053202957427863684,163222,20402.75,0.006644751711932822,0.05315801369546257,0.58243336852249,monthly_listeners,10,10,10,0,0
