popularity_rank,spotify_name,returned_spotify_id,wikidata_qid,monthly_listeners,formation_label,current_claim_place,current_origin_cluster,current_origin_resolution,wikidata_url,musicbrainz_ids,musicbrainz_names,musicbrainz_begin_area,musicbrainz_urls,musicbrainz_matches_claim,wikipedia_title,wikipedia_origin,wikipedia_url,wikipedia_matches_claim,automated_status,proposed_origin,review_priority,manual_status,manual_decision,manual_source_url,manual_notes,final_status,final_origin
1,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Q45188,92034104,London,London,London,reported_place,https://www.wikidata.org/wiki/Q45188,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,London,https://musicbrainz.org/artist/cc197bad-dc9c-440d-a5b5-d52ba2e14234,True,Coldplay,"London, England",https://en.wikipedia.org/wiki/Coldplay,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
2,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Q170599,52301870,Sheffield,Sheffield,Sheffield,reported_place,https://www.wikidata.org/wiki/Q170599,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,Arctic Monkeys,High Green,https://musicbrainz.org/artist/ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,False,Arctic Monkeys,"Sheffield, England",https://en.wikipedia.org/wiki/Arctic_Monkeys,True,corroborated_with_source_variation,,high,confirmed,Sheffield,https://en.wikipedia.org/wiki/Arctic_Monkeys,High Green is a Sheffield suburb; the labels are compatible.,confirmed,Sheffield
3,Queen,1dfeR4HaWDbWqFHLkxsg1d,Q15862,51601234,London,London,London,reported_place,https://www.wikidata.org/wiki/Q15862,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,Queen,London,https://musicbrainz.org/artist/0383dadf-2a4e-4d10-a46a-e9e041da8eb3,True,Queen (band),"London, England",https://en.wikipedia.org/wiki/Queen_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
4,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Q106648,50959935,London,London,London,reported_place,https://www.wikidata.org/wiki/Q106648,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,Fleetwood Mac,London,https://musicbrainz.org/artist/bd13909f-1c29-4c27-a874-d4aaf27c5b1a,True,Fleetwood Mac,"London, England",https://en.wikipedia.org/wiki/Fleetwood_Mac,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
5,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,Q146027,45724043,London,London,London,reported_place,https://www.wikidata.org/wiki/Q146027,1a425bbd-cca4-4b2c-aeb7-71cb176c828a,One Direction,Wembley,https://musicbrainz.org/artist/1a425bbd-cca4-4b2c-aeb7-71cb176c828a,False,One Direction,"London, England",https://en.wikipedia.org/wiki/One_Direction,True,corroborated_with_source_variation,,high,confirmed,London,https://en.wikipedia.org/wiki/One_Direction,Wembley is within London; the labels are compatible.,confirmed,London
6,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Q44190,43168156,Abingdon-on-Thames,Abingdon-on-Thames,Oxford,editorial_city_cluster,https://www.wikidata.org/wiki/Q44190,a74b1b7f-71a5-4011-9441-d0b5e4122711|c74f4726-2671-4011-81b6-f70da905c05a,On a Friday|Radiohead,Abingdon-on-Thames,https://musicbrainz.org/artist/a74b1b7f-71a5-4011-9441-d0b5e4122711|https://musicbrainz.org/artist/c74f4726-2671-4011-81b6-f70da905c05a,True,Radiohead,"Abingdon, Oxfordshire, England",https://en.wikipedia.org/wiki/Radiohead,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Abingdon-on-Thames
7,The Police,5NGO30tJxFlKixkPSgXcFE,Q178095,39887109,London,London,London,reported_place,https://www.wikidata.org/wiki/Q178095,9e0e2b01-41db-4008-bd8b-988977d6019a,The Police,London,https://musicbrainz.org/artist/9e0e2b01-41db-4008-bd8b-988977d6019a,True,The Police,"London, England",https://en.wikipedia.org/wiki/The_Police,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
8,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Q382890,39676473,Manchester,Manchester,Manchester,reported_place,https://www.wikidata.org/wiki/Q382890,39ab1aed-75e0-4140-bd47-540276886b60,Oasis,Manchester,https://musicbrainz.org/artist/39ab1aed-75e0-4140-bd47-540276886b60,True,Oasis (band),"Manchester, England",https://en.wikipedia.org/wiki/Oasis_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Manchester
9,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,Q189991,38173160,London,London,London,reported_place,https://www.wikidata.org/wiki/Q189991,e21857d5-3256-4547-afb3-4b6ded592596,Gorillaz,Essex,https://musicbrainz.org/artist/e21857d5-3256-4547-afb3-4b6ded592596,False,Gorillaz,"London, England",https://en.wikipedia.org/wiki/Gorillaz,True,corroborated_with_source_variation,,high,confirmed,London,https://en.wikipedia.org/wiki/Gorillaz,The project was created in London; Essex reflects a broader member association.,confirmed,London
10,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Q1299,37927636,Liverpool,Liverpool,Liverpool,reported_place,https://www.wikidata.org/wiki/Q1299,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,Liverpool,https://musicbrainz.org/artist/b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,True,The Beatles,"Liverpool, England",https://en.wikipedia.org/wiki/The_Beatles,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Liverpool
11,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Q11838808,35453400,Cambridge,Cambridge,Cambridge,reported_place,https://www.wikidata.org/wiki/Q11838808,dacc2d64-7e59-42a8-87a9-10c53919aff2,Clean Bandit,Cambridge,https://musicbrainz.org/artist/dacc2d64-7e59-42a8-87a9-10c53919aff2,True,Clean Bandit,"Cambridge, England",https://en.wikipedia.org/wiki/Clean_Bandit,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Cambridge
12,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Q11036,30690194,London,London,London,reported_place,https://www.wikidata.org/wiki/Q11036,b071f9fa-14b0-4217-8e97-eb41da73f598,The Rolling Stones,London,https://musicbrainz.org/artist/b071f9fa-14b0-4217-8e97-eb41da73f598,True,The Rolling Stones,"London, England",https://en.wikipedia.org/wiki/The_Rolling_Stones,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
13,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,Q133405,29286539,Los Hornos,Redcliffe,Redcliffe,reviewed_override,https://www.wikidata.org/wiki/Q133405,bf0f7e29-dfe1-416c-b5c6-f9ebc19ea810,Bee Gees,Redcliffe,https://musicbrainz.org/artist/bf0f7e29-dfe1-416c-b5c6-f9ebc19ea810,True,Bee Gees,,https://en.wikipedia.org/wiki/Bee_Gees,,corroborated_one_source,,,not_reviewed,,,,confirmed,Redcliffe
14,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,Q16839267,27093208,Oxford,Oxford,Oxford,reported_place,https://www.wikidata.org/wiki/Q16839267,20395131-fbde-43ce-b141-b700cfdae99c,Glass Animals,Oxford,https://musicbrainz.org/artist/20395131-fbde-43ce-b141-b700cfdae99c,True,Glass Animals,"Oxford, England",https://en.wikipedia.org/wiki/Glass_Animals,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Oxford
15,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,Q2306,26546155,London,London,London,reported_place,https://www.wikidata.org/wiki/Q2306,83d91898-7763-47d7-b03b-b92132375c47,Pink Floyd,London,https://musicbrainz.org/artist/83d91898-7763-47d7-b03b-b92132375c47,True,Pink Floyd,"London, England",https://en.wikipedia.org/wiki/Pink_Floyd,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
16,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,Q50040,26242776,Deptford,Deptford,London,editorial_city_cluster,https://www.wikidata.org/wiki/Q50040,614e3804-7d34-41ba-857f-811bad7c2b7a,Dire Straits,Deptford,https://musicbrainz.org/artist/614e3804-7d34-41ba-857f-811bad7c2b7a,True,Dire Straits,"London, England",https://en.wikipedia.org/wiki/Dire_Straits,False,corroborated_with_source_variation,,high,confirmed,Deptford,https://en.wikipedia.org/wiki/Dire_Straits,Deptford is the specific London formation place.,confirmed,Deptford
17,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Q217360,25836943,London,London,London,reported_place,https://www.wikidata.org/wiki/Q217360,5fee3020-513b-48c2-b1f7-4681b01db0c6,Florence + the Machine,London,https://musicbrainz.org/artist/5fee3020-513b-48c2-b1f7-4681b01db0c6,True,Florence and the Machine,"London, England",https://en.wikipedia.org/wiki/Florence_and_the_Machine,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
18,The Cure,7bu3H8JO7d0UbMoVzbo70s,Q484427,25827890,Crawley,Crawley,Crawley,reported_place,https://www.wikidata.org/wiki/Q484427,69ee3720-a7cb-4402-b48d-a02c366f2bcf,The Cure,Crawley,https://musicbrainz.org/artist/69ee3720-a7cb-4402-b48d-a02c366f2bcf,True,The Cure,"Crawley, West Sussex, England",https://en.wikipedia.org/wiki/The_Cure,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Crawley
19,Sade,47zz7sob9NUcODy0BTDvKx,Q658182,25528819,London,London,London,reported_place,https://www.wikidata.org/wiki/Q658182,67930b3e-e00b-469f-8c74-fd69f20522ec,Sade,London,https://musicbrainz.org/artist/67930b3e-e00b-469f-8c74-fd69f20522ec,True,Sade (band),"London, England",https://en.wikipedia.org/wiki/Sade_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
20,Disclosure,6nS5roXSAGhTGr34W6n7Et,Q1228440,25360907,Reigate,Reigate,Reigate,reported_place,https://www.wikidata.org/wiki/Q1228440,ae65c507-d9a0-4d42-9a6c-2b1f82158b9f,Disclosure,Reigate,https://musicbrainz.org/artist/ae65c507-d9a0-4d42-9a6c-2b1f82158b9f,True,Disclosure (band),"Reigate, Surrey, England",https://en.wikipedia.org/wiki/Disclosure_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Reigate
21,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Q269091,23781006,Bath,Bath,Bath,reported_place,https://www.wikidata.org/wiki/Q269091,7c7f9c94-dee8-4903-892b-6cf44652e2de,Tears for Fears,Bath,https://musicbrainz.org/artist/7c7f9c94-dee8-4903-892b-6cf44652e2de,True,Tears for Fears,"Bath, Somerset, England",https://en.wikipedia.org/wiki/Tears_for_Fears,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Bath
22,Keane,53A0W3U0s8diEn9RhXQhVz,Q484311,23259577,Battle,Battle,Battle,reported_place,https://www.wikidata.org/wiki/Q484311,c7020c6d-cae9-4db3-92a7-e5c561cbad50,Keane,Battle,https://musicbrainz.org/artist/c7020c6d-cae9-4db3-92a7-e5c561cbad50,True,Keane (band),"Battle, East Sussex, England",https://en.wikipedia.org/wiki/Keane_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Battle
23,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,Q180598,22515532,Manchester,Manchester,Manchester,reported_place,https://www.wikidata.org/wiki/Q180598,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,The Smiths,Manchester,https://musicbrainz.org/artist/40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,True,The Smiths,"Manchester, England",https://en.wikipedia.org/wiki/The_Smiths,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Manchester
24,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,Q689,22166012,London,London,London,reported_place,https://www.wikidata.org/wiki/Q689,7808accb-6395-4b25-858c-678bbb73896b,Bastille,London,https://musicbrainz.org/artist/7808accb-6395-4b25-858c-678bbb73896b,True,Bastille (band),"London, England",https://en.wikipedia.org/wiki/Bastille_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
25,Muse,12Chz98pHFMPJEknJQMWvI,Q22151,20942571,Teignmouth,Teignmouth,Teignmouth,reported_place,https://www.wikidata.org/wiki/Q22151,9c9f1380-2516-4fc9-a3e6-f9f61941d090,Muse,Teignmouth,https://musicbrainz.org/artist/9c9f1380-2516-4fc9-a3e6-f9f61941d090,True,Muse (band),"Teignmouth, Devon, England",https://en.wikipedia.org/wiki/Muse_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Teignmouth
26,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Q2331,20605707,London,London,London,reported_place,https://www.wikidata.org/wiki/Q2331,678d88b2-87b0-403b-b63d-5da7465aecc3,Led Zeppelin,London,https://musicbrainz.org/artist/678d88b2-87b0-403b-b63d-5da7465aecc3,True,Led Zeppelin,"London, England",https://en.wikipedia.org/wiki/Led_Zeppelin,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
27,The 1975,3mIj9lX2MWuHmhNCA7LSCW,Q2811247,18915018,Wilmslow,Wilmslow,Manchester,editorial_city_cluster,https://www.wikidata.org/wiki/Q2811247,5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,The 1975,Wilmslow,https://musicbrainz.org/artist/5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,True,The 1975,"Wilmslow, Cheshire, England",https://en.wikipedia.org/wiki/The_1975,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Wilmslow
28,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,Q218255,18330664,Birmingham,Birmingham,Birmingham,reported_place,https://www.wikidata.org/wiki/Q218255,0c502791-4ee9-4c5f-9696-0602b721ff3b,Electric Light Orchestra,Birmingham,https://musicbrainz.org/artist/0c502791-4ee9-4c5f-9696-0602b721ff3b,True,Electric Light Orchestra,"Birmingham, England",https://en.wikipedia.org/wiki/Electric_Light_Orchestra,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Birmingham
