STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,ORIGIN,Origin,TERRITORIAL_LEVEL,Territorial level,CITIZENSHIP,Citizenship,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS01C,Greater Sydney,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,4650997,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS20C,Gosford - Springfield,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,79663,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS02C,Greater Melbourne,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,4534379,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS03C,Greater Brisbane,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,1933998,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS04C,Greater Perth,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,1582973,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS21C,Rockingham,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,80209,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS05C,Greater Adelaide,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,1251608,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS06C,Gold Coast,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,361171,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS07C,Canberra,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,321624,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS08C,Newcastle,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,303988,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS10C,Wollongong,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,145552,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS11C,Sunshine Coast,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,107123,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS12C,Greater Hobart,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,75912,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS13C,Townsville,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,118859,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS14C,Geelong,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,187212,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS15C,Cairns,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,100570,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS16C,Greater Darwin,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,56206,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS17C,Toowoomba,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,101546,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS18C,Ballarat,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,91796,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AUS19C,Bendigo,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,73013,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AT001C,Wien,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,2071530,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AT002C,Graz,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,302681,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AT003C,Linz,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,240961,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AT004C,Salzburg,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,157340,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AT005C,Innsbruck,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,132157,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,AT006C,Klagenfurt,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,104839,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE001C,Bruxelles/Brussel,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,1447848,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE008C,Leuven,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,104009,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE012C,Mechelen,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,89313,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE002C,Antwerpen,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,660742,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE003C,Gent,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,269597,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE004C,Charleroi,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,251311,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE005C,Liège,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,405997,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE006C,Brugge,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,119869,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE007C,Namur,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,114142,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE009C,Mons,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,157733,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE010C,Kortrijk,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,124081,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE011C,Oostende,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,90766,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE013C,Mouscron,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,59987,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE014C,La Louvière,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,105349,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BE015C,Verviers,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,71030,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BG001C,Sofia,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,1286965,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BG012C,Pernik,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,81819,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BG002C,Plovdiv,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,325485,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BG003C,Varna,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,323386,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_DEMO@DF_AGE_SEX(1.2),Population by age and sex - Cities and FUAs,I,BG004C,Burgas,A,Annual,POP,Population,PS,Persons,_T,Total,_T,Total,_Z,Not applicable,CITY,City,_Z,Not applicable,2024,,194809,,A,Normal value,0,Units,0,Zero
