bua_name,country,population,population_year,source,notes
London,England,9540576,2021,ONS 2021,Greater London BUA
Birmingham,England,2607437,2021,ONS 2021,West Midlands BUA
Manchester,England,2867826,2021,ONS 2021,Greater Manchester BUA
Glasgow,Scotland,1673332,2021,Scotland Census 2021,Greater Glasgow BUA
Liverpool,England,1525690,2021,ONS 2021,Liverpool BUA
Leeds,England,1903228,2021,ONS 2021,Leeds BUA
Sheffield,England,1569000,2021,ONS 2021,Sheffield BUA
Bradford,England,1379872,2021,ONS 2021,Bradford BUA
Bristol,England,712225,2021,ONS 2021,Bristol BUA
Nottingham,England,919484,2021,ONS 2021,Nottingham BUA
