city,population,input_bands,retained_bands,trim_each_tail,trim_fraction_each_tail,lowest_excluded_bands,highest_excluded_bands,retained_band_names,untrimmed_value,untrimmed_ratio,top_excluded_value,top_excluded_ratio,trimmed_value,trimmed_mean,population_normalized_trimmed_mean,scene_depth_ratio,top_band_concentration,metric,untrimmed_rank,top_excluded_rank,rank,rank_shift_after_trim,symmetric_vs_top_only_rank_shift,untrimmed_listeners_per_million_residents,trimmed_total_per_million_residents,population_normalized_trimmed_mean_per_million
Oxford,576725,10,8,1,0.1,The Candyskins,Radiohead,Glass Animals | Supergrass | Foals | Ride | TTNG | Stornoway | Swervedriver | Hurricane #1,79630555,138.0737006372188,36462399,63.22319823139278,36460433,4557554.125,7.902473665958646,63.21978932766917,0.542105426742285,monthly_listeners,1,1,1,0,0,138073700.6372188,63219789.327669166,7902473.665958646
Sheffield,1168389,10,8,1,0.1,Cabaret Voltaire,Arctic Monkeys,Bring Me The Horizon | Def Leppard | The Human League | Pulp | Moloko | Thompson Twins | ABC | Heaven 17,91712251,78.4946203704417,39410381,33.7305306708639,39364908,4920613.5,4.211451408734591,33.69161126987673,0.5702822625082008,monthly_listeners,2,2,2,0,0,78494620.37044169,33691611.26987673,4211451.408734592
Manchester,3432092,10,8,1,0.1,Happy Mondays,Oasis,The Smiths | The 1975 | The Chemical Brothers | Simply Red | New Order | Take That | Joy Division | The Stone Roses,122954613,35.82497584563584,83278140,24.2645418596005,82625524,10328190.5,3.009298847466793,24.074390779734344,0.32269202457658097,monthly_listeners,4,3,3,1,0,35824975.84563584,24074390.779734343,3009298.847466793
Birmingham,3135994,10,8,1,0.1,Ocean Colour Scene,ELO,Black Sabbath | Duran Duran | UB40 | Dexys Midnight Runners | Judas Priest | The Moody Blues | Editors | The Spencer Davis Group,78260225,24.95547663675377,59929561,19.110228208344786,59322605,7415325.625,2.3645853993980857,18.916683195184685,0.23422708023136912,monthly_listeners,6,4,4,2,0,24955476.636753768,18916683.195184685,2364585.3993980857
London,12274097,10,8,1,0.1,The Kinks,Coldplay,Queen | Fleetwood Mac | The Rolling Stones | Florence and the Machine | Led Zeppelin | The Clash | Blur | The Who,316850941,25.814602980569568,224816837,18.316364698763582,216952349,27119043.625,2.2094532595758367,17.675626076606694,0.2904649855529386,monthly_listeners,5,5,5,0,0,25814602.980569568,17675626.076606695,2209453.259575837
Liverpool,1540817,10,8,1,0.1,The Lightning Seeds,The Beatles,The La's | A Flock of Seagulls | Dead or Alive | The Wombats | Frankie Goes to Hollywood | Atomic Kitten | Echo & the Bunnymen | Gerry and the Pacemakers,64261555,41.706156539030914,26333919,17.090880357628453,25296316,3162039.5,2.0521836791779946,16.417469433423957,0.5902072553333015,monthly_listeners,3,6,6,-3,0,41706156.53903092,16417469.433423957,2052183.6791779946
Glasgow,1831890,10,8,1,0.1,Mogwai,Franz Ferdinand,Simple Minds | CHVRCHES | The Fratellis | Texas | Primal Scream | Belle and Sebastian | Del Amitri | Deacon Blue,35258199,19.24689746655094,24450464,13.347124554421935,24080255,3010031.875,1.6431291589560508,13.145033271648407,0.30653111351490187,monthly_listeners,7,7,7,0,0,19246897.466550943,13145033.271648407,1643129.1589560509
Bristol,979556,10,8,1,0.1,Roni Size / Reprazent,Massive Attack,Portishead | Kosheen | Idles | Way Out West | Smith & Mighty | Fuck Buttons | The Blue Aeroplanes | The Pop Group,17389817,17.752754309095142,8696886,8.878395926317637,8696580,1087072.5,1.1097604424861875,8.8780835398895,0.4998862840247255,monthly_listeners,9,8,8,1,0,17752754.30909514,8878083.5398895,1109760.4424861874
Belfast,803943,10,8,1,0.1,New Pagans,Two Door Cinema Club,Bicep | Kneecap | Them | Stiff Little Fingers | And So I Watch You From Afar | The Outcasts | Girls Names | Rudi,15253374,18.973203324116263,5368951,6.678273210911719,5368516,671064.5,0.8347165159719034,6.6777321277752275,0.6480155144691266,monthly_listeners,8,9,9,-1,0,18973203.324116264,6677732.127775228,834716.5159719035
Leeds,2969034,10,8,1,0.1,The Mission,Alt-J,Soft Cell | Chumbawamba | Kaiser Chiefs | Nightmares on Wax | Sisters of Mercy | Gang of Four | The Wedding Present | The Mekons,24955874,8.40538505116479,16844936,5.6735409564188215,16838225,2104778.125,0.7089100781601019,5.671280625280815,0.32501117772913907,monthly_listeners,12,10,10,2,0,8405385.051164791,5671280.625280815,708910.0781601019
Nottingham,906878,10,8,1,0.1,Six by Seven,London Grammar,Ten Years After | Crazy P | Bent | Sleaford Mods | Paper Lace | Tindersticks | Pitchshifter | Dog Is Dead,7171024,7.907374531083564,4338885,4.784419734517763,4336394,542049.25,0.5977091185363411,4.781672948290729,0.3949420612732575,monthly_listeners,14,11,11,3,0,7907374.531083563,4781672.948290729,597709.1185363411
Hull,609661,10,8,1,0.1,Red Guitars,Everything but the Girl,The Beautiful South | The Housemartins | Scarlet | Throbbing Gristle | Black Tongue | The Watersons | Kingmaker | The Paddingtons,7901526,12.96052396331732,2294133,3.7629649920201556,2293202,286650.25,0.47017973923213063,3.761437913857045,0.7096595012153348,monthly_listeners,11,12,12,-1,0,12960523.96331732,3761437.913857045,470179.73923213064
Newcastle,1173303,10,8,1,0.1,Field Music,The Animals,Lighthouse Family | Maxïmo Park | Venom | The Futureheads | Little Comets | Lanterns on the Lake | Pigs Pigs Pigs Pigs Pigs Pigs Pigs | The Wildhearts,16201200,13.808197882388436,3876870,3.304235990191792,3866041,483255.125,0.41187581127807565,3.2950064902246052,0.760704762610177,monthly_listeners,10,13,13,-3,0,13808197.882388435,3295006.4902246054,411875.8112780757
Cardiff,905859,10,8,1,0.1,Young Marble Giants,Stereophonics,Manic Street Preachers | Los Campesinos! | Catatonia | Super Furry Animals | The Automatic | Budgie | Mclusky | Kids in Glass Houses,7416867,8.187661655953079,2229609,2.4613201392269657,2187011,273376.375,0.3017868950907371,2.4142951607258967,0.6993866817350237,monthly_listeners,13,14,14,-1,0,8187661.6559530785,2414295.1607258967,301786.8950907371
Leicester,922812,10,8,1,0.1,Gaye Bykers on Acid,Kasabian,Cornershop | hard life | Showaddywaddy | Family | Maybeshewill | Diesel Park West | Prolapse | Crazyhead,5439076,5.894023918197856,1789975,1.9396962761645926,1789176,223647.0,0.2423538055421906,1.9388304443375248,0.6709045801161815,monthly_listeners,15,15,15,0,0,5894023.918197856,1938830.444337525,242353.80554219062
Coventry,741982,10,8,1,0.1,Adorable,The Specials,The Enemy | The Primitives | Fun Boy Three | Bolt Thrower | King | The Selecter | The Colourfield | Cathedral,2778985,3.7453536608704794,1346612,1.8148849972101748,1327420,165927.5,0.22362739257825662,1.789019140626053,0.5154302740029183,monthly_listeners,16,16,16,0,0,3745353.6608704794,1789019.1406260529,223627.3925782566
Edinburgh,893610,10,8,1,0.1,The Fire Engines,Boards of Canada,Bay City Rollers | Young Fathers | We Were Promised Jetpacks | The Exploited | The Rezillos | Idlewild | The Incredible String Band | Josef K,2693468,3.0141426349302267,1516282,1.6968050939447858,1514044,189255.5,0.2117875807119437,1.6943006456955496,0.43705215729312547,monthly_listeners,17,17,17,0,0,3014142.6349302265,1694300.6456955497,211787.5807119437
