origin_cluster,band_count,monthly_listeners_total,band_share,listener_share
London,44,802923815,0.44,0.4945486565033828
Manchester,11,165910277,0.11,0.10218990028394424
Birmingham,5,56059884,0.05,0.034529229047634474
Sheffield,4,82887435,0.04,0.05105324920554445
Liverpool,3,50053015,0.03,0.030829389862092542
Oxford,2,70261364,0.02,0.04327641367854452
Cambridge,2,41124400,0.02,0.025329945867289684
Glasgow,2,20436452,0.02,0.012587520374265982
Bristol,2,14651842,0.02,0.009024578224024702
Leeds,2,13877184,0.02,0.008547439464415737
Los Hornos,1,29286539,0.01,0.018038596247246602
Crawley,1,25827890,0.01,0.015908294238124145
Reigate,1,25360907,0.01,0.015620663194000836
Bath,1,23781006,0.01,0.014647547311321044
Battle,1,23259577,0.01,0.014326381085342428
Teignmouth,1,20942571,0.01,0.012899256639656038
Basildon,1,17667155,0.01,0.010881814197386862
Sunderland,1,14843560,0.01,0.009142663996991238
Dundee,1,13274460,0.01,0.008176200825240057
Newcastle upon Tyne,1,12324330,0.01,0.007590982768152587
Bangor,1,9884423,0.01,0.006088159329239894
Guildford,1,9836875,0.01,0.006058872865094571
Bridlington,1,9520023,0.01,0.005863712716668273
Godalming,1,9434858,0.01,0.0058112566360983995
Eastbourne,1,8829850,0.01,0.005438611202018456
Auchtermuchty,1,8100195,0.01,0.0049891913526881985
Hertford,1,6998809,0.01,0.004310809473341857
Brighton,1,6950019,0.01,0.004280758018272237
Middlesbrough,1,6249726,0.01,0.0038494232442392567
Hereford,1,6044974,0.01,0.0037233093781106493
Paisley,1,5726001,0.01,0.0035268428321397175
West Lothian,1,5611864,0.01,0.003456541890814012
Kingston upon Hull,1,5607393,0.01,0.003453788046673486
