fua_code,official_fua_name,study_city_label,population_year,population,band_count,monthly_listeners_total,top100_bands_per_million_residents,top100_monthly_listeners_per_resident,one_band_fua,rank_by_listener_reach_per_resident,rank_by_bands_per_million
UK576F,Crawley,Crawley,2021.0,118607,1,25827890,8.431205578085612,217.76025023818156,True,1,2
UK031F,Bath and North East Somerset,Bath and North East Somerset,2021.0,192419,1,23781006,5.196991981041373,123.58969748309678,True,2,3
UK560F,Oxford,Oxford,2021.0,576725,2,70261364,3.467857297672201,121.82819194590142,False,3,9
UK017F,Cambridge,Cambridge,2021.0,396189,2,41124400,5.0480957320874635,103.79995406232884,False,4,4
UK055F,Eastbourne,Eastbourne,2021.0,101601,1,8829850,9.842422810799107,86.90711705593449,True,5,1
UK010F,Sheffield,Sheffield,2021.0,1168389,4,82887435,3.423517338831502,70.94164272344227,False,6,10
UK001F,London,London,2021.0,12274097,44,802923815,3.5847850966144397,65.41612103929111,False,7,8
UK510F,Sunderland,Sunderland,2021.0,274378,1,14843560,3.644607074911254,54.09894379286969,True,8,7
UK550F,Dundee City,Dundee City,2021.0,261740,1,13274460,3.8205853136700547,50.71620692290059,True,9,5
UK008F,Manchester,Manchester,2021.0,3432092,11,165910277,3.205042289076167,48.34085945248554,False,10,11
UK033F,Guildford,Guildford,2021.0,272893,1,9836875,3.6644399086821573,36.0466373267178,True,11,6
UK006F,Liverpool,Liverpool,2021.0,1540817,3,50053015,1.9470190165347345,32.484724013299434,False,12,14
UK002F,West Midlands urban area,Birmingham,2021.0,3135994,5,56059884,1.5943908055946534,17.876272722460566,False,13,17
UK515F,Brighton and Hove,Brighton and Hove,2021.0,441252,1,6950019,2.2662786797566925,15.750679883603928,True,14,12
UK011F,Bristol,Bristol,2021.0,979556,2,14651842,2.0417413603714336,14.957635908513653,False,15,13
UK004F,Glasgow,Glasgow,2021.0,1831890,2,20436452,1.0917686105606776,11.155938402414993,False,16,18
UK559F,Middlesbrough,Middlesbrough,2021.0,570155,1,6249726,1.7539090247388867,10.961450833545264,True,17,15
UK013F,Newcastle upon Tyne,Newcastle,2021.0,1173303,1,12324330,0.8522947610293334,10.503961892196644,True,18,19
UK026F,Kingston upon Hull,Hull,2021.0,609661,1,5607393,1.6402558142967978,9.197558971297164,True,19,16
UK003F,Leeds,Leeds,2021.0,2969034,2,13877184,0.6736197699319038,4.673972746691348,False,20,20
