band,city,musicbrainz_id,origin_confidence,origin_evidence_url,editorial_review_flag,spotify_url,spotify_match_name,selection_source,notes,spotify_id,spotify_name,monthly_listeners,followers,stats_extracted_at,source,match_quality,id_source,population
The Rolling Stones,London,b071f9fa-14b0-4217-8e97-eb41da73f598,high,https://musicbrainz.org/artist/b071f9fa-14b0-4217-8e97-eb41da73f598,False,,,existing_shortlist,,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,30644916,16647224,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,9540576
The Clash,London,8f92558c-2baa-4758-8c38-615519e9deda,high,https://musicbrainz.org/artist/8f92558c-2baa-4758-8c38-615519e9deda,False,,,existing_shortlist,,3RGLhK1IP9jnYFH4BRFJBS,The Clash,14556602,3507296,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,9540576
Blur,London,ba853904-ae25-4ebb-89d6-c44cfbd71bd2,high,https://musicbrainz.org/artist/ba853904-ae25-4ebb-89d6-c44cfbd71bd2,False,,,existing_shortlist,,7MhMgCo0Bl0Kukl93PZbYS,Blur,14051908,4273555,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,9540576
Coldplay,London,cc197bad-dc9c-440d-a5b5-d52ba2e14234,high,https://musicbrainz.org/artist/cc197bad-dc9c-440d-a5b5-d52ba2e14234,False,,,existing_shortlist,,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,91959876,64720341,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,9540576
Florence and the Machine,London,5fee3020-513b-48c2-b1f7-4681b01db0c6,high,https://musicbrainz.org/artist/5fee3020-513b-48c2-b1f7-4681b01db0c6,False,,Florence + The Machine,existing_shortlist,,1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,25889479,7585878,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,9540576
Queen,London,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,high,https://musicbrainz.org/artist/0383dadf-2a4e-4d10-a46a-e9e041da8eb3,False,,,agent_addition,,1dfeR4HaWDbWqFHLkxsg1d,Queen,51744885,57994446,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,9540576
Led Zeppelin,London,678d88b2-87b0-403b-b63d-5da7465aecc3,high,https://musicbrainz.org/artist/678d88b2-87b0-403b-b63d-5da7465aecc3,False,,,agent_addition,,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,20657275,16924099,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,9540576
The Who,London,9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa,high,https://musicbrainz.org/artist/9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa,False,,,agent_addition,,67ea9eGLXYMsO2eYQRui3w,The Who,8667714,6099292,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,9540576
The Kinks,London,17b53d9f-5c63-4a09-a593-dde4608e0db9,high,https://musicbrainz.org/artist/17b53d9f-5c63-4a09-a593-dde4608e0db9,False,,,agent_addition,,1SQRv42e4PjEYfPhS0Tk9E,The Kinks,7894270,2957718,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,9540576
Fleetwood Mac,London,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,high,https://musicbrainz.org/artist/bd13909f-1c29-4c27-a874-d4aaf27c5b1a,False,,,agent_addition,,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,50998569,15540853,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,9540576
