city,population,input_bands,retained_bands,trim_each_tail,trim_fraction_each_tail,lowest_excluded_bands,highest_excluded_bands,retained_band_names,untrimmed_value,untrimmed_ratio,top_excluded_value,top_excluded_ratio,trimmed_value,trimmed_mean,scene_depth_ratio,top_band_concentration,metric,untrimmed_rank,top_excluded_rank,rank,rank_shift_after_trim,symmetric_vs_top_only_rank_shift
Manchester,2867826,10,8,1,0.1,Happy Mondays,Oasis,The Smiths | The 1975 | The Chemical Brothers | Simply Red | New Order | Take That | Joy Division | The Stone Roses,122163556,42.59796654329796,83170361,29.001188007919588,82517317,10314664.625,28.7734740531678,0.319188441109229,monthly_listeners,2,1,1,1,0
Sheffield,1569000,10,8,1,0.1,Cabaret Voltaire,Arctic Monkeys,Bring Me The Horizon | Def Leppard | The Human League | Pulp | Moloko | Thompson Twins | ABC | Heaven 17,91683097,58.43409623964308,39437784,25.13561759082218,39392103,4924012.875,25.106502868068834,0.5698467297630664,monthly_listeners,1,2,2,-1,0
London,9540576,10,8,1,0.1,The Kinks,Coldplay,Queen | Fleetwood Mac | The Rolling Stones | Florence and the Machine | Led Zeppelin | The Clash | Blur | The Who,317065494,33.23337018645415,225105618,23.594552152825994,217211348,27151418.5,22.76711049731169,0.2900343233187021,monthly_listeners,4,3,3,1,0
Birmingham,2607437,10,8,1,0.1,Ocean Colour Scene,ELO,Black Sabbath | Duran Duran | UB40 | Dexys Midnight Runners | Judas Priest | The Moody Blues | Editors | The Spencer Davis Group,78309803,30.033248358445476,59962812,22.996840192112025,59356375,7419546.875,22.76426045960075,0.23428728329197815,monthly_listeners,5,4,4,1,0
Liverpool,1525690,10,8,1,0.1,The Lightning Seeds,The Beatles,The La's | A Flock of Seagulls | Dead or Alive | The Wombats | Frankie Goes to Hollywood | Atomic Kitten | Echo & the Bunnymen | Gerry and the Pacemakers,64165425,42.05665960975034,26347903,17.26949970177428,25295658,3161957.25,16.579815034508975,0.5893753840171713,monthly_listeners,3,5,5,-2,0
Glasgow,1673332,10,8,1,0.1,Mogwai,Franz Ferdinand,Simple Minds | CHVRCHES | The Fratellis | Texas | Primal Scream | Belle and Sebastian | Del Amitri | Deacon Blue,35283897,21.08601102470998,24484487,14.632175204920483,24115307,3014413.375,14.411549531115163,0.30607191716946686,monthly_listeners,7,6,6,1,0
Bristol,712225,10,8,1,0.1,Roni Size / Reprazent,Massive Attack,Portishead | Kosheen | Idles | Way Out West | Smith & Mighty | Fuck Buttons | The Blue Aeroplanes | The Pop Group,17416014,24.45296640808733,8698568,12.213230369616344,8698262,1087282.75,12.212800730106357,0.500541972462815,monthly_listeners,6,7,7,-1,0
Leeds,1903228,10,8,1,0.1,The Mission,Alt-J,Soft Cell | Chumbawamba | Kaiser Chiefs | Nightmares on Wax | Sisters of Mercy | Gang of Four | The Wedding Present | The Mekons,24981791,13.126010651377554,16842119,8.849238766979049,16835427,2104428.375,8.84572263543832,0.3258241973123544,monthly_listeners,8,8,8,0,0
Nottingham,919484,10,8,1,0.1,Six by Seven,London Grammar,Ten Years After | Crazy P | Bent | Sleaford Mods | Paper Lace | Tindersticks | Pitchshifter | Dog Is Dead,7177939,7.806486029120681,4337795,4.7176405462194015,4335284,541910.5,4.71490966672612,0.3956768091787907,monthly_listeners,9,9,9,0,0
Bradford,1379872,10,8,1,0.1,The Passmore Sisters,New Model Army,My Dying Bride | Scars on 45 | Smokie | The Southern Death Cult | 1919 | Anti-System | The Negatives | Poppy Factory,391219,0.28351832633751534,163360,0.1183877924908977,163222,20402.75,0.11828778321467498,0.58243336852249,monthly_listeners,10,10,10,0,0
