city,population,input_bands,top_excluded_retained_bands,highest_excluded_bands,all_ten_value,all_ten_ratio,top_excluded_value,top_excluded_ratio,top_band_concentration,metric,raw_total_rank,all_ten_rank,top_excluded_rank
Oxford,576725,10,9,Radiohead,79630555,138.0737006372188,36462399,63.22319823139278,0.542105426742285,monthly_listeners,4,1,1
Sheffield,1168389,10,9,Arctic Monkeys,91712251,78.4946203704417,39410381,33.7305306708639,0.5702822625082008,monthly_listeners,3,2,2
Liverpool,1540817,10,9,The Beatles,64261555,41.706156539030914,26333919,17.090880357628453,0.5902072553333015,monthly_listeners,6,3,6
Manchester,3432092,10,9,Oasis,122954613,35.82497584563584,83278140,24.2645418596005,0.32269202457658097,monthly_listeners,2,4,3
London,12274097,10,9,Coldplay,316850941,25.814602980569568,224816837,18.316364698763582,0.2904649855529386,monthly_listeners,1,5,5
Birmingham,3135994,10,9,ELO,78260225,24.95547663675377,59929561,19.110228208344786,0.23422708023136912,monthly_listeners,5,6,4
Glasgow,1831890,10,9,Franz Ferdinand,35258199,19.24689746655094,24450464,13.347124554421935,0.30653111351490187,monthly_listeners,7,7,7
Belfast,803943,10,9,Two Door Cinema Club,15253374,18.973203324116263,5368951,6.678273210911719,0.6480155144691266,monthly_listeners,11,8,9
Bristol,979556,10,9,Massive Attack,17389817,17.752754309095142,8696886,8.878395926317637,0.4998862840247255,monthly_listeners,9,9,8
Newcastle,1173303,10,9,The Animals,16201200,13.808197882388436,3876870,3.304235990191792,0.760704762610177,monthly_listeners,10,10,13
Hull,609661,10,9,Everything but the Girl,7901526,12.96052396331732,2294133,3.7629649920201556,0.7096595012153348,monthly_listeners,12,11,12
Leeds,2969034,10,9,Alt-J,24955874,8.40538505116479,16844936,5.6735409564188215,0.32501117772913907,monthly_listeners,8,12,10
Cardiff,905859,10,9,Stereophonics,7416867,8.187661655953079,2229609,2.4613201392269657,0.6993866817350237,monthly_listeners,13,13,14
Nottingham,906878,10,9,London Grammar,7171024,7.907374531083564,4338885,4.784419734517763,0.3949420612732575,monthly_listeners,14,14,11
Leicester,922812,10,9,Kasabian,5439076,5.894023918197856,1789975,1.9396962761645926,0.6709045801161815,monthly_listeners,15,15,15
Coventry,741982,10,9,The Specials,2778985,3.7453536608704794,1346612,1.8148849972101748,0.5154302740029183,monthly_listeners,16,16,16
Edinburgh,893610,10,9,Boards of Canada,2693468,3.0141426349302267,1516282,1.6968050939447858,0.43705215729312547,monthly_listeners,17,17,17
Southampton,692010,10,9,Bury Tomorrow,1656126,2.3932110807647287,1158147,1.67359864741839,0.3006890780049344,monthly_listeners,18,18,18
Portsmouth,528707,10,9,Acres,347715,0.6576705055919441,161713,0.3058650632580995,0.5349265921803776,monthly_listeners,19,19,19
Middlesbrough,570155,10,9,Cattle & Cane,138377,0.24270066911629293,71819,0.12596399224772212,0.4809903379896948,monthly_listeners,20,20,20
