capture_key,spotify_id,wikidata_qid,band_name,spotify_expected_name,formation_qid,formation_label,instance_label,country_label
*shels [0Ivm3PYwfVFeq2trxYqLi2],0Ivm3PYwfVFeq2trxYqLi2,Q3481854,*shels,*shels,Q84,London,musical group,United Kingdom
10cc [6i6WlGzQtXtz7GcC5H5st5],6i6WlGzQtXtz7GcC5H5st5,Q169145,10cc,10cc,Q18655,Stockport,musical group,United Kingdom
14 Iced Bears [6dprTRdShPpMsyFQrgktQ1],6dprTRdShPpMsyFQrgktQ1,Q4549937,14 Iced Bears,14 Iced Bears,Q131491,Brighton,musical group,United Kingdom
1990s [1JEwJAGMlP6JvUkZ5OXkvy],1JEwJAGMlP6JvUkZ5OXkvy,Q266906,1990s,1990s,Q4093,Glasgow,musical group,United Kingdom
21st Century Schizoid Band [3P1LXhROLTUCEnbaCe1xa4],3P1LXhROLTUCEnbaCe1xa4,Q1967950,21st Century Schizoid Band,21st Century Schizoid Band,Q21,England,musical group,United Kingdom
25 Yard Screamer [0rrJ9YYFiq3KPgI72gfQfD],0rrJ9YYFiq3KPgI72gfQfD,Q127504956,25 Yard Screamer,25 Yard Screamer,,,musical group,United Kingdom
2far2jump [6dQqhidHUrk9MWflBTnCc1],6dQqhidHUrk9MWflBTnCc1,Q23898941,2far2jump,2far2jump,Q213465,Guildford,musical group,United Kingdom
4hero [1BlBZ9jQGOjmj6Zykgg43L],1BlBZ9jQGOjmj6Zykgg43L,Q924606,4hero,4hero,,,musical duo,United Kingdom
60 Ft. Dolls [6PbCYw3l3rl6r0jHyy5OaN],6PbCYw3l3rl6r0jHyy5OaN,Q4641669,60 Ft. Dolls,60 Ft. Dolls,Q101254,Newport,musical group,United Kingdom
65daysofstatic [6DVVsQAnpHdJjb1nYuOQ6g],6DVVsQAnpHdJjb1nYuOQ6g,Q254285,65daysofstatic,65daysofstatic,Q42448,Sheffield,musical group,United Kingdom
808INK [1eSFjbv86usit5ZF5ywtLf],1eSFjbv86usit5ZF5ywtLf,Q127505000,808INK,808INK,,,musical group,United Kingdom
911 [3H7pODXycF821OnRyAw2VT],3H7pODXycF821OnRyAw2VT,Q3648767,911,911,,,musical group,United Kingdom
93MillionMilesFromTheSun [5t4zacorikeFR9miIaxAhu],5t4zacorikeFR9miIaxAhu,Q127445879,93MillionMilesFromTheSun,93MillionMilesFromTheSun,,,musical group,United Kingdom
999 [14IKysoZ0qyGRsIiTk1Ase],14IKysoZ0qyGRsIiTk1Ase,Q277297,999,999,Q84,London,musical group,United Kingdom
9Bach [2NIcUSfuUPORqM5CaXZlIO],2NIcUSfuUPORqM5CaXZlIO,Q20161871,9Bach,9Bach,Q25,Wales,musical group,United Kingdom
A [3HBxYEtI2i43MzWyTXupVv],3HBxYEtI2i43MzWyTXupVv,Q300307,A,A,Q23111,Suffolk,musical group,United Kingdom
A Blaze Of Feather [0j7wLGDwHdUSPLkxCH3GBQ],0j7wLGDwHdUSPLkxCH3GBQ,Q113103524,A Blaze Of Feather,A Blaze Of Feather,,,musical group,United Kingdom
A Certain Ratio [2vygNfdnPBXah21ZrqhxYk],2vygNfdnPBXah21ZrqhxYk,Q300348,A Certain Ratio,A Certain Ratio,Q18125,Manchester,musical group,United Kingdom
A Flock of Seagulls [0uAjBatvB4ubpd4kCfjmNt],0uAjBatvB4ubpd4kCfjmNt,Q300409,A Flock of Seagulls,A Flock of Seagulls,Q24826,Liverpool,musical group,United Kingdom
A Forest of Stars [7CiWvN1gNzwW6eNxTAYhe2],7CiWvN1gNzwW6eNxTAYhe2,Q60846500,A Forest of Stars,A Forest of Stars,,,musical group,England
ABC [2s79xe5F6eUQkjwjww27Fh],2s79xe5F6eUQkjwjww27Fh,Q287078,ABC,ABC,Q42448,Sheffield,musical group,United Kingdom
Aaron Buchanan and The Cult Classics [1tjlBewFVOoImOZoaTVe4e],1tjlBewFVOoImOZoaTVe4e,Q29052390,Aaron Buchanan and The Cult Classics,Aaron Buchanan and The Cult Classics,,,musical group,United Kingdom
Abandoned Stars [2erZaBtn8MSxA4lOIYRbge],2erZaBtn8MSxA4lOIYRbge,Q113336119,Abandoned Stars,Abandoned Stars,Q23436,Edinburgh,rock band,Scotland
Abbacadabra [4vhgCDK6RHCBN6P3jPQlZX],4vhgCDK6RHCBN6P3jPQlZX,Q305788,Abbacadabra,Abbacadabra,,,musical group,United Kingdom
Aberfeldy [1AwmnO4vW3ADyDIcWKsTfg],1AwmnO4vW3ADyDIcWKsTfg,Q319550,Aberfeldy,Aberfeldy,Q23436,Edinburgh,musical group,United Kingdom
Abjects [2GuVuVjkbYv84u338E44bM],2GuVuVjkbYv84u338E44bM,Q104277135,Abjects,Abjects,Q84,London,musical group,United Kingdom
Above & Beyond [10gzBoINW3cLJfZUka8Zoe],10gzBoINW3cLJfZUka8Zoe,Q323187,Above & Beyond,Above & Beyond,Q84,London,musical group,United Kingdom
Academy of Ancient Music [60adCptqwRkANTtVja0bvf],60adCptqwRkANTtVja0bvf,Q337310,Academy of Ancient Music,Academy of Ancient Music,,,charitable organization|musical group,United Kingdom
