origin_cluster,band_count,monthly_listeners_total,band_share,listener_share
London,73,903482927,0.365,0.45787212514948433
Unresolved,18,63314552,0.09,0.032086902376106036
Manchester,14,178393843,0.07,0.09040742837190709
Liverpool,9,68604202,0.045,0.03476762075430397
Glasgow,7,39016876,0.035,0.019773190391248988
Sheffield,6,88226230,0.03,0.04471178172471121
Birmingham,6,60172647,0.03,0.030494630207616245
Oxford,3,74462986,0.015,0.037736768040550143
Bath,3,29351691,0.015,0.014875013941354747
Leeds,3,16877080,0.015,0.008553060888020365
Brighton,3,12849452,0.015,0.006511917069403893
Cambridge,2,41124400,0.01,0.020841253177878206
Basildon,2,20711274,0.01,0.010496175143477018
Newcastle upon Tyne,2,15246282,0.01,0.007726595966952157
Bristol,2,14651842,0.01,0.007425342342849242
Hertford,2,9269432,0.01,0.004697614533637595
Los Hornos,1,29286539,0.005,0.0148419958468161
Crawley,1,25827890,0.005,0.013089202384481932
Reigate,1,25360907,0.005,0.012852542130891239
Battle,1,23259577,0.005,0.011787618374185467
Teignmouth,1,20942571,0.005,0.010613393129302554
Sunderland,1,14843560,0.005,0.007522502261942444
Dundee,1,13274460,0.005,0.00672730499799674
Bangor,1,9884423,0.005,0.00500928310833088
Guildford,1,9836875,0.005,0.0049851864672588704
Bridlington,1,9520023,0.005,0.004824610440571136
Godalming,1,9434858,0.005,0.004781450046087715
Eastbourne,1,8829850,0.005,0.004474840711905533
Auchtermuchty,1,8100195,0.005,0.004105062074709495
Middlesbrough,1,6249726,0.005,0.003167271057045648
Hereford,1,6044974,0.005,0.0030635056946166053
Paisley,1,5726001,0.005,0.0029018547756996765
West Lothian,1,5611864,0.005,0.0028440117892010656
Kingston upon Hull,1,5607393,0.005,0.002841745950843344
Cwmaman,1,5187258,0.005,0.002628827588414035
Grangemouth,1,5124023,0.005,0.002596781001844915
Bridgend,1,5036374,0.005,0.002552361751964361
Braintree,1,5031555,0.005,0.0025499195522225
St Albans,1,5025277,0.005,0.0025467379523097786
Burnley,1,4700579,0.005,0.0023821856859095225
Reading,1,4658345,0.005,0.0023607821034447446
Wheatley,1,4645328,0.005,0.0023541852754638756
Dunfermline,1,4341186,0.005,0.0022000504935819217
Totnes,1,3971668,0.005,0.0020127840971899207
Romford,1,3783264,0.005,0.0019173036655307364
Leicester,1,3649101,0.005,0.001849311790874725
Westminster,1,3616192,0.005,0.0018326339840050614
Southend-on-Sea,1,3587725,0.005,0.001818207318711108
Q9679,1,3584069,0.005,0.0018163545106064712
Wimbledon,1,3487007,0.005,0.0017671648879991817
Meols,1,3287803,0.005,0.0016662111720046372
Chelsea,1,3158701,0.005,0.0016007841392024459
North London,1,3028602,0.005,0.001534851841170407
Derby,1,2895181,0.005,0.0014672360014196585
Nottingham,1,2832139,0.005,0.0014352872244687534
Wrexham,1,2790501,0.005,0.0014141856862135936
York,1,2592556,0.005,0.0013138700132725879
University of Leeds,1,2550591,0.005,0.0012926027561306075
Ashford,1,2528248,0.005,0.0012812796457690378
Lowestoft,1,2453090,0.005,0.0012431906546507973
Q22905,1,2277310,0.005,0.0011541078842369449
