popularity_rank,spotify_name,returned_spotify_id,monthly_listeners,origin_cluster,mapping_tier,mapping_method,fua_code,official_fua_name,study_city_label,population_year,population,notes
1,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,92034104,London,strict,exact_study_label,UK001F,London,London,2021.0,12274097.0,Origin cluster matches the OECD FUA study label.
2,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,52301870,Sheffield,strict,exact_study_label,UK010F,Sheffield,Sheffield,2021.0,1168389.0,Origin cluster matches the OECD FUA study label.
3,Queen,1dfeR4HaWDbWqFHLkxsg1d,51601234,London,strict,exact_study_label,UK001F,London,London,2021.0,12274097.0,Origin cluster matches the OECD FUA study label.
4,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,50959935,London,strict,exact_study_label,UK001F,London,London,2021.0,12274097.0,Origin cluster matches the OECD FUA study label.
5,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,45724043,London,strict,exact_study_label,UK001F,London,London,2021.0,12274097.0,Origin cluster matches the OECD FUA study label.
6,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,43168156,Oxford,strict,exact_study_label,UK560F,Oxford,Oxford,2021.0,576725.0,Origin cluster matches the OECD FUA study label.
7,The Police,5NGO30tJxFlKixkPSgXcFE,39887109,London,strict,exact_study_label,UK001F,London,London,2021.0,12274097.0,Origin cluster matches the OECD FUA study label.
8,Oasis,2DaxqgrOhkeH0fpeiQq2f4,39676473,Manchester,strict,exact_study_label,UK008F,Manchester,Manchester,2021.0,3432092.0,Origin cluster matches the OECD FUA study label.
9,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,38173160,London,strict,exact_study_label,UK001F,London,London,2021.0,12274097.0,Origin cluster matches the OECD FUA study label.
10,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,37927636,Liverpool,strict,exact_study_label,UK006F,Liverpool,Liverpool,2021.0,1540817.0,Origin cluster matches the OECD FUA study label.
11,Clean Bandit,6MDME20pz9RveH9rEXvrOM,35453400,Cambridge,strict,exact_study_label,UK017F,Cambridge,Cambridge,2021.0,396189.0,Origin cluster matches the OECD FUA study label.
12,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,30690194,London,strict,exact_study_label,UK001F,London,London,2021.0,12274097.0,Origin cluster matches the OECD FUA study label.
13,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,29286539,Redcliffe,excluded_non_uk,outside_uk_fua_universe,,,,,,The corrected Bee Gees formation origin is Redcliffe in Queensland and is outside the UK FUA universe.
14,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,27093208,Oxford,strict,exact_study_label,UK560F,Oxford,Oxford,2021.0,576725.0,Origin cluster matches the OECD FUA study label.
15,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,26546155,London,strict,exact_study_label,UK001F,London,London,2021.0,12274097.0,Origin cluster matches the OECD FUA study label.
16,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,26242776,London,strict,exact_study_label,UK001F,London,London,2021.0,12274097.0,Origin cluster matches the OECD FUA study label.
