fua_code,official_fua_name,study_city_label,population_year,population,band_count,monthly_listeners_total,selected_bands_per_million_residents,selected_monthly_listeners_per_resident,top100_bands_per_million_residents,top100_monthly_listeners_per_resident,one_band_fua,rank_by_listener_reach_per_resident,rank_by_bands_per_million
UK576F,Crawley,Crawley,2021.0,118607,1,25827890,8.431205578085612,217.76025023818156,8.431205578085612,217.76025023818156,True,1,3
UK031F,Bath and North East Somerset,Bath and North East Somerset,2021.0,192419,3,29351691,15.590975943124121,152.54050275700425,15.590975943124121,152.54050275700425,False,2,1
UK560F,Oxford,Oxford,2021.0,576725,3,74462986,5.201785946508301,129.11350470328145,5.201785946508301,129.11350470328145,False,3,10
UK017F,Cambridge,Cambridge,2021.0,396189,2,41124400,5.0480957320874635,103.79995406232884,5.0480957320874635,103.79995406232884,False,4,12
UK055F,Eastbourne,Eastbourne,2021.0,101601,1,8829850,9.842422810799107,86.90711705593449,9.842422810799107,86.90711705593449,True,5,2
UK010F,Sheffield,Sheffield,2021.0,1168389,6,88226230,5.135276008247253,75.51100703618401,5.135276008247253,75.51100703618401,False,6,11
UK001F,London,London,2021.0,12274097,78,920556693,6.354846307634688,74.99995258306986,6.354846307634688,74.99995258306986,False,7,7
UK510F,Sunderland,Sunderland,2021.0,274378,1,14843560,3.644607074911254,54.09894379286969,3.644607074911254,54.09894379286969,True,8,18
UK008F,Manchester,Manchester,2021.0,3432092,14,178393843,4.0791447315514855,51.978164629619485,4.0791447315514855,51.978164629619485,False,9,14
UK550F,Dundee City,Dundee City,2021.0,261740,1,13274460,3.8205853136700547,50.71620692290059,3.8205853136700547,50.71620692290059,True,10,16
UK006F,Liverpool,Liverpool,2021.0,1540817,9,68604202,5.841057049604204,44.52456196939676,5.841057049604204,44.52456196939676,False,11,8
UK033F,Guildford,Guildford,2021.0,272893,1,9836875,3.6644399086821573,36.0466373267178,3.6644399086821573,36.0466373267178,True,12,17
UK515F,Brighton and Hove,Brighton and Hove,2021.0,441252,3,12849452,6.7988360392700775,29.12043911415699,6.7988360392700775,29.12043911415699,False,13,6
UK050F,Burnley,Burnley,2021.0,190553,1,4700579,5.247883790861335,24.668092341763185,5.247883790861335,24.668092341763185,True,14,9
UK004F,Glasgow,Glasgow,2021.0,1831890,7,39016876,3.821190136962372,21.298700249469128,3.821190136962372,21.298700249469128,False,15,15
UK022F,Wrexham,Wrexham,2021.0,135152,1,2790501,7.399076595240914,20.647130638096364,7.399076595240914,20.647130638096364,True,16,5
UK002F,West Midlands urban area,Birmingham,2021.0,3135994,6,60172647,1.9132689667135845,19.18774302501854,1.9132689667135845,19.18774302501854,False,17,22
UK041F,Ashford,Ashford,2021.0,133221,1,2528248,7.506324078035744,18.977848837645716,7.506324078035744,18.977848837645716,True,18,4
UK011F,Bristol,Bristol,2021.0,979556,2,14651842,2.0417413603714336,14.957635908513653,2.0417413603714336,14.957635908513653,False,19,20
UK552F,Reading,Reading,2021.0,351602,1,4658345,2.844124891212223,13.248914966354002,2.844124891212223,13.248914966354002,True,20,19
UK013F,Newcastle upon Tyne,Newcastle,2021.0,1173303,2,15246282,1.7045895220586669,12.994326273775828,1.7045895220586669,12.994326273775828,False,21,24
UK533F,York,York,2021.0,201851,1,2592556,4.954149347786238,12.8439096164993,4.954149347786238,12.8439096164993,True,22,13
UK559F,Middlesbrough,Middlesbrough,2021.0,570155,1,6249726,1.7539090247388867,10.961450833545264,1.7539090247388867,10.961450833545264,True,23,23
UK026F,Kingston upon Hull,Hull,2021.0,609661,1,5607393,1.6402558142967978,9.197558971297164,1.6402558142967978,9.197558971297164,True,24,25
UK003F,Leeds,Leeds,2021.0,2969034,4,19427671,1.3472395398638075,6.5434316346663595,1.3472395398638075,6.5434316346663595,False,25,26
UK518F,Derby,Derby,2021.0,495753,1,2895181,2.0171335322226995,5.839966676954048,2.0171335322226995,5.839966676954048,True,26,21
UK014F,Leicester,Leicester,2021.0,922812,1,3649101,1.0836443392587005,3.9543276420332636,1.0836443392587005,3.9543276420332636,True,27,28
UK029F,Nottingham,Nottingham,2021.0,906878,1,2832139,1.1026841537670997,3.1229547965658004,1.1026841537670997,3.1229547965658004,True,28,27
