origin_cluster,place_type,location_status,wikidata_qid,latitude,longitude,coordinate_source_url,captured_at_utc,review_notes
Andover,locality,uk,Q492805,51.2167,-1.4667,https://www.wikidata.org/wiki/Q492805,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Ashford,locality,uk,Q725270,51.4325,-0.469361111111,https://www.wikidata.org/wiki/Q725270,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Auchtermuchty,locality,uk,Q758624,56.2898,-3.23745,https://www.wikidata.org/wiki/Q758624,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Aylesbury,locality,uk,Q213474,51.8168,-0.8124,https://www.wikidata.org/wiki/Q213474,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Bailiff Bridge,locality,uk,Q4848439,53.7167,-1.7817,https://www.wikidata.org/wiki/Q4848439,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Bangor,locality,uk,Q806551,54.66,-5.67,https://www.wikidata.org/wiki/Q806551,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Barnsley,locality,uk,Q54212,53.5536111111,-1.47888888889,https://www.wikidata.org/wiki/Q54212,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Basildon,locality,uk,Q216649,51.5761,0.4886,https://www.wikidata.org/wiki/Q216649,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Bath,locality,uk,Q22889,51.3813888889,-2.35972222222,https://www.wikidata.org/wiki/Q22889,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Battersea,district,uk,Q1138912,51.4637694444,-0.167711111111,https://www.wikidata.org/wiki/Q1138912,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Battle,locality,uk,Q737593,50.9166666667,0.483333333333,https://www.wikidata.org/wiki/Q737593,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Bedford,locality,uk,Q208257,52.1344444444,-0.463055555556,https://www.wikidata.org/wiki/Q208257,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Belfast,locality,uk,Q10686,54.5966666667,-5.93,https://www.wikidata.org/wiki/Q10686,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
