origin_cluster,fua_code,mapping_tier,mapping_method,notes
Auchtermuchty,,excluded_no_defensible_fua,no_reviewed_assignment,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Bangor,UK012F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Ards and North Down to Belfast FUA.
Basildon,UK001F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Basildon to London FUA.
Bath,UK031F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Bath and North East Somerset to Bath and North East Somerset FUA.
Battle,UK056F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Rother to Hastings FUA.
Birmingham,UK002F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Birmingham to West Midlands urban area FUA.
Bridlington,UK026F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns East Riding of Yorkshire to Kingston upon Hull FUA.
Brighton,UK515F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Brighton and Hove to Brighton and Hove FUA.
Bristol,UK011F,strict,exact_fua_label,Origin matches an official or study FUA label.
Cambridge,UK017F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Cambridge to Cambridge FUA.
Crawley,UK576F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Crawley to Crawley FUA.
Dundee,UK550F,strict,official_oecd_municipality_crosswalk,"The official OECD municipality list assigns Angus, Dundee City to Dundee City FUA."
Eastbourne,UK055F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Eastbourne to Eastbourne FUA.
Glasgow,UK004F,strict,official_oecd_municipality_crosswalk,"The official OECD municipality list assigns East Dunbartonshire, Glasgow City, North Lanarkshire to Glasgow FUA."
Godalming,UK033F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Waverley to Guildford FUA.
Guildford,UK033F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Guildford to Guildford FUA.
Hereford,,excluded_no_defensible_fua,no_reviewed_assignment,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Hertford,UK001F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns East Hertfordshire to London FUA.
Kingston upon Hull,UK026F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns East Riding of Yorkshire to Kingston upon Hull FUA.
Leeds,UK003F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Leeds to Leeds FUA.
Liverpool,UK006F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Liverpool to Liverpool FUA.
London,UK001F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns City of London to London FUA.
Manchester,UK008F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Manchester to Manchester FUA.
Middlesbrough,UK559F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Middlesbrough to Middlesbrough FUA.
Newcastle upon Tyne,UK013F,strict,official_oecd_municipality_crosswalk,"The official OECD municipality list assigns Newcastle upon Tyne, Northumberland to Newcastle upon Tyne FUA."
Oxford,UK560F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Oxford to Oxford FUA.
Paisley,UK004F,strict,official_oecd_municipality_crosswalk,"The official OECD municipality list assigns East Renfrewshire, Glasgow City, Renfrewshire to Glasgow FUA."
Redcliffe,,excluded_non_uk,outside_uk_fua_universe,Redcliffe is outside the UK FUA universe.
Reigate,UK001F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Reigate and Banstead to London FUA.
Sheffield,UK010F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Sheffield to Sheffield FUA.
Teignmouth,UK018F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Teignbridge to Exeter FUA.
West Lothian,UK007F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns West Lothian to Edinburgh FUA.
