origin_cluster,fua_code,mapping_tier,mapping_method,notes
,,excluded_no_defensible_fua,no_resolved_origin,No FUA assignment is possible while the band's origin remains unresolved.
Ashford,,excluded_no_defensible_fua,ambiguous_official_crosswalk,"The available place hierarchy reaches multiple official FUAs: UK001F, UK041F."
Auchtermuchty,,excluded_no_defensible_fua,no_reviewed_assignment,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Bangor,UK012F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Ards and North Down to Belfast FUA.
Basildon,UK001F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Basildon to London FUA.
Bath,UK031F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Bath and North East Somerset to Bath and North East Somerset FUA.
Battle,UK056F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Rother to Hastings FUA.
Belfast,UK012F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Belfast to Belfast FUA.
Birmingham,UK002F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Birmingham to West Midlands urban area FUA.
Bradford,UK003F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Bradford to Leeds FUA.
Braintree,,excluded_no_defensible_fua,no_reviewed_assignment,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Bridgend,,excluded_no_defensible_fua,no_reviewed_assignment,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Bridlington,UK026F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns East Riding of Yorkshire to Kingston upon Hull FUA.
Brighton,UK515F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Brighton and Hove to Brighton and Hove FUA.
Bristol,UK011F,strict,exact_fua_label,Origin matches an official or study FUA label.
Burnley,UK050F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Burnley to Burnley FUA.
Cambridge,UK017F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Cambridge to Cambridge FUA.
Cardiff,UK009F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Cardiff to Cardiff FUA.
Chelsea,UK001F,strict,official_oecd_municipality_crosswalk,"The official OECD municipality list assigns City of London, Kensington and Chelsea to London FUA."
Crawley,UK576F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Crawley to Crawley FUA.
Cwmaman,UK009F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Rhondda Cynon Taf to Cardiff FUA.
Derby,UK518F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Derby to Derby FUA.
Dover,,excluded_no_defensible_fua,no_reviewed_assignment,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Dundee,UK550F,strict,official_oecd_municipality_crosswalk,"The official OECD municipality list assigns Angus, Dundee City to Dundee City FUA."
Dunfermline,UK007F,reviewed_extended,reviewed_legacy_assignment,Preserved from the reviewed top-200 mapping because the official municipality crosswalk does not resolve the reported place. Prior note: Preserved from the reviewed top-200 mapping because the official municipality crosswalk does not resolve the reported place. Prior note: Included only in the extended sensitivity view as a reviewed association with Edinburgh FUA.
Eastbourne,UK055F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Eastbourne to Eastbourne FUA.
Glasgow,UK004F,strict,official_oecd_municipality_crosswalk,"The official OECD municipality list assigns East Dunbartonshire, Glasgow City, North Lanarkshire to Glasgow FUA."
Godalming,UK033F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Waverley to Guildford FUA.
Grangemouth,UK551F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Falkirk to Falkirk FUA.
Guildford,UK033F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Guildford to Guildford FUA.
Hereford,,excluded_no_defensible_fua,no_reviewed_assignment,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Hertford,UK001F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns East Hertfordshire to London FUA.
Isle of Wight,,excluded_no_defensible_fua,no_reviewed_assignment,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Kingston upon Hull,UK026F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns East Riding of Yorkshire to Kingston upon Hull FUA.
Leeds,UK003F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Leeds to Leeds FUA.
Leicester,UK014F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Leicester to Leicester FUA.
Liverpool,UK006F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Liverpool to Liverpool FUA.
London,UK001F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns City of London to London FUA.
Lowestoft,UK569F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns East Suffolk to Ipswich FUA.
Manchester,UK008F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Manchester to Manchester FUA.
