fua_code,study_city_label,rank_by_followers,band_name,band_qid,commons_filename,commons_page_url,download_url,local_path,image_sha256,artist,credit,license_short_name,license_url,attribution_text,captured_at_utc
UK001F,London,1,Coldplay,Q45188,ColdplayWembley120925 (cropped).jpg,https://commons.wikimedia.org/wiki/File:ColdplayWembley120925_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/ColdplayWembley120925_%28cropped%29.jpg/960px-ColdplayWembley120925_%28cropped%29.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/01_london_coldplay.jpg,5ad5b285b70e494aed7bb08c121637448bda3695484bcc2599eeb5f550d14b0d,Raph_PH,https://www.flickr.com/photos/69880995@N04/54787592273/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Coldplay photo: Raph_PH · CC BY 4.0,2026-07-23T20:43:57.270498+00:00
UK008F,Manchester,2,Oasis,Q382890,Oasis - Wembley Stadium - Saturday 27th September 2025.jpg,https://commons.wikimedia.org/wiki/File:Oasis_-_Wembley_Stadium_-_Saturday_27th_September_2025.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Oasis_-_Wembley_Stadium_-_Saturday_27th_September_2025.jpg/960px-Oasis_-_Wembley_Stadium_-_Saturday_27th_September_2025.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/02_manchester_oasis.jpg,904680c66bc490b6098225dada426f1a42efc2bbb2aabf4d2ad7b444ea3947dd,Raph_PH,https://www.flickr.com/photos/raph_ph/54829207667/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Oasis photo: Raph_PH · CC BY 4.0,2026-07-23T20:43:57.270498+00:00
UK010F,Sheffield,3,Arctic Monkeys,Q170599,Arctic Monkeys - Orange Stage - Roskilde Festival 2014.jpg,https://commons.wikimedia.org/wiki/File:Arctic_Monkeys_-_Orange_Stage_-_Roskilde_Festival_2014.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Arctic_Monkeys_-_Orange_Stage_-_Roskilde_Festival_2014.jpg/960px-Arctic_Monkeys_-_Orange_Stage_-_Roskilde_Festival_2014.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/03_sheffield_arctic_monkeys.jpg,0b740380c4fa82441d31344bc08d5f60464c2948a3623e450ee1ccbceda10d47,Bill Ebbesen,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Arctic Monkeys photo: Bill Ebbesen · CC BY 3.0,2026-07-23T20:43:57.270498+00:00
UK006F,Liverpool,4,The Beatles,Q1299,Beatles Trenter 1963.jpg,https://commons.wikimedia.org/wiki/File:Beatles_Trenter_1963.jpg,https://upload.wikimedia.org/wikipedia/commons/4/46/Beatles_Trenter_1963.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/04_liverpool_the_beatles.jpg,a289436c4a7b1578a9ff5635783d88eccb7b4181810761cb3939d3024fab073f,Bo Trenter,BEATLES early Swedish 1963 EP,Public domain,,The Beatles photo: Bo Trenter · Public domain,2026-07-23T20:43:57.270498+00:00
UK002F,Birmingham,5,Black Sabbath,Q47670,Black Sabbath (1970).png,https://commons.wikimedia.org/wiki/File:Black_Sabbath_(1970).png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Black_Sabbath_%281970%29.png/960px-Black_Sabbath_%281970%29.png,data/raw/wikimedia/top1000_city_band_photos_20260723/05_birmingham_black_sabbath.png,c15d2c21540f3b90770c7e5203e0945f1527e584a518face0dbb8897e973142f,Warner Bros. Records,"Billboard , page 7, 18 July 1970",Public domain,,Black Sabbath photo: Warner Bros. Records · Public domain,2026-07-23T20:43:57.270498+00:00
UK560F,Oxford,6,Radiohead,Q44190,RadioheadO2211125 composite.jpg,https://commons.wikimedia.org/wiki/File:RadioheadO2211125_composite.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/RadioheadO2211125_composite.jpg/960px-RadioheadO2211125_composite.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/06_oxford_radiohead.jpg,f3ec4028aab5ffec579b40c38c6537dc3e0dc4a5279327e68254f7da07db0f1c,Raph_PH,https://www.flickr.com/photos/raph_ph/albums/72177720330630937 Ed O'Brien Thom Yorke Colin Greenwood Philip Selway Johnny Greenwood,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Radiohead photo: Raph_PH · CC BY 4.0,2026-07-23T20:43:57.270498+00:00
UK004F,Glasgow,7,Franz Ferdinand,Q173180,Franz Ferdinand.jpg,https://commons.wikimedia.org/wiki/File:Franz_Ferdinand.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Franz_Ferdinand.jpg/960px-Franz_Ferdinand.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/07_glasgow_franz_ferdinand.jpg,03911c57b32ec2cc832e201199d4f90a6075cfd6280969ecd1391e925e8df388,Erin Mc,https://www.flickr.com/photos/erintheredmc/54449417946/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Franz Ferdinand photo: Erin Mc · CC BY 2.0,2026-07-23T20:43:57.270498+00:00
UK003F,Leeds,8,alt-J,Q47996,"Alt-J, Pryzm, Kingston (52132709047).jpg","https://commons.wikimedia.org/wiki/File:Alt-J,_Pryzm,_Kingston_(52132709047).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Alt-J%2C_Pryzm%2C_Kingston_%2852132709047%29.jpg/960px-Alt-J%2C_Pryzm%2C_Kingston_%2852132709047%29.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/08_leeds_alt_j.jpg,b35fc004bf245e23609788d52ec7511ce89064f88b8a6e192dfda863dde6085d,"Drew de F Fawkes from Guildford, United Kingdom","alt-J, Pryzm, Kingston",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"alt-J photo: Drew de F Fawkes from Guildford, United Kingdom · CC BY 2.0",2026-07-23T20:43:57.270498+00:00
UK018F,Exeter,9,Muse,Q22151,Muse 2006 003.jpg,https://commons.wikimedia.org/wiki/File:Muse_2006_003.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Muse_2006_003.jpg/960px-Muse_2006_003.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/09_exeter_muse.jpg,c093fa9139530970207d5921a6f81d42b5299510d5df58eee1339e1a7f0a5ee6,Warner Music Sweden,http://www.mynewsdesk.com/se/warnermusic/images/muse2-pressbild-5743,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Muse photo: Warner Music Sweden · CC BY 3.0,2026-07-23T20:43:57.270498+00:00
UK576F,Crawley,10,The Cure,Q484427,The Cure Live in Singapore 2- 1st August 2007.jpg,https://commons.wikimedia.org/wiki/File:The_Cure_Live_in_Singapore_2-_1st_August_2007.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/The_Cure_Live_in_Singapore_2-_1st_August_2007.jpg/960px-The_Cure_Live_in_Singapore_2-_1st_August_2007.jpg,data/raw/wikimedia/top1000_city_band_photos_20260723/10_crawley_the_cure.jpg,137bbfad5d9fc3f9611d261f66840df1cdbccd51f13fd90f56e945234fbcad42,"momento mori from Kuala Lumpur, Malaysia",The Cure Live in Singapore - 1st August 2007,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"The Cure photo: momento mori from Kuala Lumpur, Malaysia · CC BY 2.0",2026-07-23T20:43:57.270498+00:00
