band_name,study_city_label,claimed_formation_place,origin_review_status,selection_source,notes
The Animals,Newcastle,Newcastle upon Tyne,reviewed,Wikidata and MusicBrainz,
Maxïmo Park,Newcastle,Newcastle upon Tyne,reviewed,Wikidata and MusicBrainz,
Lighthouse Family,Newcastle,Newcastle upon Tyne,reviewed,Wikidata and MusicBrainz,
The Futureheads,Newcastle,Sunderland,reviewed,Wikidata and MusicBrainz,Sunderland is included in the Newcastle Functional Urban Area.
Venom,Newcastle,Newcastle upon Tyne,reviewed,Wikidata and MusicBrainz,
The Wildhearts,Newcastle,Newcastle upon Tyne,reviewed,Wikidata and MusicBrainz,
Field Music,Newcastle,Sunderland,reviewed,Wikidata and MusicBrainz,Sunderland is included in the Newcastle Functional Urban Area.
Little Comets,Newcastle,Jarrow,reviewed,Wikidata and MusicBrainz,
Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Newcastle,Newcastle upon Tyne,reviewed,Wikidata and MusicBrainz,
Lanterns on the Lake,Newcastle,Newcastle upon Tyne,reviewed,Wikidata and MusicBrainz,
Kasabian,Leicester,Leicester,reviewed,Wikidata and MusicBrainz,
Showaddywaddy,Leicester,Leicester,reviewed,Wikidata and MusicBrainz,
Cornershop,Leicester,Leicester,reviewed,Wikidata and MusicBrainz,
Family,Leicester,Leicester,pending,editorial candidate,Ambiguous artist name requires an explicit Spotify identifier.
hard life,Leicester,Leicester,pending,editorial candidate,Previously released as Easy Life; identity continuity needs review.
Maybeshewill,Leicester,Leicester,reviewed,Wikidata and MusicBrainz,
Gaye Bykers on Acid,Leicester,Leicester,pending,editorial candidate,
Crazyhead,Leicester,Leicester,reviewed,Wikidata and MusicBrainz,
Diesel Park West,Leicester,Leicester,pending,editorial candidate,
Prolapse,Leicester,Leicester,pending,editorial candidate,
Super Furry Animals,Cardiff,Cardiff,reviewed,Wikidata and MusicBrainz,
Catatonia,Cardiff,Cardiff,reviewed,Wikidata and MusicBrainz,
Los Campesinos!,Cardiff,Cardiff,reviewed,Wikidata and MusicBrainz,
Young Marble Giants,Cardiff,Cardiff,reviewed,Wikidata and MusicBrainz,
Mclusky,Cardiff,Cardiff,reviewed,Wikidata and MusicBrainz,
Budgie,Cardiff,Cardiff,reviewed,Wikidata and MusicBrainz,
Kids in Glass Houses,Cardiff,Cardiff,pending,editorial candidate,
The Automatic,Cardiff,Cowbridge,pending,editorial candidate,Cowbridge FUA membership needs boundary review.
Manic Street Preachers,Cardiff,Blackwood,pending,editorial candidate,Blackwood FUA membership needs boundary review.
Stereophonics,Cardiff,Cwmaman,pending,editorial candidate,Cwmaman FUA membership needs boundary review.
Bay City Rollers,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,
Boards of Canada,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,
Young Fathers,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,
Idlewild,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,
The Exploited,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,
The Rezillos,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,
We Were Promised Jetpacks,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,
The Incredible String Band,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,
The Fire Engines,Edinburgh,Edinburgh,pending,editorial candidate,
The Waterboys,Edinburgh,Edinburgh,pending,editorial candidate,
Stiff Little Fingers,Belfast,Belfast,reviewed,Wikidata and MusicBrainz,
Them,Belfast,Belfast,reviewed,Wikidata and MusicBrainz,Explicit Spotify identifier required because the name is ambiguous.
